iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.2509773906713003,0.12488603860134573,0.0001,nan,1244.92578125,1367.12890625,1244.89453125,1244.9140625,1244.9140625,1244.92578125
2,0.23824521090624703,0.04574175318846067,0.0001,37.14877784997225,1245.109375,1367.15234375,1245.109375,1245.109375,1245.109375,1245.109375
3,0.13758655632081473,0.0391326456744947,0.0001,111.0360736399889,1245.1171875,1367.16015625,1245.1171875,1245.1171875,1245.1171875,1245.1171875
4,0.11353815403349476,0.004585977556830337,0.0001,76.90038665477186,1245.1171875,1367.16796875,1245.125,1245.12109375,1245.12109375,1245.1171875
5,0.11333541663147922,0.00909888557051228,0.0001,35.56819667201489,1245.1171875,1367.16796875,1245.1171875,1245.1171875,1245.1171875,1245.1171875
6,0.10795524907122735,0.023387276178795963,0.0001,71.97402299754322,1245.1171875,1367.16796875,1245.1171875,1245.1171875,1245.1171875,1245.1171875
7,0.1020335825961643,0.027979483161578396,0.0001,36.51279748044908,1245.1171875,1367.16796875,1245.1171875,1245.1171875,1245.1171875,1245.1171875
8,0.09708631477216273,0.01188110183056955,0.0001,36.364103086292744,1245.1171875,1367.16796875,1245.1171875,1245.1171875,1245.1171875,1245.1171875
9,0.09645053255113875,0.028033939667256133,0.0001,72.8350644307211,1245.12109375,1367.16796875,1245.11328125,1245.1171875,1245.1171875,1245.12109375
10,0.09071513465060395,0.02526956876001357,0.0001,36.34205456636846,1245.12109375,1367.16796875,1245.12109375,1245.12109375,1245.12109375,1245.12109375
11,0.08992474422030382,0.01168220093691287,0.0001,35.562019444070756,1245.125,1367.16796875,1245.12109375,1245.125,1245.125,1245.125
12,0.08919707507684403,0.003871076056689107,0.0001,35.624776273965836,1245.125,1367.16796875,1245.125,1245.125,1245.125,1245.125
13,0.08646272349642051,0.017818817955694514,0.0001,35.672422567382455,1245.1171875,1367.16796875,1245.125,1245.12109375,1245.12109375,1245.1171875
14,0.08504485822988007,0.009585693315185065,0.0001,110.27142624091357,1245.12109375,1367.16796875,1245.12109375,1245.12109375,1245.12109375,1245.12109375
15,0.08490002109355481,0.018659039449543346,0.0001,110.31726714596152,1245.1328125,1367.3515625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
16,0.08489973060644215,0.019097950244598202,0.0001,109.62551900558174,1245.1328125,1367.77734375,1245.1328125,1245.1328125,1245.1328125,1245.1328125
17,0.08489968596497299,0.019125395063764285,0.0001,109.41603649035096,1245.1328125,1367.77734375,1245.1328125,1245.1328125,1245.1328125,1245.1328125
18,0.08489968578251512,0.019127784366359594,0.0001,109.25032362807542,1245.1328125,1367.77734375,1245.1328125,1245.1328125,1245.1328125,1245.1328125
19,0.07900822171083514,0.016064158402348584,0.0001,36.49892391078174,1245.1328125,1367.77734375,1245.1328125,1245.1328125,1245.1328125,1245.1328125
20,0.07828859618623651,0.016480414886763592,0.0001,71.55518715828657,1245.1328125,1367.77734375,1245.1328125,1245.1328125,1245.1328125,1245.1328125
21,0.0660770394927697,0.025289002126438725,0.0001,107.69225154444575,1245.1328125,1367.77734375,1245.1328125,1245.1328125,1245.1328125,1245.1328125
22,0.06494759667650067,0.014598345030543856,0.0001,35.6004007384181,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
23,0.06309823412868729,0.012136267358506213,0.0001,35.701189438812435,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
24,0.06229063844992857,0.003305744924943,0.0001,35.54354777839035,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
25,0.062124764018080515,0.01000527599247982,0.0001,71.27281514462084,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
26,0.0618728046719587,0.005861167833598168,0.0001,35.75916398130357,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
27,0.06176559103248577,0.0035216605165172494,0.0001,35.74826710950583,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
28,0.06162215074859666,0.011201535461052297,0.0001,35.63432459812611,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
29,0.06147678199495722,0.005399904081097557,0.0001,35.66057092510164,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
30,0.06142967574317689,0.0024094810334449094,0.0001,35.777964123524725,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
31,0.06141340010158388,0.002091236789053608,0.0001,35.74474824499339,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
32,0.0614096884169453,0.0016802013063719212,0.0001,35.78048080112785,1245.1328125,1368.09765625,1245.1328125,1245.1328125,1245.1328125,1245.1328125
33,0.06139595191861844,0.0003753828209455305,0.0001,35.74852298479527,1245.28125,1368.09765625,1245.1328125,1245.27734375,1245.27734375,1245.28125
34,0.061367845074179674,0.0007791245217151439,0.0001,35.62040918227285,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
35,0.061346122787308416,0.003338839732142282,0.0001,71.43623461946845,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
36,0.06130526195893752,0.0021988859187775794,0.0001,35.553379852324724,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
37,0.06127244789642489,0.0005620921944899888,0.0001,35.566375544294715,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
38,0.0612718150210808,0.0005587260421130671,0.0001,34.912960045970976,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
39,0.061269700356452385,0.0007113129860844598,0.0001,35.73830089624971,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
40,0.06126943112227068,0.00038079460202718066,0.0001,71.5352225471288,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
41,0.06126851388573944,0.0005334753732933244,0.0001,35.733588729053736,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
42,0.061268500902017034,0.000526950646952047,0.0001,71.31754158157855,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
43,0.061267421977842476,0.0004125792729199935,0.0001,69.54350459389389,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
44,0.061251498983999654,0.0009833121297036886,0.0001,35.57316812034696,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
45,0.06119937599611321,0.0027026764918154744,0.0001,35.53817908652127,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
46,0.06108009985195447,0.005069995767986465,0.0001,35.6989853894338,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
47,0.060748779505764114,0.007499235269077852,0.0001,35.70452026370913,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
48,0.06073540972640122,0.009533796718058464,0.0001,73.03335050586611,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
49,0.06073532651689976,0.009686489378364008,0.0001,72.93595014326274,1245.28125,1368.24609375,1245.28125,1245.28125,1245.28125,1245.28125
