iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.5492050803717714,0.04815968347642917,0.0001,nan,4180.8828125,4602.86328125,4180.87890625,4180.8828125,4180.8828125,4180.8828125
2,0.46974205333548985,0.0012985015414958777,0.0001,52.68513061199337,4181.140625,4602.86328125,4180.8828125,4181.140625,4181.140625,4181.140625
3,0.4696871562560583,0.0005965202565583452,0.0001,51.83646778576076,4181.38671875,4602.86328125,4181.140625,4181.38671875,4181.38671875,4181.38671875
4,0.4696762508271773,0.00044952557204473655,0.0001,52.11798403877765,4181.44921875,4602.86328125,4181.38671875,4181.44921875,4181.44921875,4181.44921875
5,0.46963863236002906,0.0008245530441344799,0.0001,51.98646132927388,4181.44921875,4602.86328125,4181.44921875,4181.44921875,4181.44921875,4181.44921875
6,0.46954669864233023,0.00143419606725218,0.0001,52.02271466702223,4181.5078125,4602.86328125,4181.44921875,4181.5078125,4181.5078125,4181.5078125
7,0.46928621257096914,0.002579200016597254,0.0001,51.760235079564154,4181.515625,4602.86328125,4181.5078125,4181.5078125,4181.5078125,4181.515625
8,0.4685654985917063,0.0021100062903968934,0.0001,51.745126282796264,4181.5234375,4602.86328125,4181.515625,4181.51953125,4181.51953125,4181.5234375
9,0.4684683851081606,0.000741317341882459,0.0001,52.04095911048353,4181.5859375,4602.86328125,4181.5234375,4181.5859375,4181.5859375,4181.5859375
10,0.4684622126933088,0.0005998836481156424,0.0001,52.00880023557693,4181.58984375,4602.86328125,4181.5859375,4181.58984375,4181.58984375,4181.58984375
11,0.46843382733086886,0.00029430868226004844,0.0001,52.148979843594134,4181.59375,4602.86328125,4181.58984375,4181.59375,4181.59375,4181.59375
12,0.4683707927372131,0.0003831922285275768,0.0001,103.78635565005243,4181.60546875,4602.86328125,4181.59375,4181.59765625,4181.59765625,4181.60546875
13,0.46834241047911984,0.001033428876528777,0.0001,103.97216569632292,4181.6171875,4602.86328125,4181.61328125,4181.61328125,4181.61328125,4181.6171875
14,0.4683287707189641,0.0008155419606159687,0.0001,52.08891040086746,4181.6171875,4602.86328125,4181.6171875,4181.6171875,4181.6171875,4181.6171875
15,0.4682672359356671,0.002429564810253863,0.0001,51.97240583971143,4181.625,4602.86328125,4181.6171875,4181.62109375,4181.62109375,4181.625
16,0.4681052938910188,0.000598610310968988,0.0001,52.06451899185777,4181.6328125,4602.86328125,4181.625,4181.62890625,4181.62890625,4181.6328125
17,0.46808942169158935,0.0005142905058810082,0.0001,51.96120673790574,4181.640625,4602.86328125,4181.6328125,4181.63671875,4181.63671875,4181.640625
18,0.46806899105091676,0.00026986662322294055,0.0001,51.96263470035046,4181.64453125,4602.86328125,4181.640625,4181.64453125,4181.64453125,4181.64453125
19,0.46806463628370115,0.00012608088031206867,0.0001,51.95680073834956,4181.65625,4602.86328125,4181.64453125,4181.64453125,4181.64453125,4181.65625
20,0.46806403870615726,8.361955885371737e-05,0.0001,52.018168958835304,4181.6640625,4602.86328125,4181.65625,4181.6640625,4181.6640625,4181.6640625
