iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.49910051314908954,0.042673443326102845,0.0001,nan,4179.80859375,4602.86328125,4179.3515625,4179.609375,4179.609375,4179.80859375
2,0.4372799884458777,0.002377844294654029,0.0001,44.30107811372727,4180.0703125,4602.86328125,4179.80859375,4179.94140625,4179.94140625,4180.0703125
3,0.4370892189210964,0.0007312544286602139,0.0001,44.27648973558098,4180.1484375,4602.86328125,4180.0703125,4180.078125,4180.078125,4180.1484375
4,0.4370735420740491,0.0006662609691908182,0.0001,44.389987603761256,4180.1640625,4602.86328125,4180.1484375,4180.15625,4180.15625,4180.1640625
5,0.43703616681353846,0.0010301734124892013,0.0001,44.41379354055971,4180.1875,4602.86328125,4180.1640625,4180.171875,4180.171875,4180.1875
6,0.4369267347075058,0.001561129574354916,0.0001,44.311651297844946,4180.203125,4602.86328125,4180.1875,4180.19140625,4180.19140625,4180.203125
7,0.4364819448612801,0.0028841982577633507,0.0001,44.372719031758606,4180.21875,4602.86328125,4180.203125,4180.20703125,4180.20703125,4180.21875
8,0.43616655497339984,0.002845005915753789,0.0001,44.1229381877929,4180.22265625,4602.86328125,4180.21875,4180.21875,4180.21875,4180.22265625
9,0.43603534920175474,0.002313304009825241,0.0001,44.53437810204923,4180.23828125,4602.86328125,4180.22265625,4180.234375,4180.234375,4180.23828125
10,0.4358224356850108,0.00044360662922108293,0.0001,44.511042948812246,4180.25390625,4602.86328125,4180.23828125,4180.25,4180.25,4180.25390625
11,0.43581614851251516,0.00036323280898711,0.0001,44.27486461494118,4180.26171875,4602.86328125,4180.25390625,4180.25390625,4180.25390625,4180.26171875
12,0.43572665625132084,0.0010860493162924928,0.0001,44.387091738171875,4180.27734375,4602.86328125,4180.26171875,4180.26953125,4180.26953125,4180.27734375
13,0.435726449481409,0.001148301565849266,0.0001,88.49428953696042,4180.30078125,4602.86328125,4180.2890625,4180.30078125,4180.30078125,4180.30078125
14,0.4357214276188407,0.0014492104051172354,0.0001,88.48847590852529,4180.37109375,4602.86328125,4180.3671875,4180.3671875,4180.3671875,4180.37109375
15,0.4355818426073486,0.0008015897223498315,0.0001,88.57790225371718,4180.37890625,4602.86328125,4180.375,4180.375,4180.375,4180.37890625
16,0.43537447487550573,0.0010749247530582725,0.0001,44.117792531847954,4180.390625,4602.86328125,4180.37890625,4180.38671875,4180.38671875,4180.390625
17,0.4353467195105972,0.0003749854127996154,0.0001,44.21564735658467,4180.3984375,4602.86328125,4180.390625,4180.390625,4180.390625,4180.3984375
18,0.4353447398060723,0.00011580187075038306,0.0001,44.153449296951294,4180.4140625,4602.86328125,4180.3984375,4180.40625,4180.40625,4180.4140625
19,0.4353442057296123,0.00011621365193130804,0.0001,44.19686151202768,4180.42578125,4602.86328125,4180.4140625,4180.41796875,4180.41796875,4180.42578125
20,0.4353426519149374,7.235654431462045e-05,0.0001,44.22715823631734,4180.43359375,4602.86328125,4180.42578125,4180.43359375,4180.43359375,4180.43359375
