iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.5795784238818229,0.07078392465673589,0.0001,nan,6496.390625,6482.21484375,6183.51171875,6496.390625,6496.390625,6496.390625
2,0.5695207518169605,0.0394583061019633,0.0001,943.0932182101533,6511.26171875,6623.71484375,6503.8984375,6511.26171875,6511.26171875,6511.26171875
3,0.5476394257958528,0.09724141474546766,0.0001,473.7217709403485,6618.4375,6738.484375,6511.26171875,6618.4375,6618.4375,6618.4375
4,0.5202807753148371,0.3859382111417755,0.0001,471.0893082097173,6517.0390625,6739.4375,6618.4375,6517.0390625,6517.0390625,6517.0390625
5,0.5121614237637665,0.062304844842385076,0.0001,473.1103666499257,6731.625,6852.62890625,6517.0390625,6731.48046875,6731.48046875,6731.625
6,0.5113983949673915,0.004195654487401779,0.0001,469.4584771897644,6528.9140625,6852.62890625,6731.625,6528.9140625,6528.9140625,6528.9140625
7,0.5113919141450635,0.0024818981046990096,0.0001,472.14322803076357,6540.94140625,6852.62890625,6528.9140625,6540.9375,6540.9375,6540.94140625
8,0.5113896747102692,0.0008693862723488932,0.0001,470.9985480289906,6546.86328125,6852.62890625,6540.94140625,6546.86328125,6546.86328125,6546.86328125
9,0.5113864713141806,0.0025851784967744207,0.0001,942.1778191979975,6558.26953125,6852.62890625,6551.05078125,6558.26953125,6558.26953125,6558.26953125
10,0.5113756620209762,0.005864837584844906,0.0001,472.8887172723189,6665.44140625,6852.62890625,6558.26953125,6665.44140625,6665.44140625,6665.44140625
11,0.5113370766120896,0.007645789903119038,0.0001,473.9041989520192,6665.44140625,6852.62890625,6665.44140625,6665.44140625,6665.44140625,6665.44140625
12,0.5112933721257213,0.010337450264681136,0.0001,484.17475884594023,6766.84375,6888.38671875,6665.44140625,6766.83984375,6766.83984375,6766.84375
13,0.5112524237026063,0.0048531966016269745,0.0001,472.5699152685702,6766.84375,6888.5625,6766.84375,6766.84375,6766.84375,6766.84375
14,0.5112411562528955,0.0020380944188170824,0.0001,472.57092203665525,6766.76171875,6888.5625,6766.84375,6766.7578125,6766.7578125,6766.76171875
15,0.5112331820550609,0.003981920523748128,0.0001,472.5169467655942,6766.765625,6888.5625,6766.76171875,6766.76171875,6766.76171875,6766.765625
16,0.5112260774230472,0.005956850680195025,0.0001,473.17914460320026,6766.765625,6888.5625,6766.765625,6766.765625,6766.765625,6766.765625
17,0.5112036580406374,0.01652070010716722,0.0001,474.7488219710067,6766.765625,6888.5625,6766.765625,6766.765625,6766.765625,6766.765625
18,0.5111637761051397,0.02254595893827127,0.0001,473.6080485554412,6766.765625,6888.5625,6766.765625,6766.765625,6766.765625,6766.765625
19,0.5109093952029804,0.03399032112562539,0.0001,473.2549609262496,6766.765625,6888.5625,6766.765625,6766.765625,6766.765625,6766.765625
20,0.5109093876021522,0.033990655894938326,0.0001,952.3032029727474,6868.171875,6989.69921875,6868.171875,6868.171875,6868.171875,6868.171875
21,0.5109093801766829,0.03400094388891306,0.0001,948.9674085313454,6766.7734375,6989.69921875,6766.77734375,6665.4609375,6665.4609375,6766.7734375
22,0.5107461891288442,0.00664144981710979,0.0001,473.7082173861563,6766.7734375,6989.69921875,6766.7734375,6665.4609375,6665.4609375,6766.7734375
23,0.51068027810703,0.001403299990944351,0.0001,475.4304907703772,6766.86328125,6989.69921875,6766.7734375,6766.86328125,6766.86328125,6766.86328125
24,0.5106687496889883,0.000976651950330476,0.0001,474.5735774738714,6868.1796875,6990.0546875,6766.86328125,6868.17578125,6868.17578125,6868.1796875
25,0.5106336893635501,0.0016473696194196918,0.0001,472.5139273079112,6766.78125,6990.0546875,6868.1796875,6665.46875,6665.46875,6766.78125
26,0.5106277161091777,0.008489737071910142,0.0001,476.5934109771624,6766.78125,6990.0546875,6766.78125,6665.46875,6665.46875,6766.78125
27,0.5105646184603436,0.004868129953411682,0.0001,475.8926771674305,6766.78125,6990.0546875,6766.78125,6665.46875,6665.46875,6766.78125
28,0.5105175001958732,0.0017095399635029818,0.0001,477.6300739850849,6768.9296875,6990.0546875,6766.78125,6667.61328125,6667.61328125,6768.9296875
29,0.5105136305140177,0.00152996165149899,0.0001,479.9242913397029,6775.37109375,6990.0546875,6768.9296875,6775.37109375,6775.37109375,6775.37109375
30,0.5105074638010616,0.0011202664862057787,0.0001,477.54034513421357,6775.28515625,6990.0546875,6775.37109375,6775.28515625,6775.28515625,6775.28515625
31,0.5105051096777019,0.0004158114653041167,0.0001,477.7462756000459,6775.28515625,6990.0546875,6775.28515625,6775.28515625,6775.28515625,6775.28515625
32,0.5104956379220235,0.0014864379786340143,0.0001,477.64328493829817,6876.6875,6998.73828125,6775.28515625,6876.6875,6876.6875,6876.6875
33,0.5104834357647586,0.011278784711320822,0.0001,479.43706190306693,6775.2890625,6998.73828125,6876.6875,6775.2890625,6775.2890625,6775.2890625
34,0.5104511465441481,0.01588851415606296,0.0001,473.929025541991,6876.69140625,6998.73828125,6775.2890625,6876.6875,6876.6875,6876.69140625
