iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.5669286330713568,0.07669159871710018,0.0001,nan,4964.3984375,5084.390625,4964.37890625,4964.3828125,4964.3828125,4964.3984375
2,0.5576340140920082,0.0375320393424584,0.0001,504.85782346781343,4964.41796875,5084.390625,4964.40234375,4964.40625,4964.40625,4964.41796875
3,0.5428616047681137,0.06844792534905131,0.0001,252.20831475500017,4964.42578125,5084.390625,4964.41796875,4964.421875,4964.421875,4964.42578125
4,0.5145061125667042,0.39119317009503685,0.0001,254.97479136660695,4964.4375,5084.390625,4964.42578125,4964.42578125,4964.42578125,4964.4375
5,0.5070524997151368,0.07138377276068852,0.0001,252.51694891694933,4964.59765625,5084.87109375,4964.4375,4964.4453125,4964.4453125,4964.59765625
6,0.5059783765248531,0.0159244425859566,0.0001,252.65414925199002,4964.6015625,5085.046875,4964.59765625,4964.59765625,4964.59765625,4964.6015625
7,0.5059026468631161,0.0008390368982318375,0.0001,252.87947050947696,4964.60546875,5085.046875,4964.6015625,4964.6015625,4964.6015625,4964.60546875
8,0.5059020981071837,0.0004083179315295771,0.0001,252.3105738852173,4964.609375,5085.046875,4964.60546875,4964.60546875,4964.60546875,4964.609375
9,0.5059014856244398,0.0010652683871047453,0.0001,252.14533339068294,4964.6171875,5085.046875,4964.609375,4964.609375,4964.609375,4964.6171875
10,0.5058919167367131,0.003527804604885998,0.0001,506.1037577847019,4964.62109375,5085.046875,4964.6171875,4964.6171875,4964.6171875,4964.62109375
11,0.5058496463319012,0.012261240218066849,0.0001,506.02946901973337,4964.62890625,5085.05859375,4964.625,4964.625,4964.625,4964.62890625
12,0.5057016539623743,0.031017836119554665,0.0001,252.802785333246,4964.62890625,5085.05859375,4964.62890625,4964.62890625,4964.62890625,4964.62890625
13,0.5052892466752529,0.036815531610638885,0.0001,253.03091600351036,4964.6328125,5085.05859375,4964.62890625,4964.62890625,4964.62890625,4964.6328125
14,0.5052748490020804,0.028627477330170126,0.0001,508.6203763578087,4964.6484375,5085.05859375,4964.64453125,4964.64453125,4964.64453125,4964.6484375
15,0.5051957779156699,0.011556042593197313,0.0001,252.9797642203048,4964.65625,5085.05859375,4964.6484375,4964.6484375,4964.6484375,4964.65625
16,0.5051340806775247,0.008607211750562893,0.0001,253.18215870205313,4964.66015625,5085.05859375,4964.65625,4964.66015625,4964.66015625,4964.66015625
17,0.505133968244131,0.009354682391846891,0.0001,506.8408263074234,4964.6640625,5085.05859375,4964.6640625,4964.6640625,4964.6640625,4964.6640625
18,0.505132948976204,0.019480366467712784,0.0001,252.84892049618065,4964.671875,5085.05859375,4964.6640625,4964.66796875,4964.66796875,4964.671875
19,0.505123070578523,0.013409527603507554,0.0001,251.73998295143247,4964.671875,5085.05859375,4964.671875,4964.671875,4964.671875,4964.671875
20,0.5051118325142415,0.00342280110096449,0.0001,253.18993244878948,4964.67578125,5085.05859375,4964.671875,4964.671875,4964.671875,4964.67578125
21,0.5051105323823699,0.0007097131874130845,0.0001,251.71073521953076,4964.67578125,5085.05859375,4964.67578125,4964.67578125,4964.67578125,4964.67578125
22,0.5051052493866561,0.006137552784608258,0.0001,756.3536051418632,4964.6875,5085.05859375,4964.68359375,4964.6875,4964.6875,4964.6875
23,0.5050926883659618,0.007794200868448065,0.0001,252.32893884647638,4964.6875,5085.05859375,4964.6875,4964.6875,4964.6875,4964.6875
24,0.5050508433393198,0.008060788088897874,0.0001,252.6054512411356,4964.6875,5085.05859375,4964.6875,4964.6875,4964.6875,4964.6875
25,0.5050240364038521,0.0038760821954464397,0.0001,252.4902719911188,4964.6875,5085.05859375,4964.6875,4964.6875,4964.6875,4964.6875
26,0.5050205336349854,0.000900271114554374,0.0001,253.26834852807224,4964.6953125,5085.05859375,4964.6875,4964.69140625,4964.69140625,4964.6953125
27,0.5050189909216025,0.0014733245362721359,0.0001,252.97294482868165,4964.70703125,5085.05859375,4964.6953125,4964.69921875,4964.69921875,4964.70703125
28,0.5050162736700393,0.005989403315495689,0.0001,252.7558793835342,4964.7109375,5085.05859375,4964.70703125,4964.7109375,4964.7109375,4964.7109375
29,0.5050125360622321,0.007892708434402262,0.0001,255.12600641977042,4964.7109375,5085.05859375,4964.7109375,4964.7109375,4964.7109375,4964.7109375
30,0.5049879464156872,0.023008339724604365,0.0001,252.8105451501906,4964.85546875,5085.05859375,4964.7109375,4964.7109375,4964.7109375,4964.85546875
