iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,1.0618579112010635,0.976,0.0001,nan,4237.87890625,4357.59375,4232.88671875,4234.3671875,4234.3671875,4237.87890625
2,0.9400395346700906,0.976,0.0001,462.02565774600953,4243.65234375,4363.77734375,4240.82421875,4241.7109375,4241.7109375,4243.65234375
3,0.49404013874226543,0.40000000000000047,0.0001,1395.6813891995698,4262.77734375,4382.046875,4259.546875,4259.546875,4259.546875,4262.77734375
4,0.4797448337928347,0.1039999999999992,0.0001,464.7591767925769,4268.60546875,4388.328125,4265.6640625,4266.2578125,4266.2578125,4268.60546875
5,0.478807288253327,0.020000000000000795,0.0001,233.771086294204,4272.4140625,4391.9921875,4268.60546875,4269.6328125,4269.6328125,4272.4140625
6,0.4763502196238657,0.06393183260400082,0.0001,466.8158293599263,4278.75390625,4398.45703125,4276.1015625,4276.265625,4276.265625,4278.75390625
7,0.47389321814563473,0.01302773591233604,0.0001,232.90221508499235,4281.40234375,4401.39453125,4278.75390625,4279.08203125,4279.08203125,4281.40234375
8,0.4703212331620566,0.18399999999999905,0.0001,232.2017033668235,4284.8515625,4404.64453125,4281.40234375,4282.21484375,4282.21484375,4284.8515625
9,0.4689225735449173,0.0959999999999992,0.0001,232.56759142130613,4287.8515625,4407.4453125,4284.8515625,4285.32421875,4285.32421875,4287.8515625
10,0.46826919491977026,0.004000000000000892,0.0001,233.4971331236884,4290.4140625,4411.18359375,4287.8515625,4287.8515625,4287.8515625,4290.4140625
11,0.46826454714056837,0.007277043965468466,0.0001,231.98779153544456,4293.41015625,4414.50390625,4290.4140625,4291.13671875,4291.13671875,4293.41015625
12,0.4682607573586812,0.011999999999999122,0.0001,231.21672397479415,4297.37890625,4417.30078125,4293.41015625,4294.1328125,4294.1328125,4297.37890625
13,0.46824836997170344,0.007999999999999119,0.0001,232.3390801437199,4300.06640625,4420.3671875,4297.37890625,4297.54296875,4297.54296875,4300.06640625
14,0.46814918029214486,0.004000000000000892,0.0001,231.6299627739936,4303.30078125,4423.45703125,4300.06640625,4300.71875,4300.71875,4303.30078125
15,0.4680289943276921,0.012000000000000899,0.0001,231.76449747011065,4306.5859375,4426.65234375,4303.30078125,4303.46484375,4303.46484375,4306.5859375
16,0.46775604204867116,0.011564013982610089,0.0001,231.85979976784438,4309.90234375,4429.625,4306.5859375,4306.75,4306.75,4309.90234375
17,0.46720390065692335,0.007999999999999119,0.0001,465.40968065243214,4316.296875,4436.65234375,4313.28125,4313.44140625,4313.44140625,4316.296875
18,0.4670889238174819,0.007999999999999119,0.0001,232.38416821230203,4319.12890625,4439.484375,4316.296875,4316.62109375,4316.62109375,4319.12890625
19,0.4670864094030157,0.007999999999999119,0.0001,463.98235952015966,4326.4609375,4446.6171875,4322.76171875,4322.76171875,4322.76171875,4326.4609375
