iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,1.052711073351145,0.7000000000000003,0.0001,nan,6827.44140625,7084.05859375,6827.4375,6827.44140625,6827.44140625,6827.44140625
2,1.028630475108064,0.6000000000000003,0.0001,75.74513548053801,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
3,0.8168151841766612,0.19999999999999907,0.0001,75.58066316414624,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
4,0.7631776192562717,1.0999999999999983,0.0001,75.57421145401895,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
5,0.6506402056234105,0.3999999999999988,0.0001,75.6947103664279,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
6,0.5598402728284626,0.19999999999999885,0.0001,77.10642210766673,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
7,0.5180334352013883,0.5999999999999985,0.0001,77.79946929961443,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
8,0.5100925542610607,0.20000000000000073,0.0001,76.58072495926172,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
9,0.5013950100653329,0.10000000000000087,0.0001,234.40713542606682,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
10,0.5013753311261395,0.00734683884265424,0.0001,232.79154949449003,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
11,0.5013120745454317,0.006942915318770592,0.0001,154.9928796282038,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
12,0.4982325306844957,0.09999999999999898,0.0001,77.91731940768659,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
13,0.4920624825236754,0.19999999999999885,0.0001,154.66056816838682,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
14,0.4836469935945681,0.09999999999999898,0.0001,78.51221582107246,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
15,0.4794099318072075,0.20000000000000073,0.0001,78.58028385043144,6827.44140625,7084.05859375,6827.44140625,6827.44140625,6827.44140625,6827.44140625
