iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.3135760935965294,0.08129167425730627,nan,1570.44921875,1716.578125,1570.4453125,1570.4140625,1570.4140625,1570.44921875
2,0.16555547898771295,0.014548195961211765,83.35851326864213,1570.44921875,1716.578125,1570.44921875,1570.41796875,1570.41796875,1570.44921875
3,0.1579177438575737,0.009041886402476797,84.18904878012836,1570.453125,1716.578125,1570.44921875,1570.421875,1570.421875,1570.453125
4,0.15402539165786155,0.00448684135404324,84.3317236090079,1570.45703125,1716.578125,1570.453125,1570.42578125,1570.42578125,1570.45703125
5,0.1524898464844555,0.003451179753185209,84.71090225316584,1570.46484375,1716.578125,1570.45703125,1570.43359375,1570.43359375,1570.46484375
6,0.14950028444990546,0.004583474432906843,82.89685160201043,1570.46484375,1716.578125,1570.46484375,1570.43359375,1570.43359375,1570.46484375
7,0.14467304052753352,0.003927936709544448,82.26063787005842,1570.46875,1716.578125,1570.46484375,1570.4375,1570.4375,1570.46875
8,0.14159177175595397,0.002953751997475484,84.74712005630136,1570.48046875,1716.578125,1570.46875,1570.44140625,1570.44140625,1570.48046875
9,0.141109360763114,0.0005960825755145244,83.40750801376998,1570.484375,1716.578125,1570.48046875,1570.44921875,1570.44921875,1570.484375
10,0.14107983889591583,0.0003303666181377799,83.8159839110449,1570.48828125,1716.578125,1570.484375,1570.453125,1570.453125,1570.48828125
11,0.14099723363518427,0.000655299738157093,83.65640695393085,1570.48828125,1716.578125,1570.48828125,1570.45703125,1570.45703125,1570.48828125
12,0.14081240011552823,0.0011681126258825327,82.23596583120525,1570.4921875,1716.578125,1570.48828125,1570.45703125,1570.45703125,1570.4921875
13,0.13988139001315622,0.0008929758686874645,167.42064363975078,1570.50390625,1716.578125,1570.5,1570.47265625,1570.47265625,1570.50390625
14,0.13517147063024523,0.0014744797071601532,84.71967831160873,1570.50390625,1716.578125,1570.50390625,1570.46875,1570.46875,1570.50390625
15,0.13485581304895236,0.0008236072646224115,83.77060754038393,1570.51171875,1716.578125,1570.50390625,1570.4765625,1570.4765625,1570.51171875
16,0.13470450681622034,0.0006214323853537708,83.13991131447256,1570.51171875,1716.578125,1570.51171875,1570.4765625,1570.4765625,1570.51171875
17,0.13464702209560736,0.000643708657076049,85.36240009311587,1570.515625,1716.578125,1570.51171875,1570.48046875,1570.48046875,1570.515625
18,0.13442061471625164,0.0010172448764474381,82.5201501082629,1570.51953125,1716.578125,1570.515625,1570.48046875,1570.48046875,1570.51953125
19,0.13434091741353282,0.0002335436553419828,82.49478326551616,1570.52734375,1716.578125,1570.51953125,1570.48828125,1570.48828125,1570.52734375
20,0.13433516986138788,0.00017381771211614632,84.19765758700669,1570.53125,1716.578125,1570.52734375,1570.49609375,1570.49609375,1570.53125
21,0.13429842073092138,0.0003516215363287014,82.50978651922196,1570.54296875,1716.578125,1570.53125,1570.5078125,1570.5078125,1570.54296875
22,0.1342768495169757,0.0005967564110511472,84.54290115833282,1570.54296875,1716.578125,1570.54296875,1570.5078125,1570.5078125,1570.54296875
23,0.1342607260057278,0.0004107114933849963,82.47999311890453,1570.546875,1716.578125,1570.54296875,1570.51171875,1570.51171875,1570.546875
24,0.13423162330491137,0.0001090571383461863,83.36241770442575,1570.55859375,1716.578125,1570.546875,1570.51953125,1570.51953125,1570.55859375
25,0.13422061630330528,0.00016731599170151807,86.41121270973235,1570.56640625,1716.578125,1570.55859375,1570.52734375,1570.52734375,1570.56640625
26,0.1342108252796083,0.000292968088999825,169.17150933016092,1570.57421875,1716.578125,1570.5703125,1570.5390625,1570.5390625,1570.57421875
27,0.13420356418311477,0.0002617691776165185,86.92613397911191,1570.578125,1716.578125,1570.57421875,1570.5390625,1570.5390625,1570.578125
28,0.13416993861527562,0.00015481499142163874,84.87212836742401,1570.578125,1716.578125,1570.578125,1570.54296875,1570.54296875,1570.578125
29,0.13416644385726578,0.0001059717159893774,86.41628449596465,1570.578125,1716.578125,1570.578125,1570.54296875,1570.54296875,1570.578125
30,0.1341648170181139,3.447382374944239e-05,83.85773824900389,1570.7265625,1716.578125,1570.578125,1570.6875,1570.6875,1570.7265625
