iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.2935697838236167,0.07938540157325512,nan,1538.34375,1674.52734375,1537.765625,1537.9609375,1537.9609375,1538.34375
2,0.15055253649590122,0.01390732708677027,62.23421465791762,1538.68359375,1674.52734375,1538.34375,1538.53515625,1538.53515625,1538.68359375
3,0.14361376067305795,0.008692167425208678,61.38906308542937,1538.7578125,1674.52734375,1538.68359375,1538.6875,1538.6875,1538.7578125
4,0.14006123425629818,0.004345085322725969,61.1384068550542,1538.9453125,1674.52734375,1538.7578125,1538.875,1538.875,1538.9453125
5,0.13854359864904248,0.003553514491032984,60.997589892707765,1539.02734375,1674.52734375,1538.9453125,1538.95703125,1538.95703125,1539.02734375
6,0.13543762324097558,0.004657154158437276,61.17497851420194,1539.2265625,1674.52734375,1539.02734375,1539.09375,1539.09375,1539.2265625
7,0.13054996313409,0.0038394749094446345,61.22066878899932,1539.296875,1674.52734375,1539.2265625,1539.234375,1539.234375,1539.296875
8,0.1274837180494433,0.002445682394352205,61.28141366969794,1539.3125,1674.52734375,1539.296875,1539.3046875,1539.3046875,1539.3125
9,0.12717587045693152,0.0006631087832853548,61.21409612707794,1539.32421875,1674.52734375,1539.3125,1539.3203125,1539.3203125,1539.32421875
10,0.12713882481225702,0.00034073111114493265,69.24510634690523,1539.33984375,1674.52734375,1539.32421875,1539.328125,1539.328125,1539.33984375
11,0.127063018491654,0.0006761904150063868,86.89247219078243,1539.34765625,1674.52734375,1539.33984375,1539.34765625,1539.34765625,1539.34765625
12,0.12686114404399887,0.0012498851173216193,61.09285866934806,1539.35546875,1674.52734375,1539.34765625,1539.3515625,1539.3515625,1539.35546875
13,0.12566865235569716,0.0011837731481358043,123.33775851968676,1539.37890625,1674.52734375,1539.37109375,1539.37109375,1539.37109375,1539.37890625
14,0.12414034014125476,0.0014887608781750286,70.42032799124718,1539.38671875,1674.52734375,1539.37890625,1539.3828125,1539.3828125,1539.38671875
15,0.12320969564210175,0.0023090041397364784,194.21081336867064,1539.390625,1674.52734375,1539.390625,1539.390625,1539.390625,1539.390625
16,0.12082608480739451,0.001616807026119622,165.8542525311932,1539.40625,1674.52734375,1539.3984375,1539.40234375,1539.40234375,1539.40625
17,0.12061080224752686,0.0011083161282591982,92.7166644455865,1539.40625,1674.52734375,1539.40625,1539.40625,1539.40625,1539.40625
18,0.12032515856007663,0.001011414252269516,181.12154668848962,1539.41796875,1674.52734375,1539.4140625,1539.4140625,1539.4140625,1539.41796875
19,0.12009865618458143,0.0012494690686763777,169.6896747276187,1539.43359375,1674.52734375,1539.42578125,1539.4296875,1539.4296875,1539.43359375
20,0.11976680211624854,0.0009686967053686279,83.83888517227024,1539.4375,1674.52734375,1539.43359375,1539.4375,1539.4375,1539.4375
21,0.11970215172062283,0.0003732771282932768,83.81084459554404,1539.4375,1674.52734375,1539.4375,1539.4375,1539.4375,1539.4375
22,0.1196628204386959,0.00047180330726379586,84.17637813836336,1539.4453125,1674.52734375,1539.4375,1539.44140625,1539.44140625,1539.4453125
23,0.11962615306988324,0.00015364456520047538,84.67378163151443,1539.453125,1674.52734375,1539.4453125,1539.453125,1539.453125,1539.453125
24,0.11961476525586955,0.00016400530512672003,83.15048484131694,1539.60546875,1674.52734375,1539.453125,1539.6015625,1539.6015625,1539.60546875
25,0.11960507187950065,0.00020793926498755238,83.55120538081974,1539.61328125,1674.52734375,1539.60546875,1539.609375,1539.609375,1539.61328125
26,0.1195976403189256,0.0001294825986292775,84.3896629717201,1539.6171875,1674.52734375,1539.61328125,1539.6171875,1539.6171875,1539.6171875
27,0.11959509088238572,5.705628470292636e-05,84.98430156335235,1539.62109375,1674.52734375,1539.6171875,1539.6171875,1539.6171875,1539.62109375
