iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.3441358980283914,0.08312838791212016,nan,1846.65234375,1981.87109375,1846.65234375,1846.65234375,1846.65234375,1846.65234375
2,0.19351029617815227,0.01549360024225564,235.2394197480753,1846.703125,1981.87109375,1846.65234375,1846.703125,1846.703125,1846.703125
3,0.18483131081458992,0.009595186673228508,235.88531665410846,1846.70703125,1981.87109375,1846.703125,1846.703125,1846.703125,1846.70703125
4,0.18029020734779255,0.004756881533967941,236.60427974257618,1846.7109375,1981.87109375,1846.70703125,1846.70703125,1846.70703125,1846.7109375
5,0.17866735891383426,0.0032832621864445845,232.9729026304558,1846.7109375,1981.87109375,1846.7109375,1846.7109375,1846.7109375,1846.7109375
6,0.17582838991007446,0.004447450142841674,231.63737573847175,1846.71484375,1981.87109375,1846.7109375,1846.71484375,1846.71484375,1846.71484375
7,0.171048978897737,0.004034754645982424,241.56862805224955,1846.71875,1981.87109375,1846.71484375,1846.71484375,1846.71484375,1846.71875
8,0.1676129250964255,0.0030107158816960198,235.05449957307428,1846.71875,1981.87109375,1846.71875,1846.71875,1846.71875,1846.71875
9,0.16707268168051823,0.0005700187401005273,242.6661371467635,1846.7265625,1981.87109375,1846.71875,1846.71875,1846.71875,1846.7265625
10,0.16704231733921351,0.0003830981364414239,247.0567362345755,1846.7265625,1981.87109375,1846.7265625,1846.7265625,1846.7265625,1846.7265625
11,0.16690421765627805,0.0007456285295207699,231.17886916548014,1846.7265625,1981.87109375,1846.7265625,1846.7265625,1846.7265625,1846.7265625
12,0.16665359317637707,0.00128904616437443,227.2927531581372,1846.7265625,1981.87109375,1846.7265625,1846.7265625,1846.7265625,1846.7265625
13,0.1656670578680984,0.0009313708672256613,238.15791247133166,1846.7265625,1981.87109375,1846.7265625,1846.7265625,1846.7265625,1846.7265625
14,0.16270181860485833,0.0010347781750108369,947.4111997680739,1846.734375,1981.87109375,1846.734375,1846.734375,1846.734375,1846.734375
15,0.16226351620757062,0.001343330300215864,248.2716026995331,1846.734375,1981.87109375,1846.734375,1846.734375,1846.734375,1846.734375
16,0.1617505351793685,0.0007736150928740837,454.1949560008943,1846.73828125,1981.87109375,1846.734375,1846.734375,1846.734375,1846.73828125
17,0.1616784644494098,0.0005215476489686659,234.42518072016537,1846.8828125,1981.87109375,1846.73828125,1846.73828125,1846.73828125,1846.8828125
18,0.16158367713364746,0.0008871246325786127,237.11104648001492,1846.8828125,1981.87109375,1846.8828125,1846.8828125,1846.8828125,1846.8828125
19,0.1613667016450962,0.001360684754389026,237.0296516995877,1846.8828125,1981.87109375,1846.8828125,1846.8828125,1846.8828125,1846.8828125
20,0.1611568314159473,0.002241843429117567,234.2027609422803,1846.8828125,1981.87109375,1846.8828125,1846.8828125,1846.8828125,1846.8828125
21,0.16085990158884927,0.0016190418229740156,236.381681073457,1846.88671875,1981.87109375,1846.8828125,1846.8828125,1846.8828125,1846.88671875
22,0.16056659017684327,0.00013267759241478028,233.5989067396149,1846.89453125,1981.87109375,1846.88671875,1846.88671875,1846.88671875,1846.89453125
23,0.16056228190762534,9.146917336786556e-05,234.1732400972396,1846.89453125,1981.87109375,1846.89453125,1846.89453125,1846.89453125,1846.89453125
