iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.34198447675190824,0.08274288568943972,nan,1707.15625,1845.51171875,1707.03515625,1707.15625,1707.15625,1707.15625
2,0.19224775292392962,0.015330188055341691,260.0298544643447,1707.2734375,1845.51171875,1707.15625,1707.2734375,1707.2734375,1707.2734375
3,0.1837627396741082,0.009515257902000234,259.2266516396776,1707.5625,1845.51171875,1707.2734375,1707.5625,1707.5625,1707.5625
4,0.17932059947780893,0.0047282165384195905,254.7688028179109,1707.74609375,1845.51171875,1707.5625,1707.73828125,1707.73828125,1707.74609375
5,0.177696611798461,0.003327143775114624,337.46665656287223,1707.75,1845.51171875,1707.74609375,1707.75,1707.75,1707.75
6,0.1748024888124491,0.004488918388996417,235.6159563427791,1707.7578125,1845.51171875,1707.75,1707.75390625,1707.75390625,1707.7578125
7,0.16996430057589806,0.004029556869999683,242.43833180889487,1707.7578125,1845.51171875,1707.7578125,1707.7578125,1707.7578125,1707.7578125
8,0.1666125503291004,0.0031414389853672616,244.54064733721316,1707.7578125,1845.51171875,1707.7578125,1707.7578125,1707.7578125,1707.7578125
9,0.16603301406162033,0.0005767667758676053,291.83137150108814,1707.90234375,1845.51171875,1707.7578125,1707.7578125,1707.7578125,1707.90234375
10,0.1660020065075752,0.00039308710911098866,284.40031198691577,1707.90234375,1845.51171875,1707.90234375,1707.90234375,1707.90234375,1707.90234375
11,0.16584969762675766,0.0007772303827218454,285.04072657134384,1707.90234375,1845.51171875,1707.90234375,1707.90234375,1707.90234375,1707.90234375
12,0.16557687388208367,0.0013513681359828783,282.54446059279144,1707.90234375,1845.51171875,1707.90234375,1707.90234375,1707.90234375,1707.90234375
13,0.1644616379045787,0.0011087548480501338,288.37861560378224,1707.90625,1845.51171875,1707.90234375,1707.90625,1707.90625,1707.90625
14,0.16160633740013075,0.001101251370858509,865.0830884100869,1707.9140625,1845.51171875,1707.91015625,1707.91015625,1707.91015625,1707.9140625
15,0.16145028504585524,0.0011045750902833633,283.43399620521814,1707.91796875,1845.51171875,1707.9140625,1707.91796875,1707.91796875,1707.91796875
16,0.16108900476634916,0.0011146991316766748,546.8511132467538,1707.921875,1845.51171875,1707.91796875,1707.91796875,1707.91796875,1707.921875
17,0.16098614630008035,0.0009748037808413674,282.7854674682021,1707.92578125,1845.51171875,1707.921875,1707.92578125,1707.92578125,1707.92578125
18,0.1605041081258589,0.0009448748774302648,320.67724943812937,1707.9296875,1845.51171875,1707.92578125,1707.92578125,1707.92578125,1707.9296875
19,0.16046503341953983,0.0008361125349927156,280.8485757028684,1707.9296875,1845.51171875,1707.9296875,1707.9296875,1707.9296875,1707.9296875
20,0.16021474030423236,0.001005773240152548,236.1901574851945,1707.93359375,1845.51171875,1707.9296875,1707.9296875,1707.9296875,1707.93359375
21,0.15959661955349147,0.0012600031705372575,512.5720150880516,1707.9375,1845.51171875,1707.9375,1707.9375,1707.9375,1707.9375
22,0.15942276855695503,0.00041436202542742144,558.1017163656652,1707.9375,1845.51171875,1707.9375,1707.9375,1707.9375,1707.9375
23,0.15939803732664254,0.00024223942694569692,269.9731831550598,1707.9453125,1845.51171875,1707.9375,1707.9453125,1707.9453125,1707.9453125
24,0.15938451793753908,0.00012458342364776227,270.9120826674625,1707.94921875,1845.51171875,1707.9453125,1707.9453125,1707.9453125,1707.94921875
25,0.15938016694911927,0.00011573176459711485,267.77087086997926,1707.94921875,1845.51171875,1707.94921875,1707.94921875,1707.94921875,1707.94921875
26,0.15937874398624136,8.962447669725558e-05,267.2036685636267,1707.94921875,1845.51171875,1707.94921875,1707.94921875,1707.94921875,1707.94921875
