iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.31840168072831015,0.0776802628327935,nan,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
2,0.18032459236680834,0.013471349808600281,97.83418327197433,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
3,0.17395804471973125,0.00856556693344031,96.90604406408966,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
4,0.17047204051504752,0.004361488136547821,102.52768810745329,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
5,0.16879843298019398,0.003792987582285989,100.8075081249699,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
6,0.16528204788162182,0.0048587345964824094,97.19866612739861,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
7,0.15988011044198563,0.0037851604358065025,96.86625823099166,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
8,0.15680716004031287,0.0023756278457852053,96.8902068277821,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
9,0.1565520970134884,0.0008350442213971395,96.30341835971922,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
10,0.15648353996174816,0.00040201329106327824,96.16207838431,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
11,0.15628814401920546,0.0009714760673855882,96.63227043207735,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
12,0.15580114049498467,0.0019519547888326764,124.63755411840975,1482.0,1613.90625,1482.0,1482.0,1482.0,1482.0
13,0.15221808926844532,0.001114287562209495,134.83202538080513,1481.9921875,1613.90625,1482.0,1481.9921875,1481.9921875,1481.9921875
14,0.15020906116884883,0.00202302719184045,214.6200382784009,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
15,0.1502086694532582,0.0020569442201406594,268.6499588601291,1481.9921875,1613.90625,1482.0,1481.9921875,1481.9921875,1481.9921875
16,0.1500094877495894,0.0028693430799643874,204.58380478061736,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
17,0.1496437085233959,0.0025173825880538164,114.19903772883117,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
18,0.14818992680535883,0.0009440809537750825,117.27667600475252,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
19,0.1481047773370641,0.0005607649177448306,156.83753299713135,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
20,0.14803614723712852,0.00033076275116458926,113.62315456103534,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
21,0.14802202902041592,0.00023786148360049444,118.92344888206571,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
22,0.14799886705623902,5.416531613293566e-05,128.30823681969196,1481.9921875,1613.90625,1481.9921875,1481.9921875,1481.9921875,1481.9921875
