iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.33606390810671277,0.08958894168300231,nan,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
2,0.1577898566058603,0.018141243734003606,73.48111137840897,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
3,0.14626826419987235,0.01112420728464594,73.03638578765094,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
4,0.14001055964320375,0.005285828081764766,82.32584063988179,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
5,0.13843697312690487,0.0030263584578756916,87.12035664450377,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
6,0.13651220668843375,0.0035742412759422917,80.33803422190249,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
7,0.13297572787952905,0.0037832485509608324,73.38685986865312,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
8,0.12947440483421221,0.0015866059947168215,74.26271155849099,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
9,0.1292196931463425,0.0006518450070822175,73.72914068866521,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
10,0.12919483927661984,0.00031329066361024627,79.84542620182037,1991.31640625,2127.40625,1991.31640625,1991.31640625,1991.31640625,1991.31640625
11,0.12917061466473817,0.00030865130796996237,74.04401902481914,1991.4609375,2127.40625,1991.31640625,1991.4609375,1991.4609375,1991.4609375
12,0.12910467290991584,0.0005930162433930381,73.2170264935121,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
13,0.12900544822927396,0.0009208451145255182,73.54658159520477,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
14,0.12886962868354232,0.000655519316123539,73.69562415126711,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
15,0.12881416786400068,0.0004178353214228478,74.16207067854702,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
16,0.12875553694065403,0.0005956150205794426,73.25910081807524,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
17,0.12874908797164727,0.0008466820144733659,145.87646106816828,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
18,0.12872919771756425,0.0014942775351053394,78.7115677613765,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
19,0.12733834800466454,0.0016925564214485844,247.54386766720563,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
20,0.12703751726189488,0.0005898731673632249,79.19384546391666,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
21,0.12697181930985932,0.0004916816011859255,84.14693183358759,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
22,0.12686539529038296,0.0005502913407393556,87.35316956695169,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
23,0.12681301374634793,0.0006689586923132048,78.77649282384664,1991.4609375,2127.40625,1991.4609375,1991.4609375,1991.4609375,1991.4609375
24,0.1267125715245218,0.0011317166305054843,76.96063301432878,1991.60546875,2127.40625,1991.4609375,1991.60546875,1991.60546875,1991.60546875
25,0.12661085841998654,0.0010609698643020726,89.43108217511326,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
26,0.12642427911769133,0.0010794642364232287,86.27628408558667,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
27,0.12631652015120318,0.00034676355357869063,78.20028605312109,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
28,0.12630278841210188,0.00039186195978965863,81.06498009804636,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
29,0.1262707852951403,0.000548231978981132,72.6212454540655,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
30,0.12621166132619757,0.0007505311255873309,85.6593642020598,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
31,0.12609879182789,0.00039319435439961326,200.92561442870647,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
32,0.12607405506856503,0.00023568475373882082,104.09971029404551,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
33,0.12606664188153496,0.00013684441377324167,102.60058083944023,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
34,0.1260583391681293,0.00012646043486549952,101.56865691114217,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
35,0.12605151228603825,0.00019560883107918567,101.44400109443814,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
36,0.1260364676992039,0.0002819133970628872,80.29940899088979,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
37,0.12600114090844808,0.0004428132007801052,95.916674121283,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
38,0.12593331989941747,0.0004875656493276988,98.1255569383502,1991.60546875,2127.40625,1991.60546875,1991.60546875,1991.60546875,1991.60546875
39,0.12585666934655218,0.0003496870058342617,101.61173119954765,1991.75,2127.40625,1991.60546875,1991.75,1991.75,1991.75
40,0.12584882475557854,0.0005054470711867244,200.79982817918062,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
41,0.12584796154867667,0.0005646732487810249,196.96518570464104,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
42,0.12579739817928587,0.0003380209108923647,99.62356726266444,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
43,0.12578648567295517,0.00034485060398433705,79.08252762351185,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
44,0.12578632598762993,0.0003491162483038393,223.40671458654106,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
45,0.12578625744377234,0.0003512291448693685,215.99032947979867,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
46,0.12578600302335988,0.0003632723764525634,144.75183882936835,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
47,0.1257860010343258,0.000363355056598582,143.45803554914892,1991.75,2127.40625,1991.75,1991.75,1991.75,1991.75
48,0.12576999570631656,0.0002303472423275068,71.54431255813688,1991.89453125,2127.40625,1991.75,1991.89453125,1991.89453125,1991.89453125
49,0.1257656886247131,7.29096030152655e-05,71.68958997447044,1991.89453125,2127.40625,1991.89453125,1991.89453125,1991.89453125,1991.89453125
