model,success,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error
linear,True,32,35,35,53.06121604796499,0.27480421159044544,0.4629043363652108,0.40634772672849356,0.053377695284670686,0.17120983868739836,0.6882323136690189
quadratic,True,22,26,26,134.4796981299296,0.4099210418819621,0.4629043195117478,0.11445837810645247,0.14799886807812992,0.1649709246262363,0.10287907754993096
mixture_linear_kle,True,27,33,33,92.35709144547582,0.3897698933257977,0.4629042591301869,0.15799026334692015,0.1195951729226248,0.1645123505794122,0.27303225258522645
mixture_linear_hep,True,30,33,33,92.05631074709818,0.41528052936911464,0.4629042970237922,0.1028803749735549,0.1341648752420136,0.16403439847837367,0.18209304580891356
mixture_quadratic_kle,True,26,32,32,336.27517228380134,0.44905201709533016,0.4629042591127328,0.029924637211059146,0.15937874396480894,0.16377315725000735,0.026832317084112448
mixture_quadratic_hep,True,23,28,28,288.0069773826019,0.452464277082393,0.4629042969119154,0.022553300756050262,0.16056227615176805,0.16372588967383642,0.019322622270495558
saa_10,True,49,62,62,103.88958324697249,0.4585894114121668,0.4629042723188898,0.009321281234039993,0.1257656886247131,0.16585900363595305,0.24173131474515241
saa_20,True,30,35,35,58.40096086064975,0.4589272398029548,0.462904215269351,0.008591357207845046,0.16011995507587257,0.16438948776423654,0.025972054213632145
saa_50,True,27,29,29,62.63931968853016,0.4338239869980863,0.46290427233179177,0.06282138029795904,0.15559403734855515,0.1641276651055511,0.05199384120591703
saa_100,True,26,30,30,81.48800697349586,0.43857559548135133,0.4629041248601107,0.05255630285453043,0.16007402131679785,0.16426185482149505,0.025494863121131573
saa_200,True,23,26,26,113.9168698489666,0.4103452723049434,0.4629043047823088,0.11354189609898421,0.15072447246166776,0.16529712004613953,0.08816032354589176
saa_500,True,35,42,42,231.85525189981396,0.41772000614562854,0.4629043326492206,0.09761050678657572,0.14934455336849264,0.16429526094629218,0.0909990190324899
