model,resolution_type,resolution_value,mean,std,cvar,mean_rel_error,std_rel_error,cvar_rel_error,runtime_sec
mc,mc_samples,1,0.32950752792754323,0.0,0.32950752792754323,0.35660718972720556,1.0,0.7471692973030493,91.72096633911133
mc_single,mc_samples,1,0.2253483238793152,0.0,0.2253483238793152,0.4179005884637619,1.0,0.8226074985422456,91.72096633911133
mc,mc_samples,2,0.3984012044004127,0.12740172349590698,0.6404644790426357,0.40372103700201806,0.6927051041276723,0.5712514514616084,186.8108241558075
mc_single,mc_samples,2,0.3622604393884104,0.11285184895021329,0.5766789523938156,0.06424159292267659,0.5923188210273445,0.5460426767675364,186.8108241558075
mc,mc_samples,5,0.38701979830548083,0.2017010606467982,0.988392124368195,0.3417467424898691,0.6696616027315428,0.585159901435851,453.08534240722656
mc_single,mc_samples,5,0.7526085199674416,0.7721516479511965,3.259071356288597,0.9440702688555457,1.789424339173202,1.5655163986529994,453.08534240722656
mc,mc_samples,10,0.3873364184428512,0.2130650104458866,1.0667981076010578,0.17095455319791797,0.4294955434204981,0.3909707350792502,914.708646774292
mc_single,mc_samples,10,0.35770063955808806,0.16767215112352393,0.7893703581119904,0.07602005549236117,0.39427859723347203,0.378613605854547,914.708646774292
mc,mc_samples,20,0.3839149644840459,0.21964033053626492,1.0934246414846436,0.15852331078041138,0.45419499177596256,0.4520478004719273,1810.9362652301788
mc_single,mc_samples,20,0.32104973406835846,0.14945278365528017,0.8216722516852851,0.17069336013725175,0.4600966877537836,0.3531857987861543,1810.9362652301788
mc,mc_samples,50,0.37556422791839356,0.26058276768591315,1.2607468443253362,0.1044731078334906,0.32577845097873304,0.276260758321225,4610.476438522339
mc_single,mc_samples,50,0.3762688292943065,0.2377941086234441,1.1294520217492399,0.028056386925052676,0.14096061820727304,0.11090388441532835,4610.476438522339
mc,mc_samples,100,0.3810542231992691,0.2649068893128047,1.2613490168972858,0.07066928500100624,0.2665667635149567,0.23821735984573944,9569.016740322113
mc_single,mc_samples,100,0.3856564702135781,0.2804398387549771,1.3796895684803325,0.0038070818459165295,0.013098546085579314,0.08608122560951187,9569.016740322113
mc,mc_samples,200,0.3925585018033054,0.2761660552580926,1.3019514228801339,0.044599392084625336,0.1644457743083893,0.11009122315036025,15330.884045124054
mc_single,mc_samples,200,0.37291188715534135,0.2205205682272885,1.096934253320276,0.036727736283299124,0.2033618759557683,0.1365016265424327,15330.884045124054
mixture_linear_kle,n_mix,1,0.25948453931500987,0.12628762301331853,0.5199796367238438,0.32972300375790087,0.5437816259223401,0.5906759505567202,30.147263050079346
mixture_linear_hep,n_mix,1,0.2594845393164623,0.12628762300756952,0.5199796367238433,0.32972300375414904,0.5437816259431086,0.5906759505567206,43.70570135116577
mixture_quadratic_kle,n_mix,1,0.3743337114916334,0.19059907177812468,0.9688856967739378,0.03305500823626578,0.31145430919895595,0.23730048478454915,514.7089519500732
mixture_quadratic_hep,n_mix,1,0.37433371149163464,0.19059907177813037,0.9688856967751599,0.033055008236262624,0.3114543091989354,0.2373004847835871,512.6299483776093
mixture_linear_kle,n_mix,3,0.3068008577724731,0.18171555941431447,0.8646133739524173,0.20749976882982088,0.3435463026185238,0.31938287110851443,68.91126275062561
mixture_linear_hep,n_mix,3,0.3181885055237164,0.1852063559674611,0.8857716885835776,0.17808422696703474,0.3309356802177483,0.3027272053620862,83.74070119857788
mixture_quadratic_kle,n_mix,3,0.37236858258589545,0.2144226126992453,1.0835313848111086,0.038131151514950806,0.22539094966719878,0.14705226357678608,932.4902215003967
mixture_quadratic_hep,n_mix,3,0.371100408074149,0.21192932201876197,1.0577068336064868,0.04140698523008507,0.23439804785474747,0.16738115557096445,932.7504663467407
mixture_linear_kle,n_mix,5,0.32305977365158095,0.20700268515544537,1.0016991746591755,0.16550120765785292,0.25219569267395764,0.21146996240308083,98.24936294555664
mixture_linear_hep,n_mix,5,0.3386640417934265,0.21452411795227685,1.0643178396745714,0.12519367331965,0.2250242584555548,0.16217702144038185,111.55889511108398
mixture_quadratic_kle,n_mix,5,0.3783507136882366,0.23612250683486116,1.1707864154379086,0.022678651427706826,0.14699933706107704,0.07836576136010907,1379.060601234436
mixture_quadratic_hep,n_mix,5,0.37820466430415023,0.23673746183242378,1.1694752431472952,0.023055912989134845,0.14477779101860097,0.079397906301194,1386.6968307495117
mixture_linear_kle,n_mix,7,0.33038935430999267,0.21980352352094937,1.0593957220726324,0.1465680977299806,0.20595222457633366,0.16605167530443635,122.99775981903076
mixture_linear_hep,n_mix,7,0.3479531155100422,0.22999815897107773,1.1230122524706974,0.10119897812478126,0.16912375399152005,0.11597322223628878,143.33714962005615
mixture_quadratic_kle,n_mix,7,0.3811312919972981,0.24742854068471068,1.2159381329358623,0.015496112993110042,0.10615590159866947,0.04282266978439641,1745.7124161720276
mixture_quadratic_hep,n_mix,7,0.3815253416493654,0.25016405742322706,1.225750849525474,0.014478239566603995,0.09627375345991995,0.03509817327179101,1740.4347081184387
mixture_linear_kle,n_mix,9,0.33438528830103303,0.22718350986627273,1.089649777536617,0.13624616240479065,0.1792917705204071,0.14223591095523241,142.73222875595093
mixture_linear_hep,n_mix,9,0.3530340957788236,0.23911512055929285,1.1620659149070562,0.08807424937787989,0.13618841723357558,0.08523047362644058,158.73721599578857
mixture_quadratic_kle,n_mix,9,0.38254788488505825,0.2539392332914124,1.2407083338596852,0.011836898350833812,0.08263580101972645,0.02332375438158498,2156.9711112976074
mixture_quadratic_hep,n_mix,9,0.38321516498549335,0.2580511044588978,1.252230137471706,0.010113240738891105,0.06778152525076085,0.01425387745125574,2164.0246160030365
mixture_linear_kle,n_mix,15,0.33959452711632765,0.2368432624985205,1.1270615990669388,0.12279012777921844,0.1443955824797809,0.1127856071273279,216.68258595466614
mixture_linear_hep,n_mix,15,0.35967452212497764,0.2512136331655548,1.2043135448498024,0.07092130054780076,0.09248212505477048,0.051973457877706304,229.27068066596985
mixture_quadratic_kle,n_mix,15,0.38406650305644996,0.262267128137462,1.2676946459157556,0.007914141222235122,0.0525509949595649,0.0020803330046873323,3415.1485755443573
mixture_quadratic_hep,n_mix,15,0.3850059621718423,0.26825256124191915,1.2844913745841158,0.005487415392558644,0.030928412366668528,0.01114192515767337,3440.05584859848
mixture_linear_kle,n_mix,21,0.34159522548496385,0.24015288561555878,1.139236783305906,0.11762210468059382,0.1324394553373308,0.10320139389388006,286.63109731674194
mixture_linear_hep,n_mix,21,0.3622257261469856,0.2553200251872122,1.2173057016330526,0.06433126102873583,0.07764764288822874,0.041746130017276416,300.7408697605133
mixture_quadratic_kle,n_mix,21,0.38445311353940503,0.26493951306489455,1.2753195992433368,0.0069154839846405245,0.042896912655914735,0.0039219727635270325,4587.649463176727
mixture_quadratic_hep,n_mix,21,0.38544070518856766,0.271467137348949,1.292258880659536,0.004364426546451904,0.019315645811204984,0.017256447374155638,4677.146651983261
mixture_linear_kle,n_mix,27,0.3426379203176836,0.2416113698970891,1.1447830310557805,0.1149287096817338,0.12717063079490193,0.09883542948323915,362.06306505203247
mixture_linear_hep,n_mix,27,0.3635535168134275,0.2570634021672576,1.222875476376235,0.06090143225400279,0.07134963369094699,0.03736164533489425,380.01311707496643
mixture_quadratic_kle,n_mix,27,0.3845908102025562,0.266023066237068,1.2780578257257773,0.006559798416578688,0.038982539618871104,0.006077484004596317,6047.530555009842
mixture_quadratic_hep,n_mix,27,0.38558333126083993,0.2726943278962513,1.2946722108417803,0.003996007774524935,0.01488237782488232,0.01915620269739057,7837.226431846619
mixture_linear_kle,n_mix,33,0.34327976576680147,0.24238107387777946,1.1479053666981411,0.1132707525609663,0.12439004873774631,0.09637755040761893,458.6293239593506
mixture_linear_hep,n_mix,33,0.36436988590007974,0.25793864671386735,1.2258587692115548,0.05879266145528528,0.0681877827157922,0.035013219708610106,472.87025022506714
mixture_quadratic_kle,n_mix,33,0.3846540331886821,0.26654701412959847,1.279419782609407,0.00639648651620198,0.03708975986794923,0.007149606194393713,7364.638128519058
mixture_quadratic_hep,n_mix,33,0.3856423771307677,0.27323443791818314,1.2955895149521206,0.003843485822966019,0.012931211826589668,0.0198782975766846,7360.620104312897
mixture_linear_kle,n_mix,39,0.34371668187786275,0.24284642159815223,1.1499195379501428,0.11214215037408835,0.12270896412071446,0.09479200998465923,550.8135342597961
mixture_linear_hep,n_mix,39,0.3649251637753559,0.25844154305544303,1.2277181029789375,0.05735831786278337,0.06637105241547554,0.03354956618608591,569.1317534446716
mixture_quadratic_kle,n_mix,39,0.38468929617808906,0.2668395353126891,1.2801730135919278,0.006305398350869962,0.036033017050651824,0.007742543944560525,8793.950871706009
mixture_quadratic_hep,n_mix,39,0.38567205304957275,0.27350288547790186,1.296035667567698,0.0037668296731627414,0.011961435800263839,0.02022950555172856,8886.047038793564
