iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.24886881554175114,0.007101280233885335,0.0001,nan,1701.0703125,1666.40625,1700.65234375,1700.98046875,1700.98046875,1701.0703125
2,0.0814316099454739,0.004927772621237643,0.0001,2.512758955359459,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
3,0.018288479181109176,0.004572933837100495,0.0001,1.3083793828263879,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
4,0.010799445171673104,0.00776051077837562,0.0001,1.3117590425536036,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
5,0.005017166548183415,0.00823534937172012,0.0001,1.3054344607517123,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
6,0.0028126605346737495,0.004030892859265026,0.0001,1.2226588232442737,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
7,0.002026787706259735,0.003208399132911857,0.0001,1.2159515181556344,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
8,0.0019903920893836373,0.002987756229456918,0.0001,0.6118258787319064,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
9,0.0019224326530259484,0.0005521540489921798,0.0001,0.6102312924340367,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
10,0.0019023877396188607,0.0005240132788121454,0.0001,0.6099260812625289,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
11,0.0017070241343502743,0.0032403868480129446,0.0001,0.6080579850822687,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
12,0.0014230617142124069,0.005954923770291422,0.0001,0.6077894736081362,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
13,0.0010002589539941237,0.00813329186037782,0.0001,0.6118561290204525,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
14,0.0008134221678311025,0.0017029884575708886,0.0001,0.6141228368505836,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
15,0.0007719068723064878,0.0021098080490566337,0.0001,0.613191862590611,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
16,0.0007540110095142208,0.0013395844033371892,0.0001,0.6146742794662714,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
17,0.0007292427135144185,0.00042396092215067307,0.0001,0.6160998344421387,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
18,0.0007232609191331015,0.0004359227688915854,0.0001,0.6288100816309452,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
19,0.0007226552038071001,0.00010727462759938224,0.0001,0.5686420388519764,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
20,0.0007223532055928051,0.00011325442333262133,0.0001,0.5682997265830636,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
21,0.0007181874733289218,0.0001472291663507334,0.0001,0.6136027555912733,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
22,0.0006948904000392018,0.0004158444369254135,0.0001,0.6192398453131318,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
23,0.0006642181892040379,0.000544490560333994,0.0001,0.6082604955881834,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
24,0.000593320158722503,0.0008680413478856092,0.0001,0.6084632053971291,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
25,0.0005538601721725322,0.0017461255509603683,0.0001,1.2137044006958604,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
26,0.0004414367992951603,0.0010311379849523815,0.0001,0.6152197709307075,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
27,0.00030612557887075653,0.0015537507933015904,0.0001,0.6100423922762275,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
28,0.00020580938175327555,0.0020659762232767584,0.0001,0.6078348038718104,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
29,0.00014883559586246692,0.0018080836296972501,0.0001,0.6075586322695017,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
30,0.00012215842155733817,0.0036791155129637155,0.0001,1.2244995404034853,1701.25390625,1666.40625,1701.25390625,1701.25390625,1701.25390625,1701.25390625
