iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.03859973942115687,0.004274101104927099,0.0001,nan,2505.26171875,2484.99609375,2505.26171875,2505.26171875,2505.26171875,2505.26171875
2,0.035542793623342075,0.009083942234835489,0.0001,3.1134644066914916,2505.265625,2484.99609375,2505.26171875,2505.26171875,2505.26171875,2505.265625
3,0.03429039460553097,0.0037858496390400743,0.0001,3.1218252182006836,2505.2734375,2484.99609375,2505.265625,2505.26953125,2505.26953125,2505.2734375
4,0.031914682741982406,0.0013224416697664428,0.0001,3.1529340650886297,2505.28515625,2484.99609375,2505.2734375,2505.27734375,2505.27734375,2505.28515625
5,0.03169542453330815,0.0010213298532899117,0.0001,3.159125067293644,2505.3359375,2484.99609375,2505.28515625,2505.3359375,2505.3359375,2505.3359375
6,0.03160488424930545,0.0001922450010557003,0.0001,3.127332509495318,2505.3515625,2484.99609375,2505.3359375,2505.33984375,2505.33984375,2505.3515625
7,0.031600065436358335,0.0001370100142516459,0.0001,3.130481120198965,2505.4140625,2484.99609375,2505.3515625,2505.41015625,2505.41015625,2505.4140625
8,0.03154855211763798,0.0006190374066291113,0.0001,3.142338724806905,2505.4140625,2484.99609375,2505.4140625,2505.4140625,2505.4140625,2505.4140625
9,0.03147801131308925,0.0009796162434396348,0.0001,3.1185437366366386,2505.42578125,2484.99609375,2505.4140625,2505.4140625,2505.4140625,2505.42578125
10,0.031334516561982446,0.0012115870003589048,0.0001,3.119232148863375,2505.43359375,2484.99609375,2505.42578125,2505.4296875,2505.4296875,2505.43359375
11,0.03120510665016553,0.000805605517309353,0.0001,3.122955583035946,2505.43359375,2484.99609375,2505.43359375,2505.43359375,2505.43359375,2505.43359375
12,0.031155721332318306,0.00020269562833938272,0.0001,3.119551530107856,2505.4453125,2484.99609375,2505.43359375,2505.44140625,2505.44140625,2505.4453125
13,0.03115176472849227,3.9565199568846344e-05,0.0001,3.1343026449903846,2505.4453125,2484.99609375,2505.4453125,2505.4453125,2505.4453125,2505.4453125
