iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.038306242847206136,0.004214240716914466,0.0001,nan,2503.95703125,2484.99609375,2503.57421875,2503.70703125,2503.70703125,2503.95703125
2,0.0320752613018202,0.002963817670751977,0.0001,1.7873940439894795,2504.4765625,2484.99609375,2503.95703125,2504.2265625,2504.2265625,2504.4765625
3,0.03155837337203184,0.0005099275293450321,0.0001,3.5747910970821977,2504.6953125,2484.99609375,2504.5625,2504.62890625,2504.62890625,2504.6953125
4,0.03145884654148438,0.00018435639515292372,0.0001,1.6594185829162598,2504.7578125,2484.99609375,2504.6953125,2504.75390625,2504.75390625,2504.7578125
5,0.03143517513601271,0.00016030573343646707,0.0001,1.6601961553096771,2504.87890625,2484.99609375,2504.7578125,2504.87109375,2504.87109375,2504.87890625
6,0.031340149844057585,0.0004110913166780279,0.0001,2.085109367966652,2504.89453125,2484.99609375,2504.87890625,2504.8828125,2504.8828125,2504.89453125
7,0.031203796048983417,0.00057528833233381,0.0001,1.6616393914446235,2504.96484375,2484.99609375,2504.89453125,2504.90234375,2504.90234375,2504.96484375
8,0.031016103964172245,0.0005676482792214008,0.0001,1.7028476912528276,2505.015625,2484.99609375,2504.96484375,2505.015625,2505.015625,2505.015625
9,0.030909402477949145,0.00015007154284539504,0.0001,1.741280215792358,2505.03515625,2484.99609375,2505.015625,2505.01953125,2505.01953125,2505.03515625
10,0.03089552543320047,0.00012770300015495825,0.0001,1.7219730373471975,2505.0546875,2484.99609375,2505.03515625,2505.046875,2505.046875,2505.0546875
11,0.030884764179046943,3.139549076438359e-05,0.0001,1.7245097272098064,2505.0625,2484.99609375,2505.0546875,2505.0546875,2505.0546875,2505.0625
