iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.056174333980584676,0.053600492282733336,0.0001,nan,2526.3359375,2505.44140625,2526.12890625,2526.31640625,2526.31640625,2526.3359375
2,0.05410346750426706,0.5179567999583146,0.0001,179.92706685326993,2526.34765625,2505.44140625,2526.3359375,2526.3359375,2526.3359375,2526.34765625
3,0.05191913751963059,0.5189427879376691,0.0001,183.1208445681259,2526.359375,2505.44140625,2526.34765625,2526.35546875,2526.35546875,2526.359375
4,0.05095427395765885,0.09097657103785806,0.0001,549.5574890235439,2526.4609375,2505.44140625,2526.42578125,2526.42578125,2526.42578125,2526.4609375
5,0.048727282565847005,0.0432703631515432,0.0001,183.12482213415205,2526.46484375,2505.44140625,2526.4609375,2526.4609375,2526.4609375,2526.46484375
6,0.04857708737927539,0.05673966435613087,0.0001,183.57232822384685,2526.4765625,2505.44140625,2526.46484375,2526.46875,2526.46875,2526.4765625
7,0.048561622761367405,0.001176462901275599,0.0001,183.65745997801423,2526.484375,2505.44140625,2526.4765625,2526.4765625,2526.4765625,2526.484375
8,0.04856124124669208,0.0018022280621021736,0.0001,182.7324980152771,2526.4921875,2505.44140625,2526.484375,2526.48828125,2526.48828125,2526.4921875
9,0.04855952618661421,0.0008306799749601135,0.0001,368.0340544776991,2526.515625,2505.44140625,2526.51171875,2526.515625,2526.515625,2526.515625
10,0.04855799075238319,0.0017000383408996012,0.0001,189.91413968522102,2526.515625,2505.44140625,2526.515625,2526.515625,2526.515625,2526.515625
11,0.04855792288029486,0.0009197841518895356,0.0001,1315.5926317321137,2526.54296875,2505.44140625,2526.54296875,2526.54296875,2526.54296875,2526.54296875
12,0.04855791220712846,0.0008205108981613751,0.0001,2395.505150240846,2526.55078125,2505.44140625,2526.55078125,2526.55078125,2526.55078125,2526.55078125
13,0.04855791205581092,0.000819403411464581,0.0001,2576.7949505858123,2526.57421875,2505.44140625,2526.57421875,2526.57421875,2526.57421875,2526.57421875
