iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.9990172386790515,1.0,0.0001,nan,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
2,0.26101247555821894,1.0,0.0001,968.2162312269211,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
3,0.2490811589226764,1.0,0.0001,1616.4397516865283,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
4,0.24868352902814003,0.09077290772545554,0.0001,491.8828765032813,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
5,0.24868289106582336,0.008608345072043111,0.0001,250.77960111852735,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
6,0.24866455404083107,0.2570926706571719,0.0001,477.2136167958379,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
7,0.24857142575644314,0.9041932986764236,0.0001,121.49879523925483,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
8,0.24818573482519254,2.1250717793150313,0.0001,126.33474069647491,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
9,0.24608528296152904,3.308177890566628,0.0001,142.46763275098056,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
10,0.2328970479963617,5.255148009206005,0.0001,136.4171487307176,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
11,0.23109974852794962,6.081881525838364,0.0001,180.73884742055088,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
12,0.226817863551116,4.962151787794822,0.0001,320.9841319574043,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
13,0.21491083533429298,2.445057143121845,0.0001,165.7550847446546,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
14,0.19479136398381772,1.5639364525024422,0.0001,169.93617589771748,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
15,0.16703230467626567,2.522560065841997,0.0001,278.30028706230223,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
16,0.15358530599317216,4.925028005729115,0.0001,149.0052770320326,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
17,0.12827825266869775,2.14226212871141,0.0001,187.58724576234818,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
18,0.10121985386386305,1.1237075825672305,0.0001,157.3686903193593,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
19,0.07881460438924778,3.2541240142384398,0.0001,167.72434989828616,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
20,0.06511911674567948,0.20386291045440652,0.0001,170.48728156555444,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
21,0.05573459313665452,0.27290929539680775,0.0001,130.056029942818,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
22,0.054334637393241736,0.40724840471930546,0.0001,232.3210854176432,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
23,0.05378447889208444,0.15803862229736576,0.0001,91.79094740562141,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
24,0.05368653526926044,0.007971121248693702,0.0001,91.76610307209194,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
25,0.053685169204225384,0.003667317825609917,0.0001,91.0473015382886,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
26,0.053683318951652806,0.016000000000000902,0.0001,71.75859532691538,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
27,0.05367529447684753,0.015818269842008847,0.0001,185.3305576434359,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
28,0.05326288429224274,0.054166469332985745,0.0001,100.90060494840145,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
29,0.0532412109655006,0.0119999999999989,0.0001,102.11815468780696,2706.74609375,2705.4140625,2706.74609375,2706.74609375,2706.74609375,2706.74609375
