model,success,message,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error,opt_model_t,opt_true_var,opt_t_var_rel_error
linear,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,55,68,68,0.7515102462504398,0.25000000002790496,0.25000000002790496,0.0,3.456474873869716e-05,0.08496175325092806,0.9995931728405296,,0.05909038798267908,
quadratic,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,73,104,104,248.72981845907714,0.42079733042205886,0.08496175325092806,3.9527853924961507,0.05220813718385052,0.06251654371759294,0.1648908580152601,0.0417255160458403,0.044544953004310515,0.06329419537601451
mixture_linear_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,13,13,2.017669918946922,0.038586966654947576,0.08496175325092806,0.5458313278801591,0.030884764179046943,0.06530622607856329,0.5270777989545343,,0.04624391702351602,
mixture_linear_hep,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,14,14,3.2074020821601152,0.03888601062291721,0.08496175325092806,0.5423115797990851,0.03115176472849227,0.06463884224283035,0.5180643147743326,,0.045836199652888716,
mixture_quadratic_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,77,357,357,876.2448663761016,0.05642899656664161,0.06251654371759294,0.09737497930868841,0.048519571545474455,0.05229326287217697,0.07216400582856604,0.04029767542825242,0.04200988632418679,0.04075733227939217
mixture_quadratic_hep,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,20,20,703.7949684113264,0.05665709566393955,0.06251654371759294,0.09372635953968243,0.04893212328188383,0.05248935492518964,0.06777053458507444,0.04027824609627533,0.04197429480058152,0.04040684214860689
saa_1,False,One or more continuation stages failed; final stage: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1200,1570,1570,0.2550686778081581,4.999000000558095,0.25000000002790496,18.99600000000043,0.0009516770962748082,0.2590321634523414,0.9963260273025906,0.0009471103028619462,0.19775433200276085,0.99521067228581
saa_10,False,One or more continuation stages failed; final stage: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1200,1557,1557,2.5309908914534995,4.999000000558096,0.25000000002790496,18.996000000000436,0.033768016403345966,0.10039314527444271,0.6636422107203134,0.03375544439840958,0.07142167777527288,0.5273781651472746
saa_39,False,One or more continuation stages failed; final stage: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1200,1643,1643,1.0844047408589783,4.999000000558095,0.25000000002790496,18.99600000000043,0.042276887978186045,0.06979114906870021,0.39423711255176486,0.04224816886874922,0.05117669747134235,0.17446472796711582
saa_100,False,One or more continuation stages failed; final stage: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1200,1706,1706,2.754238013122231,4.999000000558095,0.25000000002790496,18.99600000000043,0.0492030400682814,0.05521508151436482,0.10888404546716685,0.04647515796786828,0.04687969859360027,0.008629335039863382
saa_200,False,One or more continuation stages failed; final stage: STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1200,1585,1585,5.163350624476249,4.999000000558095,0.25000000002790496,18.99600000000043,0.05260156281097793,0.054231588276637516,0.03005675322184484,0.04525889787897387,0.045585750960686566,0.007170071235517744
saa_500,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,766,1049,1049,13.14571075654873,4.999000000558098,0.25000000002790496,18.996000000000443,0.05323496924907084,0.05378109325105441,0.010154572340770723,0.044683513412048195,0.045332728402451505,0.014321110007757702
saa_1000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,232,333,333,24.61354580268681,4.999000000558088,0.25000000002790496,18.996000000000404,0.05436595498683225,0.05341747847707612,0.017755920661121517,0.043902159174912726,0.045017220564769894,0.024769663161519257
saa_2000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,121,184,184,54.12115614915128,4.999000000558099,0.25000000002790496,18.996000000000446,0.053463434478371194,0.052336875852471,0.021525140879172365,0.04303404667629815,0.04343390888126769,0.009206221941999698
saa_5000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,80,128,128,175.2236441339599,4.99900000055811,0.25000000002790496,18.99600000000049,0.05312562794593277,0.05209993687019178,0.01968699267902235,0.043182800634922754,0.04280264189048609,0.008881665421712275
saa_10000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,75,121,121,278.87451552449414,4.999000000558048,0.25000000002790496,18.996000000000244,0.051918383057226854,0.05202712912037847,0.002090179969377189,0.0427535315654863,0.04262256646025696,0.0030726705617659163
