iteration,model_cost,projected_grad_inf_norm,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.2484422352334688,0.013455475640311855,nan,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
2,0.0725262680304518,0.010323308459609966,0.30790402460843325,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
3,0.02461725173896022,0.005944563049028746,0.3099051509052515,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
4,0.018133264448165317,0.0026496504043556075,0.2542482828721404,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
5,0.012971456100643848,0.0017124964583822943,0.2685219580307603,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
6,0.009887007671713249,0.0016913736321442201,0.2972054500132799,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
7,0.004661629924433174,0.0017090551486233158,0.26863388903439045,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
8,0.0038681561171950503,0.001029993141245777,0.5611257925629616,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
9,0.0036149735817805548,0.00044939389670781464,0.27183561958372593,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
10,0.0032939235879068073,0.0007949432209485995,0.2483838740736246,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
11,0.0028508211987378516,0.0012378320986872967,0.24189591314643621,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
12,0.0022599520731647065,0.0012873400969397838,0.2427833555266261,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
13,0.0018091283361687228,0.0009818877188086258,0.25583241786807775,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
14,0.0017662783787081395,0.0013541097513076294,0.25568731781095266,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
15,0.0015254415109541637,0.0003368213624391112,0.26069558318704367,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
16,0.0014859458578526167,0.0002969427966619636,0.253839710727334,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
17,0.0013378603608088934,0.0003566660586056382,0.24309539701789618,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
18,0.0012835007226869447,0.0003684340785575435,0.24298320710659027,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
19,0.0011855364728641943,0.0002846534878490445,0.2425732361152768,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
20,0.001082046800629356,0.00046805051043318245,0.25105214212089777,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
21,0.0009820059048186308,0.0004418023793817689,0.26242505945265293,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
22,0.0009554657728708196,0.0001994967671019499,0.24963037762790918,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
23,0.0009376879521733871,0.00012322774364718878,0.24164311215281487,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
24,0.0009163650555269366,0.0001439465152873999,0.24489011242985725,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
25,0.000857259622605458,0.0001352753632738114,0.24270226620137691,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
26,0.0008333476580640036,8.690207727902898e-05,0.2559574879705906,1764.41015625,1791.765625,1764.41015625,1764.41015625,1764.41015625,1764.41015625
