model,success,message,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error
linear,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,6,6,0.966570588061586,0.2500000000279049,0.25000000002790324,6.661338147007448e-15,0.00012198778217569426,0.023280787683246332,0.9947601522837013
quadratic,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,10,10,19.52106248997152,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.01864463825978558,0.02025145438925468,0.0793432460989897
mixture_linear_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,6,6,2.2078801428433508,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.005628861067173151,0.021646583984500936,0.7399653880167215
mixture_linear_hep,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,12,12,3.834068938934555,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.005756805802051232,0.0216391845323677,0.7339638287459376
mixture_quadratic_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,10,10,85.19052773658186,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.01949849494042595,0.02023879200054395,0.036578124825735726
mixture_quadratic_hep,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,10,10,84.47225655782968,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.01951288227450928,0.020238819720614958,0.03586856625667013
saa_1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26,28,28,0.27568104701976365,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.0008333476580640036,0.08771908968799053,0.9904998141108378
saa_10,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,19,19,2.482545858062804,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.02318850955646579,0.023254266953448084,0.00282775617541208
saa_39,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,12,12,1.937075670498113,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.023225213510480985,0.02070775312712572,0.12157090959605697
saa_100,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,11,11,3.399338040086958,0.25000000002790496,0.25000000002790324,6.883382751907696e-15,0.02173157399108859,0.020520878928633225,0.0589982069806014
saa_200,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,11,11,5.454200889811748,0.2500000000279049,0.25000000002790324,6.661338147007448e-15,0.02146128490421571,0.02046059159571606,0.048908327201505265
saa_500,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,7,7,15.685913768969476,0.2500000000279049,0.25000000002790324,6.661338147007448e-15,0.02067453257139903,0.020319835315194986,0.01745571510310449
saa_1000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,8,8,29.444819245177012,0.2500000000279049,0.25000000002790324,6.661338147007448e-15,0.020869890317971835,0.020305893577188042,0.02777502692210479
saa_2000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,8,8,69.10616668779403,0.2500000000279044,0.25000000002790324,4.6629367029052136e-15,0.020581765585088067,0.020268098075303144,0.015475922240929422
saa_5000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,8,8,140.23996421974152,0.2500000000279044,0.25000000002790324,4.6629367029052136e-15,0.020652436795432237,0.020239963936804047,0.020379130116835606
saa_10000,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,8,8,279.3634051630273,0.2500000000279029,0.25000000002790324,1.3322676294014895e-15,0.02032196919386624,0.020236535803442358,0.004221739889361439
