model,total_iterations,avg_iter_time_sec
linear,4,0.966570588061586
quadratic,5,19.52106248997152
mixture_linear_kle,4,2.2078801428433508
mixture_linear_hep,6,3.834068938934555
mixture_quadratic_kle,5,85.19052773658186
mixture_quadratic_hep,5,84.47225655782968
saa_1,26,0.27568104701976365
saa_10,15,2.482545858062804
saa_39,9,1.937075670498113
saa_100,9,3.399338040086958
saa_200,9,5.454200889811748
saa_500,5,15.685913768969476
saa_1000,6,29.444819245177012
saa_2000,5,69.10616668779403
saa_5000,5,140.23996421974152
saa_10000,5,279.3634051630273
