model,resolution_type,resolution_value,mean,std,cvar,mean_rel_error,std_rel_error,cvar_rel_error,runtime_sec
mc,mc_samples,1,0.11721206488870588,0.0,0.11721206488870588,0.11618643192963214,0.9999999999999998,0.2393543139728849,4.117020130157471
mc_single,mc_samples,1,0.1109808718600726,0.0,0.1109808718600726,0.06494706076813754,1.0,0.26274167281351923,4.117020130157471
mc,mc_samples,2,0.11963221476021055,0.010979156158998632,0.14049261146230793,0.07098092428410788,0.5435913985187598,0.12349276922218472,8.204805612564087
mc_single,mc_samples,2,0.11978484308127282,0.016775039837221416,0.15165741877199362,0.00922949803269191,0.012208011558011794,0.0074771714735964905,8.204805612564087
mc,mc_samples,5,0.1198429282431424,0.013264750041960838,0.1434289474281108,0.06999676480872175,0.30713755728101305,0.08919905259733711,20.177932500839233
mc_single,mc_samples,5,0.1286605409604554,0.015542478043456999,0.1531638718557375,0.08401037919325414,0.062164921948851835,0.017484707564196365,20.177932500839233
mc,mc_samples,10,0.11902641202759767,0.013722974719538799,0.1447957804004785,0.04394032381047543,0.2591961403260236,0.0661837707840116,40.16066551208496
mc_single,mc_samples,10,0.11702921364870103,0.01499764498733358,0.16630161162318577,0.01398765062702307,0.09504021701349274,0.10476018018953719,40.16066551208496
mc,mc_samples,20,0.11887583868667453,0.015277974031112734,0.1454174528720859,0.035185851259819406,0.18781099034098395,0.06507181035551365,74.21691751480103
mc_single,mc_samples,20,0.11289205337964503,0.0183518251445189,0.14360687614327333,0.04884468323829639,0.10735143512306952,0.0460034823716642,74.21691751480103
mc,mc_samples,50,0.11800719642544932,0.017282380322339534,0.1516539720839935,0.012611114125767904,0.11266275323525352,0.033730333316364075,199.60889530181885
mc_single,mc_samples,50,0.11980851943992679,0.01990087799375788,0.15692664333071668,0.009428979694519305,0.2008214786842999,0.04248121873529136,199.60889530181885
mc,mc_samples,100,0.11785467251090351,0.01652465916612634,0.14905798067560053,0.015896821903766425,0.08219562279048513,0.017230419221372844,394.1276924610138
mc_single,mc_samples,100,0.11704669371753557,0.0176830170428689,0.1508578056174217,0.013840374889612072,0.06699547023391758,0.002165251979223818,394.1276924610138
mc,mc_samples,200,0.11854686218900563,0.016648664784318846,0.1502585705537543,0.01189955934161533,0.04933236399125859,0.015792500545845026,778.45228099823
mc_single,mc_samples,200,0.11782148477907711,0.01728332481062185,0.1469261945681172,0.00731248727039758,0.042877990718889286,0.02395287934175523,778.45228099823
mc,mc_samples,500,0.11871046340444993,0.01670418724096084,0.15053975127113736,0.003398571135213592,0.031515979377342324,0.007473166141010958,1946.321408033371
mc_single,mc_samples,500,0.11827843672919841,0.016901074425918525,0.15069636791884003,0.003462506126012905,0.019812954476213743,0.0010928033166179869,1946.321408033371
mc,mc_samples,1000,0.11864454979255938,0.016636599845726744,0.15051525621074163,0.0055278459738974835,0.023000438486162428,0.008583211272806219,3884.4456872940063
mc_single,mc_samples,1000,0.11915108781432535,0.015866514427164597,0.14988559130030585,0.003889886663806013,0.04261252584083489,0.004293276315699933,3884.4456872940063
mixture_linear_kle,n_mix,1,0.11916785883659561,0.01701774417182892,0.15427057769471225,0.004031188434146301,0.026852821603974973,0.02483667806014622,4.205341577529907
mixture_linear_hep,n_mix,1,0.11916785883659561,0.01701774417182892,0.15427057769471225,0.004031188434146301,0.026852821603974973,0.02483667806014622,6.085859775543213
mixture_quadratic_kle,n_mix,1,0.11844056016845844,0.017072754275247366,0.15110335169175917,0.0020965590410989936,0.030172138156251364,0.0037964419760143963,157.37721395492554
mixture_quadratic_hep,n_mix,1,0.11844056016845844,0.017072754275247366,0.15110335169175917,0.0020965590410989936,0.030172138156251364,0.0037964419760143963,156.7471215724945
mixture_linear_kle,n_mix,3,0.11876661385039483,0.0161703632226592,0.14928029564982415,0.0006505580839708868,0.024278251342156117,0.008314322927138046,6.912193775177002
mixture_linear_hep,n_mix,3,0.11877308243936335,0.016200321862857154,0.14916357792152266,0.0007050582246377005,0.022470543228315026,0.009089691832412629,9.593897104263306
mixture_quadratic_kle,n_mix,3,0.1185682653828061,0.015993850637756334,0.1482496954936277,0.0010205976251392442,0.03492904289396258,0.01516071487217078,266.0229377746582
mixture_quadratic_hep,n_mix,3,0.11855923035217084,0.016093476753823936,0.1486644023364727,0.0010967209408958912,0.02891759053244387,0.012405770996669552,264.4502339363098
mixture_linear_kle,n_mix,5,0.11864115791139603,0.01658196453809206,0.1500769372377876,0.0004064523948513677,0.0005578237486776326,0.003022143881638834,9.282134532928467
mixture_linear_hep,n_mix,5,0.11864946673863239,0.016598496291993673,0.15002131918726475,0.0003364475985408381,0.0015553518563121154,0.003391620803225326,11.580667734146118
mixture_quadratic_kle,n_mix,5,0.11855138639326344,0.01634366498574176,0.14943105321482522,0.0011628090577816357,0.013821201182425994,0.0073128235847690565,371.9316167831421
mixture_quadratic_hep,n_mix,5,0.11854424338021682,0.016410951336928402,0.1495845364778503,0.0012229914588771612,0.009761134297308767,0.006293217125994189,369.25430822372437
mixture_linear_kle,n_mix,7,0.11858695644565528,0.016767319691690947,0.1505260056060154,0.0008631188365734642,0.011742177006668712,3.893255519126372e-05,11.975051164627075
mixture_linear_hep,n_mix,7,0.11859602236092179,0.016778053972523937,0.15048572232366605,0.0007867353069192753,0.012389884860891397,0.00030653889906555646,13.855329513549805
mixture_quadratic_kle,n_mix,7,0.11854304748175107,0.016503776342073687,0.14996469032865561,0.0012330673247149928,0.004160061823400774,0.0037678126358258787,479.65218114852905
mixture_quadratic_hep,n_mix,7,0.11853640923789228,0.016556188854961754,0.15003887631986274,0.0012889968675944142,0.0009974842101140757,0.0032749868104260506,461.21595430374146
mixture_linear_kle,n_mix,9,0.11855807014033543,0.01685641332548886,0.15072433204043564,0.0011064961343021918,0.017118098064630237,0.001278572099681935,10.606892585754395
mixture_linear_hep,n_mix,9,0.11856752839912356,0.016864455796944525,0.15069022315400732,0.0010268069722724443,0.01760338180279989,0.0010519829575273642,12.312710523605347
mixture_quadratic_kle,n_mix,9,0.1185390141857972,0.016580359902508102,0.15020384701815018,0.001267049263883897,0.0004609998359194219,0.0021790680361751663,591.7518818378448
mixture_quadratic_hep,n_mix,9,0.1185321949434589,0.016625304922743722,0.15025133815126596,0.0013245037827112056,0.0031729880042686447,0.0018635791346167496,486.0216426849365
mixture_linear_kle,n_mix,15,0.11852096020855207,0.016941443324948124,0.15090262666833998,0.0014191603818174553,0.022248818916003086,0.0024630032265235092,22.680023670196533
mixture_linear_hep,n_mix,15,0.11853091286278393,0.016947059847145708,0.15087626907629398,0.0013353057640199879,0.02258772057112007,0.0022879067986904447,32.50839281082153
mixture_quadratic_kle,n_mix,15,0.11853629503596488,0.01664778858323985,0.15043997770463946,0.001289959059061217,0.004529654903671938,0.0006104255124618882,981.5222074985504
mixture_quadratic_hep,n_mix,15,0.118530180590147,0.016686706928535293,0.15045747795362427,0.001341475418934431,0.006877992748880563,0.0004941694038582872,967.4612658023834
mixture_linear_kle,n_mix,21,0.11850670297328814,0.01695766627230383,0.15092455158946635,0.0015392826111298437,0.023227713597856043,0.0026086529263538365,36.70843243598938
mixture_linear_hep,n_mix,21,0.11851684558114597,0.016962888262754883,0.15090066626512602,0.001453827567120951,0.023542809157814606,0.0024499800490163474,33.2409086227417
mixture_quadratic_kle,n_mix,21,0.11853701818658789,0.016657826229904766,0.1504857805819984,0.0012838662603273621,0.005135327764661128,0.0003061518824568817,1295.5146086215973
mixture_quadratic_hep,n_mix,21,0.11853042505104243,0.01669617487825725,0.15049742536620245,0.0013394157497773286,0.007449290024749218,0.0002287942803870166,1230.5643711090088
mixture_linear_kle,n_mix,27,0.11849920270302697,0.016961360315529545,0.1509235095244196,0.0016024750301043581,0.023450612630251506,0.0026017303718603303,40.59852910041809
mixture_linear_hep,n_mix,27,0.11850944645915935,0.01696652385800756,0.15090081378584128,0.0015161677762521933,0.023762181432172992,0.002450960045604328,37.77481460571289
mixture_quadratic_kle,n_mix,27,0.11853775195661298,0.016658404752726105,0.15049617639464027,0.0012776839893902231,0.005170235904392012,0.00023709133797178992,1635.345493555069
mixture_quadratic_hep,n_mix,27,0.11853130222626794,0.01669648615860787,0.1505063729706624,0.001332025239511113,0.0074680727202179695,0.00016935434460424293,1585.6575903892517
mixture_linear_kle,n_mix,33,0.11849454986493169,0.016962159036758753,0.15091929172065863,0.0016416768300528066,0.02349880756958107,0.002573711030390945,45.25813317298889
mixture_linear_hep,n_mix,33,0.11850485699562813,0.01696733023260677,0.15089732631298247,0.0015548356231743327,0.023810838176810015,0.002427792373888503,48.577678203582764
mixture_quadratic_kle,n_mix,33,0.11853842621806494,0.016657201469925248,0.15049962917451887,0.0012720030991439832,0.005097629668996059,0.00021415413559835428,1920.1073861122131
mixture_quadratic_hep,n_mix,33,0.11853146591416293,0.01669517446186028,0.15050608337819985,0.0013306461113355963,0.007388924773653948,0.00017127813967756115,1723.3557209968567
mixture_linear_kle,n_mix,39,0.11849136696388474,0.01696220944689619,0.15091532215919437,0.0016684938925731565,0.023501849323607972,0.0025473407902247692,39.29726505279541
mixture_linear_hep,n_mix,39,0.11850171771922145,0.016967399855801358,0.15089385736418295,0.0015812851327332708,0.023815039249119596,0.0024047477595674645,40.93506598472595
mixture_quadratic_kle,n_mix,39,0.11853894273099738,0.016655880228122547,0.1505003320863592,0.0012676512957427906,0.005017905772607313,0.00020948461373493455,1880.1284816265106
mixture_quadratic_hep,n_mix,39,0.11853168942060385,0.016694306726643682,0.1505064362373077,0.0013287629908390552,0.007336565521653712,0.0001689340572133903,1870.0051851272583
