iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.17562394584215868,0.004333294747177022,0.0001,nan,2457.1875,2541.44921875,2457.1796875,2457.18359375,2457.18359375,2457.1875
2,0.1756255709586845,0.004333199871168654,0.0001,nan,2457.41796875,2541.44921875,2457.4140625,2457.41796875,2457.41796875,2457.41796875
3,0.17556332108174996,0.004323236703856121,0.0001,53.95086300803814,2457.4453125,2541.44921875,2457.4453125,2457.4453125,2457.4453125,2457.4453125
4,0.17435146363761797,0.0041019519327809536,0.0001,10.155609828885645,2457.453125,2541.44921875,2457.4453125,2457.453125,2457.453125,2457.453125
5,0.17408853786702755,0.004043565711192513,0.0001,8.79299822601024,2457.453125,2541.44921875,2457.453125,2457.453125,2457.453125,2457.453125
6,0.17388935063459482,0.004089180599958558,0.0001,9.103778189048171,2457.453125,2541.44921875,2457.453125,2457.453125,2457.453125,2457.453125
7,0.17388445406921393,0.003993445104981495,0.0001,9.218313892022707,2457.45703125,2541.44921875,2457.453125,2457.453125,2457.453125,2457.45703125
8,0.1738293225630414,0.003972384124020343,0.0001,9.178822436952032,2457.4609375,2541.44921875,2457.45703125,2457.4609375,2457.4609375,2457.4609375
9,0.1737933834196895,0.00396206989410292,0.0001,110.31712905701715,2457.50390625,2541.44921875,2457.50390625,2457.50390625,2457.50390625,2457.50390625
10,0.17319526174017547,0.0037546038776227345,0.0001,7.026014495990239,2457.50390625,2541.44921875,2457.50390625,2457.50390625,2457.50390625,2457.50390625
11,0.17315768156820888,0.003747013219024392,0.0001,6.7793979870621115,2457.50390625,2541.44921875,2457.50390625,2457.50390625,2457.50390625,2457.50390625
12,0.17302797978299828,0.0037313064544230103,0.0001,43.861719580949284,2457.515625,2541.44921875,2457.515625,2457.515625,2457.515625,2457.515625
13,0.17293478566692963,0.003711671152405582,0.0001,38.499892957974225,2457.52734375,2541.44921875,2457.52734375,2457.52734375,2457.52734375,2457.52734375
14,0.17282969794614395,0.0036558615978070992,0.0001,1.9223490389995277,2457.52734375,2541.44921875,2457.52734375,2457.52734375,2457.52734375,2457.52734375
15,0.1727467684280272,0.0036431732774113833,0.0001,1.921619463013485,2457.53515625,2541.44921875,2457.52734375,2457.53125,2457.53125,2457.53515625
16,0.17248871039350844,0.003589098581047356,0.0001,1.9208823540247977,2457.5390625,2541.44921875,2457.53515625,2457.53515625,2457.53515625,2457.5390625
17,0.1724274435697704,0.0035695215956937157,0.0001,1.8675952519988641,2457.54296875,2541.44921875,2457.5390625,2457.5390625,2457.5390625,2457.54296875
18,0.17236689942472694,0.0035497132532819956,0.0001,1.8690771169494838,2457.54296875,2541.44921875,2457.54296875,2457.54296875,2457.54296875,2457.54296875
19,0.17234486129430152,0.003542638864897808,0.0001,1.8681329770479351,2457.54296875,2541.44921875,2457.54296875,2457.54296875,2457.54296875,2457.54296875
20,0.1723096476411265,0.0035310054339349256,0.0001,1.8668511139694601,2457.54296875,2541.44921875,2457.54296875,2457.54296875,2457.54296875,2457.54296875
21,0.17228393980232212,0.0035220830301618596,0.0001,1.8640872570686042,2457.54296875,2541.44921875,2457.54296875,2457.54296875,2457.54296875,2457.54296875
22,0.17228073308735017,0.003521440676575452,0.0001,3.739975350908935,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
23,0.1721050021207161,0.0034572371572728056,0.0001,1.8709452450275421,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
24,0.1720734338477055,0.003447871973592856,0.0001,1.8713705600239336,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
25,0.17203466530483483,0.003434626419741277,0.0001,1.868579110945575,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
26,0.1720218284289053,0.0034311042972916574,0.0001,1.869515851023607,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
27,0.17199972737713362,0.003424208195033835,0.0001,1.8712521590059623,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
28,0.17198476128860668,0.003418778397524066,0.0001,1.8678324340144172,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
29,0.1719611280372907,0.0034093347367847152,0.0001,1.8673524690093473,2457.546875,2541.44921875,2457.546875,2457.546875,2457.546875,2457.546875
30,0.1719546785429431,0.0034070319841206422,0.0001,1.8689527650130913,2457.55078125,2541.44921875,2457.546875,2457.55078125,2457.55078125,2457.55078125
31,0.17194820297721408,0.0034047145752922822,0.0001,1.8658151349518448,2457.5546875,2541.44921875,2457.55078125,2457.5546875,2457.5546875,2457.5546875
32,0.17194169798619766,0.003402319113574174,0.0001,1.8665150799788535,2457.5546875,2541.44921875,2457.5546875,2457.5546875,2457.5546875,2457.5546875
33,0.17186098100054567,0.0033596553953869545,0.0001,1.8662815890274942,2457.5546875,2541.44921875,2457.5546875,2457.5546875,2457.5546875,2457.5546875
34,0.17185705471151308,0.0033588725207814767,0.0001,1.8697651730617508,2457.5546875,2541.44921875,2457.5546875,2457.5546875,2457.5546875,2457.5546875
35,0.1717963928384436,0.003342826843605244,0.0001,1.8706075419904664,2457.5546875,2541.44921875,2457.5546875,2457.5546875,2457.5546875,2457.5546875
36,0.1717760305362514,0.0033364590753372143,0.0001,1.8694839209783822,2457.5546875,2541.44921875,2457.5546875,2457.5546875,2457.5546875,2457.5546875
37,0.1717574782082642,0.003330454922418187,0.0001,1.8688718739431351,2457.55859375,2541.44921875,2457.5546875,2457.55859375,2457.55859375,2457.55859375
38,0.17173789849599513,0.0033228649357270605,0.0001,1.8694548310013488,2457.55859375,2541.44921875,2457.55859375,2457.55859375,2457.55859375,2457.55859375
