iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.18672911132849557,0.5804122139688145,0.0001,nan,3229.171875,3492.24609375,3229.171875,3229.171875,3229.171875,3229.171875
2,0.18147318047868785,0.3419524441990811,0.0001,52.49854039796628,3229.171875,3492.24609375,3229.171875,3229.171875,3229.171875,3229.171875
3,0.18047542142299622,0.30089802330310106,0.0001,52.5130064439727,3229.17578125,3492.24609375,3229.171875,3229.171875,3229.171875,3229.17578125
4,0.17969239295035905,0.0657154627976175,0.0001,53.27297231100965,3229.17578125,3492.24609375,3229.17578125,3229.17578125,3229.17578125,3229.17578125
5,0.1796367704041139,0.014742299731397221,0.0001,52.53543934598565,3229.17578125,3492.24609375,3229.17578125,3229.17578125,3229.17578125,3229.17578125
6,0.1796343317138232,0.006297439090907366,0.0001,51.5157283419976,3229.17578125,3492.24609375,3229.17578125,3229.17578125,3229.17578125,3229.17578125
7,0.1796342298191529,0.005317840610249114,0.0001,112.12281517300289,3229.17578125,3492.24609375,3229.17578125,3229.17578125,3229.17578125,3229.17578125
8,0.17956189299439868,0.004745790155621641,0.0001,172.28192074899562,3229.17578125,3492.24609375,3229.17578125,3229.17578125,3229.17578125,3229.17578125
9,0.17956189299439856,0.0047457901556412704,0.0001,649.7738387550926,3229.17578125,3492.24609375,3229.17578125,3229.17578125,3229.17578125,3229.17578125
10,0.17956214994143882,0.26595348204914704,0.0001,nan,3167.22265625,3492.24609375,3167.22265625,3167.22265625,3167.22265625,3167.22265625
11,0.17956195841067463,0.04022390778099211,0.0001,nan,3167.22265625,3492.24609375,3167.22265625,3167.22265625,3167.22265625,3167.22265625
12,0.17963400786989397,0.005251025405367363,0.0001,nan,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
13,0.1796339281137071,0.004791540268551444,0.0001,52.02279175701551,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
14,0.17963354299005546,0.004766367011024432,0.0001,52.145169025985524,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
15,0.17963294371614572,0.005791478750908197,0.0001,51.692567226011306,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
16,0.17963252250181716,0.005769147279911153,0.0001,51.685609688051045,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
17,0.17962575139352852,0.004623026222963768,0.0001,54.56773228792008,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
18,0.1796251325562311,0.004585216006463917,0.0001,108.95057823101524,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
19,0.17961263426352142,0.015952968286851568,0.0001,112.80138253606856,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
20,0.17959344813134298,0.04457881947429072,0.0001,52.765360068995506,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
21,0.17957813523789862,0.030091772488668143,0.0001,107.88526619691402,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
22,0.17957253574135812,0.02528501644099308,0.0001,112.03964052908123,3167.2265625,3492.24609375,3167.2265625,3167.2265625,3167.2265625,3167.2265625
