iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.20300236254549756,0.0025085954364855887,0.0001,nan,1061.90234375,1055.71484375,1061.90234375,1061.90234375,1061.90234375,1061.90234375
2,0.13985035728665657,0.0005276572309331325,0.0001,0.13610497792251408,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
3,0.13438194042996687,0.0003454383059732612,0.0001,0.12942576012574136,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
4,0.11838487262192696,0.000286907541465243,0.0001,0.12965653208084404,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
5,0.10763942672080083,0.00022773495828830358,0.0001,0.12907067593187094,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
6,0.10242886803714157,0.00018219657328061718,0.0001,0.13036756007932127,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
7,0.09837022199238298,0.00020195719380637636,0.0001,0.12863760092295706,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
8,0.09604519191322965,0.00023317076734622377,0.0001,0.12824648804962635,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
9,0.09453453997233036,0.0002552353620723333,0.0001,0.12786578387022018,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
10,0.093869162893717,0.0002527291302185351,0.0001,0.1278037829324603,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
11,0.09338092839026162,0.00025290946648126925,0.0001,0.12132287817075849,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
12,0.09299185670786805,0.0002464674420337588,0.0001,0.12132859695702791,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
13,0.09268929917131175,0.0002214877294306703,0.0001,0.12095207301899791,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
14,0.09243570158014125,0.0002294474131796863,0.0001,0.12158132996410131,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
15,0.09221513903749881,0.00020822814331719576,0.0001,0.12086595199070871,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
16,0.09202470737280638,0.0002066417907429,0.0001,0.12113880598917603,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
17,0.09187118210960993,0.00016199581885438952,0.0001,0.12091840291395783,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
18,0.09174358541088974,0.00016348836182380252,0.0001,0.12098207417875528,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
19,0.0916182205747334,0.00013393719617195887,0.0001,0.12098249304108322,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
20,0.09149190208467858,0.00013221892230798647,0.0001,0.12112491484731436,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
21,0.0913711009207484,0.00013009339367270686,0.0001,0.12107854499481618,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
22,0.09125847896056151,0.0001314423291242385,0.0001,0.12094741314649582,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
23,0.09115834383692285,0.00013424962444557573,0.0001,0.12102863378822803,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
24,0.09106424653887746,0.00013702254231217736,0.0001,0.12075023213401437,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
25,0.09098024361654519,0.00013964739287857382,0.0001,0.1206453200429678,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
26,0.09090007961676463,0.00014211660887759718,0.0001,0.12091899290680885,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
27,0.09082287086118977,0.00014454414982147763,0.0001,0.12081910204142332,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
28,0.09075261359434514,0.000146872109537983,0.0001,0.12089806306175888,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
29,0.09068484643570425,0.00011290291982955416,0.0001,0.1207463308237493,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
30,0.09056626708929018,0.00011750538364102896,0.0001,0.24122854019515216,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
31,0.09049759978284451,0.0001200584576666569,0.0001,0.12096393387764692,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
32,0.09042927185055144,0.0001225261183977175,0.0001,0.12086757202632725,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
33,0.0903658284030388,0.00012497008279511648,0.0001,0.12082463200204074,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
34,0.09030389214400156,0.0001064065975788633,0.0001,0.12109147501178086,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
35,0.0902454026122091,0.00010784903962889,0.0001,0.12102892389521003,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
36,0.09018606985190644,0.00010916681476162583,0.0001,0.12075674207881093,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
37,0.09013097683779232,0.00010488827273855908,0.0001,0.12077131099067628,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
38,0.09007758312866611,0.00010646769250396202,0.0001,0.12090117298066616,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
39,0.09002580122419572,0.00010788721072433271,0.0001,0.12073079100809991,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
40,0.0899770198148207,0.00010905684218692614,0.0001,0.12072914093732834,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
41,0.08992942354038612,0.0001025781447705234,0.0001,0.12084445310756564,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
42,0.08988381903152579,0.00010485421768388246,0.0001,0.12080665188841522,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
43,0.0898385918977963,0.00010706050838155403,0.0001,0.1206820101942867,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
44,0.0897929929416532,0.00010926866502189187,0.0001,0.12066066078841686,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
45,0.08975098761186615,0.00011148989392259642,0.0001,0.12060044007375836,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
46,0.0897110915681133,0.00011341075117339067,0.0001,0.12066349014639854,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
47,0.08967468640066101,0.0001151583283094421,0.0001,0.1208697718102485,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
48,0.08964188728078652,0.00011675139147730896,0.0001,0.12044753902591765,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
49,0.08961178471559422,9.145394045675481e-05,0.0001,0.12081601214595139,1062.02734375,1055.71484375,1062.02734375,1062.02734375,1062.02734375,1062.02734375
