iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.10324811763769841,0.00010032820023402931,0.0001,nan,1239.34765625,1230.7109375,1239.34375,1239.34375,1239.34375,1239.34765625
2,0.10324526321935962,0.00010051093987870112,0.0001,2.881441284902394,1239.3515625,1230.7109375,1239.3515625,1239.3515625,1239.3515625,1239.3515625
3,0.10323420030165087,0.00010123018299534572,0.0001,3.8367316341027617,1239.35546875,1230.7109375,1239.3515625,1239.35546875,1239.35546875,1239.35546875
4,0.10323381968834175,0.00010125510609055007,0.0001,1.905068043852225,1239.35546875,1230.7109375,1239.35546875,1239.35546875,1239.35546875,1239.35546875
5,0.10322128719351845,0.00010209005287817151,0.0001,3.818442361196503,1239.35546875,1230.7109375,1239.35546875,1239.35546875,1239.35546875,1239.35546875
6,0.10321444220984803,0.00010254625548397189,0.0001,3.817772713955492,1239.36328125,1230.7109375,1239.36328125,1239.36328125,1239.36328125,1239.36328125
7,0.10321265006256553,0.00010266613143964401,0.0001,2.863643735880032,1239.36328125,1230.7109375,1239.36328125,1239.36328125,1239.36328125,1239.36328125
8,0.10319159515509833,0.00010408507198767406,0.0001,4.770268646068871,1239.375,1230.7109375,1239.375,1239.375,1239.375,1239.375
9,0.10317950691230253,0.00010487648932272592,0.0001,3.8239700358826667,1239.3828125,1230.7109375,1239.37890625,1239.3828125,1239.3828125,1239.3828125
10,0.10315637232450649,0.00010635201264089304,0.0001,4.7782613260205835,1239.390625,1230.7109375,1239.38671875,1239.38671875,1239.38671875,1239.390625
11,0.10313371976233858,0.00010781133170826638,0.0001,4.78008513408713,1239.39453125,1230.7109375,1239.39453125,1239.39453125,1239.39453125,1239.39453125
12,0.10313269363653231,0.00010506781004567198,0.0001,2.8610071600414813,1239.3984375,1230.7109375,1239.3984375,1239.3984375,1239.3984375,1239.3984375
13,0.1031233352541009,0.000105699263041992,0.0001,3.814337379997596,1239.40234375,1230.7109375,1239.40234375,1239.40234375,1239.40234375,1239.40234375
