iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.10324171466985521,0.00010017246264943882,0.0001,nan,1237.76171875,1229.7109375,1237.16015625,1237.484375,1237.484375,1237.76171875
2,0.10323886189043403,0.00010035485448110462,0.0001,0.9908160748891532,1238.34765625,1230.2109375,1238.22265625,1238.27734375,1238.27734375,1238.34765625
3,0.10322778362553568,0.00010107414357556508,0.0001,1.3232579051982611,1238.78125,1230.2109375,1238.6640625,1238.78125,1238.78125,1238.78125
4,0.10322745413484541,0.00010109569128203752,0.0001,0.6517695877701044,1238.9140625,1230.2109375,1238.84765625,1238.91015625,1238.91015625,1238.9140625
5,0.10321490649216712,0.00010193072545350011,0.0001,1.3169977210927755,1239.05859375,1230.2109375,1239.05078125,1239.05859375,1239.05859375,1239.05859375
6,0.1032080605640625,0.0001023865024362633,0.0001,1.316780440043658,1239.0703125,1230.2109375,1239.06640625,1239.06640625,1239.06640625,1239.0703125
7,0.10320634538072909,0.0001025011184273768,0.0001,0.9824154700618237,1239.08203125,1230.2109375,1239.07421875,1239.07421875,1239.07421875,1239.08203125
8,0.10318539875251281,0.00010391192880153323,0.0001,1.6503378208726645,1239.11328125,1230.2109375,1239.10546875,1239.10546875,1239.10546875,1239.11328125
9,0.10317317929280731,0.0001047115210041154,0.0001,1.320197104010731,1239.125,1230.2109375,1239.125,1239.125,1239.125,1239.125
10,0.10315013169980637,0.00010618080122789625,0.0001,1.6507190349511802,1239.1484375,1230.2109375,1239.14453125,1239.14453125,1239.14453125,1239.1484375
11,0.10312735181854311,0.00010764794627984931,0.0001,1.6509346661623567,1239.17578125,1230.7109375,1239.17578125,1239.17578125,1239.17578125,1239.17578125
12,0.10312621760517912,0.00010489253595283133,0.0001,0.9831229378469288,1239.18359375,1230.7109375,1239.1796875,1239.18359375,1239.18359375,1239.18359375
13,0.1031170801202988,0.00010550856772373286,0.0001,1.3222292240243405,1239.1875,1230.7109375,1239.1875,1239.1875,1239.1875,1239.1875
14,0.1031167536959141,7.523588620886985e-05,0.0001,0.6526068861130625,1239.1953125,1230.7109375,1239.19140625,1239.1953125,1239.1953125,1239.1953125
