iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.18332672543393777,1.1312425893564397,0.01,nan,3232.8203125,3223.04296875,3232.8203125,3232.8203125,3232.8203125,3232.8203125
2,0.1792121045007128,0.4893000269171024,0.01,185.07717106095515,3232.8203125,3223.04296875,3232.8203125,3232.8203125,3232.8203125,3232.8203125
3,17226.46686336231,9507251087906.102,0.01,251.24889994505793,3232.8203125,3223.04296875,3232.8203125,3232.8203125,3232.8203125,3232.8203125
4,0.18107709545485035,1.8730617816709012,0.003,nan,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
5,0.17824991566556803,0.06794179855977223,0.003,120.73974040290341,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
6,0.17819662162181865,0.02626979442140634,0.003,57.859696009079926,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
7,0.178189702791965,0.00559230154522161,0.003,58.046594580984674,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
8,0.17818957946934671,0.004585996177491771,0.003,57.80840526195243,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
9,0.17818956552632842,0.004589124594526658,0.003,59.55467900203075,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
10,0.1781893552091331,0.005285217424994124,0.003,61.374360347981565,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
11,0.17818896474010298,0.007095333583584783,0.003,59.328366207075305,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
12,0.1781878006575286,0.011543290281046803,0.003,58.348974104970694,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
13,0.17811404545387416,0.2111114156284748,0.003,68.01759982702788,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
14,0.17811422825391696,0.1591494748689409,0.003,498.4280090809334,2954.671875,3223.04296875,2954.671875,2954.671875,2954.671875,2954.671875
15,0.17951358042213283,0.15216106533197737,0.0003,nan,2954.67578125,3223.04296875,2954.67578125,2954.67578125,2954.67578125,2954.67578125
16,0.1796214157649622,0.21708163640618752,0.0001,nan,2954.67578125,3223.04296875,2954.67578125,2954.67578125,2954.67578125,2954.67578125
