iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.17636028955413385,0.44129189982288514,0.01,nan,2820.20703125,2810.55859375,2820.203125,2820.203125,2820.203125,2820.20703125
2,0.1735541377444391,0.19475148777367046,0.01,43.50724351091776,2820.2109375,2810.55859375,2820.20703125,2820.20703125,2820.20703125,2820.2109375
3,0.17312107494442844,0.0814843185361602,0.01,43.66728768707253,2820.2109375,2810.55859375,2820.2109375,2820.2109375,2820.2109375,2820.2109375
4,0.17305009266465565,0.0100132482718526,0.01,43.647287106956355,2820.21484375,2810.55859375,2820.2109375,2820.21484375,2820.21484375,2820.21484375
5,0.17304914213642403,0.004422028721267322,0.01,43.684347453992814,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
6,0.17304912894411376,0.004406773064999684,0.01,43.83358120301273,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
7,0.17304907885609544,0.004549749988724628,0.01,43.873412664048374,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
8,0.17304896244580348,0.005141704368622655,0.01,43.89185931591783,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
9,0.17304864277712867,0.006840893394908361,0.01,43.79373959300574,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
10,0.17304782042651787,0.010328984595053091,0.01,43.61629199597519,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
11,0.1730456775734846,0.01665265285627876,0.01,43.684276707004756,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
12,0.17304264041689044,0.01788002190733887,0.01,43.96237910108175,2820.21484375,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21484375
13,0.17290279794222888,0.06662791700614716,0.01,43.948117005988024,2820.21875,2810.55859375,2820.21484375,2820.21484375,2820.21484375,2820.21875
14,0.17288508200245356,0.05316965300642334,0.01,44.00380533200223,2820.22265625,2810.55859375,2820.21875,2820.21875,2820.21875,2820.22265625
15,0.17285212431207894,0.004415799365874394,0.01,43.57078556693159,2820.22265625,2810.55859375,2820.22265625,2820.22265625,2820.22265625,2820.22265625
16,0.17285158816846036,0.004659340322757644,0.01,43.563479491043836,2820.22265625,2810.55859375,2820.22265625,2820.22265625,2820.22265625,2820.22265625
17,0.17284805303997386,0.01189988452609538,0.01,43.53187035804149,2820.22265625,2810.55859375,2820.22265625,2820.22265625,2820.22265625,2820.22265625
18,0.17283708787535274,0.01816742253475804,0.01,87.35198274592403,2820.22265625,2810.55859375,2820.22265625,2820.22265625,2820.22265625,2820.22265625
19,0.1728310860485851,0.014666478052397233,0.01,43.58748621097766,2820.22265625,2810.55859375,2820.22265625,2820.22265625,2820.22265625,2820.22265625
20,0.17279774078496288,0.01437820061254106,0.01,43.54728269006591,2820.2265625,2810.55859375,2820.22265625,2820.2265625,2820.2265625,2820.2265625
21,0.1727926292266369,0.004697203350544106,0.01,87.16556016099639,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
22,0.1727890821718963,0.011742650830570274,0.01,43.550132198026404,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
23,0.1727862729507127,0.01725927941946333,0.01,43.59346539597027,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
24,0.17277311971295906,0.034397947410855056,0.01,43.59956661402248,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
25,0.17276692636906132,0.02832899201017726,0.01,43.59023352293298,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
26,0.172744674499565,0.01333862435410794,0.01,43.527401493047364,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
27,0.17274310081945263,0.009481382553658553,0.01,43.545387346995994,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
28,0.1727380817042961,0.007372404235097639,0.01,43.60592229501344,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
29,0.17273328470826904,0.014592328288079374,0.01,44.067965121008456,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
30,0.17273126544463646,0.010800143164705447,0.01,44.02136834501289,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
31,0.17272477246923823,0.010786851734553321,0.01,44.00072298699524,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
32,0.17272194693683207,0.014996060180607545,0.01,44.00230099493638,2820.2265625,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.2265625
33,0.17269783263643976,0.04012027640769358,0.01,44.00073357799556,2820.23046875,2810.55859375,2820.2265625,2820.2265625,2820.2265625,2820.23046875
34,0.17268973539123414,0.03010569613060298,0.01,44.01928526908159,2820.234375,2810.55859375,2820.23046875,2820.23046875,2820.23046875,2820.234375
35,0.17267813059860784,0.0044514811705110855,0.01,43.93447338999249,2820.234375,2810.55859375,2820.234375,2820.234375,2820.234375,2820.234375
36,0.17267684518522325,0.006003422568267556,0.01,88.43546537298243,2820.234375,2810.55859375,2820.234375,2820.234375,2820.234375,2820.234375
37,0.17266892174561901,0.009000919905235237,0.01,88.11221281299368,2820.234375,2810.55859375,2820.234375,2820.234375,2820.234375,2820.234375
38,0.17252108895641582,0.06834420336950392,0.01,44.03982286795508,2820.23828125,2810.55859375,2820.234375,2820.234375,2820.234375,2820.23828125
39,0.17249606852826974,0.05120217311306921,0.01,44.02122481900733,2820.23828125,2810.55859375,2820.23828125,2820.23828125,2820.23828125,2820.23828125
40,0.17246494147492425,0.004967160387452064,0.01,44.12692558998242,2820.23828125,2810.55859375,2820.23828125,2820.23828125,2820.23828125,2820.23828125
41,0.17246473258762632,0.004329917931154401,0.01,44.14195656706579,2820.23828125,2810.55859375,2820.23828125,2820.23828125,2820.23828125,2820.23828125
42,0.1724641647456669,0.005252974788669581,0.01,44.06479072093498,2820.23828125,2810.55859375,2820.23828125,2820.23828125,2820.23828125,2820.23828125
43,0.1724626360499843,0.009650711021593037,0.01,44.07123529398814,2820.23828125,2810.55859375,2820.23828125,2820.23828125,2820.23828125,2820.23828125
44,0.17245870922786016,0.018093813932419465,0.01,44.115977052017115,2820.23828125,2810.55859375,2820.23828125,2820.23828125,2820.23828125,2820.23828125
