iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.10945788003257441,0.5654045065091236,0.0001,nan,1195.8046875,1187.7109375,1195.80078125,1195.80078125,1195.80078125,1195.8046875
2,0.10608745292057678,0.21974394547423548,0.0001,52.86503034597263,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
3,0.10575267403570157,0.07999999999999918,0.0001,52.84691216191277,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
4,0.10569299253211124,0.011533188215703039,0.0001,52.86790608498268,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
5,0.1056924094168018,0.000930808230730773,0.0001,105.52849437016994,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
6,0.1056924036330575,0.0001423833665895602,0.0001,52.83001028187573,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
7,0.10569240074068097,0.0001997715328245775,0.0001,52.698522521182895,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
8,0.10569239128957846,0.000877059061566321,0.0001,52.735340603860095,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
9,0.10569236787600568,0.0019898832370595088,0.0001,52.700908835977316,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
10,0.1056923103064864,0.0039424334021851415,0.0001,52.90917408815585,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
11,0.10569215499905552,0.007078223532487549,0.0001,52.872180768987164,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
12,0.10569159589490644,0.011323655828747281,0.0001,52.69205745891668,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
13,0.10568913830463524,0.015688424934430234,0.0001,52.80481011001393,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
14,0.10568413714721765,0.021787629240129114,0.0001,105.52421986195259,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
15,0.10568331714571591,0.01767842327336666,0.0001,52.726643482921645,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
16,0.10568041961511322,0.007869290426021358,0.0001,52.851514974143356,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
17,0.1056801167416684,0.010624740500856933,0.0001,52.736915634945035,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
18,0.10567973152076376,0.004682120961286063,0.0001,52.65611992799677,1195.8046875,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.8046875
19,0.10567947613664568,0.0027068571515955764,0.0001,52.595515806926414,1195.80859375,1187.7109375,1195.8046875,1195.8046875,1195.8046875,1195.80859375
20,0.10567871761060153,0.01022989604795188,0.0001,52.80519624520093,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
21,0.10567577561063903,0.009544075043305567,0.0001,105.73311880789697,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
22,0.10567566879226889,0.00833867359130469,0.0001,52.807931307004765,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
23,0.10567521274114745,0.0017804542258749168,0.0001,52.694174353033304,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
24,0.10567466966981477,0.003999556432981555,0.0001,105.6158310030587,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
25,0.10567149585650322,0.02426866387121407,0.0001,52.973179729888216,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
26,0.1056676507249806,0.027852888000310938,0.0001,52.897903383011,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
27,0.10566230251059029,0.016897011113523375,0.0001,52.76325116190128,1195.80859375,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.80859375
28,0.10565577932970444,0.016210519927845057,0.0001,52.83950769016519,1195.8125,1187.7109375,1195.80859375,1195.80859375,1195.80859375,1195.8125
29,0.10565363162624175,0.017408299325699428,0.0001,105.49779829895124,1195.8125,1187.7109375,1195.8125,1195.8125,1195.8125,1195.8125
30,0.1056521095788097,0.012336371767482479,0.0001,52.87221657996997,1195.8125,1187.7109375,1195.8125,1195.8125,1195.8125,1195.8125
