iteration,model_cost,projected_grad_inf_norm,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.22356747259836846,1.0,0.0001,nan,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
2,0.2146178474386772,0.7377718828184051,0.0001,0.2021400728262961,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
3,0.2146131910143296,0.5740560870411051,0.0001,1.0869955711532384,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
4,0.21460721733530308,0.01688380250009025,0.0001,0.24317875504493713,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
5,0.21460720981811976,0.0013338378382110486,0.0001,0.24326968588866293,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
6,0.21460720611920994,0.004688023115782869,0.0001,0.2430274139624089,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
7,0.2146071650689615,0.032101386121018205,0.0001,0.24302646308206022,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
8,0.21460708784219615,0.06328416765960188,0.0001,0.24305067397654057,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
9,0.21460685488313444,0.12174573798052224,0.0001,0.24314672499895096,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
10,0.2146062749134854,0.21081989115518973,0.0001,0.24311408400535583,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
11,0.2146047228822307,0.3554975445564972,0.0001,0.3004958080127835,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
12,0.2146006654122319,0.5761350791269704,0.0001,0.306961219990626,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
13,0.21458974939289993,0.8734984005638855,0.0001,0.3074082948733121,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
14,0.21455565942526628,0.9999999999999984,0.0001,0.30694300099276006,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
15,0.19918054981623035,0.9999999999999984,0.0001,1.4197393842041492,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
16,0.19908215778501426,1.0,0.0001,0.3715549148619175,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
17,0.19682566548448396,0.9999999999999984,0.0001,1.6728923870250583,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
18,0.18813298701181125,0.9999999999999984,0.0001,1.7734269839711487,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
19,0.18783363274390713,0.8780313788016638,0.0001,2.1143491871189326,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
20,0.18780942142105075,1.0,0.0001,1.049870627000928,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
21,0.1876907147433028,0.9999999999999984,0.0001,1.728657284984365,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
22,0.18709699258306445,1.0,0.0001,0.3718584170565009,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
23,0.18707101573735477,0.9999999999999984,0.0001,1.7287191047798842,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
24,0.18685126413344555,0.9329065009127269,0.0001,0.37184855714440346,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
25,0.1867943682864326,0.31586348012475285,0.0001,0.3074050049763173,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
26,0.18623968887892772,1.0,0.0001,0.6595524589065462,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
27,0.18317926429035908,1.0,0.0001,0.37154060415923595,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
28,0.18305252501850305,0.9999999999999984,0.0001,1.4589850390329957,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
29,0.18241674600086305,0.6784573137940997,0.0001,0.3715837048366666,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
30,0.18200478427270306,0.9341562302502202,0.0001,0.37152995401993394,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
31,0.18196251581843864,0.7247512221053505,0.0001,0.3078140690922737,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
32,0.18192379468194614,0.5301884090092841,0.0001,0.30756606603972614,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
33,0.18175616020766927,0.0898063736467114,0.0001,0.30737335490994155,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
34,0.18127744285579933,0.9709432299066643,0.0001,0.3771643089130521,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
35,0.18020423348968048,0.9999999999999984,0.0001,0.3728916570544243,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
36,0.1760965621642021,0.9999999999999984,0.0001,0.3719979089219123,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
37,0.17601618378009026,0.9999999999999984,0.0001,0.3079242701642215,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
38,0.17480991759532818,0.20594418530263403,0.0001,2.9765778239816427,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
39,0.17327413845547324,1.0,0.0001,0.3721579199191183,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
40,0.17297569495964343,0.9999999999999984,0.0001,1.5083337740506977,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
41,0.1700049048172762,0.9999999999999984,0.0001,0.743559431983158,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
42,0.1656905289743519,0.9999999999999984,0.0001,1.5381689469795674,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
43,0.16564746177576126,0.021283070203586885,0.0001,1.165509280981496,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
44,0.16564739208815196,0.08584058280532392,0.0001,1.3640874789562076,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
45,0.16564739173291557,0.09022394894119756,0.0001,1.0637363831046969,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
46,0.1656473893874422,0.10113384127073854,0.0001,1.0610086959786713,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
47,0.16394424394828996,1.0,0.0001,0.37224725098349154,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
48,0.16307265537219198,0.5675477593673914,0.0001,1.088854718953371,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
49,0.1630573722145966,0.9754352649576945,0.0001,1.0137496029492468,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
50,0.16230911360627995,0.659933957411438,0.0001,0.3723895321600139,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
51,0.1619822884755963,1.0,0.0001,0.372682566056028,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
52,0.1619685997648829,0.9999999999999984,0.0001,1.1154619499575347,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
53,0.16178883958302476,0.4383238708704049,0.0001,0.9232827050145715,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
54,0.16178752388746698,0.19724808789036818,0.0001,0.6157155288383365,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
55,0.16178341281936828,0.01794496832903314,0.0001,0.6157097590621561,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
56,0.16176521413804348,0.3932023209901655,0.0001,0.3078128390479833,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
57,0.1617174248458112,1.0,0.0001,0.34022849705070257,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
58,0.16128248814503376,1.0,0.0001,0.7385587438475341,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
59,0.16032609473411416,0.10098226338596761,0.0001,1.7024620971642435,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
60,0.16024669627284044,0.029378768161827606,0.0001,0.308333053952083,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
61,0.1602466960693286,0.032581295116524744,0.0001,1.0493805729784071,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
62,0.1578317636626277,1.0,0.0001,0.3724441030062735,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
63,0.15654391492595635,1.0,0.0001,1.2302698860876262,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
64,0.15638085675816696,0.30767890088360905,0.0001,2.0944057118613273,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
65,0.1563780724386373,0.06159166627363177,0.0001,0.61511071305722,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
66,0.15637738961951048,0.003491568138314083,0.0001,0.30769686703570187,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
67,0.15637043508155837,0.17758632177062772,0.0001,0.30760356690734625,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
68,0.15636748861983346,0.10884424521826808,0.0001,0.3076077071018517,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
69,0.15636725648123143,0.23556714581264038,0.0001,1.0472599319182336,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
70,0.15606137531364905,1.0,0.0001,0.37183420709334314,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
71,0.15603104088409675,1.0,0.0001,0.6148406798020005,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
72,0.15439697584635062,0.6938834057221128,0.0001,1.9693090750370175,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
73,0.15438402891302194,0.07474617273417206,0.0001,1.3509053790476173,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
74,0.1539357353839852,0.9002967007144942,0.0001,0.3711197499651462,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
75,0.1533893298867318,1.0,0.0001,0.6784358839504421,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
76,0.1531393789290852,0.9999999999999984,0.0001,0.36985696805641055,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
77,0.15262224669419414,0.6417697787387231,0.0001,1.4699378970544785,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
78,0.1526153351931393,0.19133488178986724,0.0001,0.6118868310004473,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
79,0.15261466232687065,0.015444415769847564,0.0001,0.2421909759286791,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
80,0.15261452474108275,0.017453901151408546,0.0001,0.48401873698458076,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
81,0.15261370020259635,0.12618555294465938,0.0001,0.30602298118174076,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
82,0.1526115881262736,0.2956840532988936,0.0001,0.3060120618902147,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
83,0.15260593413692167,0.5581893550382939,0.0001,0.30569822806864977,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
84,0.1525901100587197,0.9027607527119366,0.0001,0.306031480897218,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
85,0.15258409098903652,0.7880884053900765,0.0001,0.2422688661608845,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
86,0.15257470262190775,0.5006271711990739,0.0001,0.3062325438950211,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
87,0.1525627963565886,0.3170063000163179,0.0001,0.936212012078613,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
88,0.15256130841558566,0.1531111427315992,0.0001,0.242125314893201,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
89,0.15256099320806077,0.2888263976161578,0.0001,0.9490940989926457,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
90,0.15255977144404834,0.14435043745870813,0.0001,0.2420223329681903,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
91,0.1525595022203281,0.2698976790973431,0.0001,0.9604593201074749,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
92,0.1525582276432295,0.09436638372427275,0.0001,0.24185210186988115,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
93,0.1525579694060652,0.217284921608073,0.0001,0.9804572970606387,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
94,0.15255721653096488,0.1002936012703517,0.0001,0.242422706913203,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
95,0.15252967002686857,0.04405386524814958,0.0001,0.30539206601679325,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
96,0.15252966230735573,0.025040008874201103,0.0001,1.4120609590318054,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
97,0.15252965598478557,0.003561476521000917,0.0001,1.0432512320112437,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
98,0.15252964342922384,0.00387832808090538,0.0001,0.7242675439920276,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
99,0.15252962530498013,0.00501422687501607,0.0001,0.4829840171150863,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
100,0.15252961994668415,0.0007817985582030029,0.0001,0.24170320993289351,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
101,0.1525295965545992,0.0015057808128302597,0.0001,0.241387888090685,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
102,0.1525295778499086,0.002326823572831316,0.0001,0.4837342039681971,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
103,0.152529568078582,0.0012059504692836231,0.0001,0.24148214887827635,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
104,0.15252954478771077,0.002659287031607227,0.0001,0.24122017598710954,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
105,0.15252950554428651,0.01561366497556227,0.0001,0.48248379211872816,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
106,0.15251207018753787,0.06786458749319446,0.0001,0.305227342993021,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
107,0.152466761605895,0.03459167286327003,0.0001,0.611250275047496,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
108,0.15246671562154707,0.0007911390207191375,0.0001,0.24211729504168034,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
109,0.15246668583589285,0.022891842598444123,0.0001,0.24201358389109373,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
110,0.15246663149153217,0.049474970466071855,0.0001,0.24197472305968404,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
111,0.1524664734713053,0.09747871977910538,0.0001,0.30582481902092695,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
112,0.15246607451771774,0.1719869091605064,0.0001,0.30576416896656156,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
113,0.15246501051620429,0.29391175239354683,0.0001,0.3059269208461046,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
114,0.15246213451192864,0.4779914806963129,0.0001,0.3059853110462427,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
115,0.1524519961690221,0.7639509628988744,0.0001,0.30569359799847007,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
116,0.15244867237149312,0.6720062650068297,0.0001,0.3055996971670538,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
117,0.1524385085730401,0.2859983703600901,0.0001,0.305922350846231,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
118,0.15242174285766208,0.07944620802542501,0.0001,0.3063953551463783,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
119,0.152421656575524,0.05503449912785152,0.0001,0.24221609579399228,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
120,0.1524214130774229,0.03874352246784085,0.0001,0.29922045418061316,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
121,0.15242120614258597,0.06972626142375726,0.0001,0.30588202993385494,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
122,0.15241929404678076,0.2539023439154773,0.0001,0.3057623188942671,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
123,0.15241511272403535,0.4653977941957941,0.0001,0.30620625405572355,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
124,0.1524143716746465,0.6596774826069365,0.0001,1.0441035199910402,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
125,0.1524087038695464,0.15174904624370056,0.0001,0.30613226210698485,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
126,0.15240843330927442,0.10790776404380042,0.0001,0.24231921695172787,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
127,0.15240672032961514,0.055073823203097394,0.0001,0.30596141098067164,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
128,0.1524058170543038,0.026091233828653637,0.0001,0.3057951389346272,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
129,0.15237184861339428,0.7816944182753696,0.0001,0.3060670020058751,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
130,0.15235968254848462,0.509344006268496,0.0001,0.6112267151474953,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
131,0.15233682373380117,0.6925579937490598,0.0001,0.30615808302536607,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
132,0.15231884275832538,0.27135555515818344,0.0001,1.3661123379133642,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
133,0.15222169710373668,0.1262712681739977,0.0001,0.30646910588257015,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
134,0.15221956815152657,0.031767607335119186,0.0001,0.6113466960377991,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
135,0.15220482584220774,0.617465380218693,0.0001,0.30608185194432735,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
136,0.15218405804802468,0.9236781010988755,0.0001,0.30639571510255337,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
137,0.15203459668673786,1.0,0.0001,0.36936257290653884,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
138,0.15168164435029835,1.0,0.0001,0.36895530903711915,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
139,0.15137418009266382,0.9999999999999984,0.0001,1.041938389185816,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
140,0.1512491214167918,0.8588798451867412,0.0001,0.6112901249434799,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
141,0.15123556578526218,0.1879674925663497,0.0001,0.9148345228750259,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
142,0.15123524810718433,0.03178240624282802,0.0001,0.24149766913615167,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
143,0.1512352107284958,0.04954287235499866,0.0001,0.24142219685018063,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
144,0.1512350235447842,0.1036523622615273,0.0001,0.2479890431277454,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
145,0.15123457865949497,0.17964307706117055,0.0001,0.30548531585372984,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
146,0.15123327437358125,0.3132600823142473,0.0001,0.30532844411209226,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
147,0.15122980469815264,0.5195999410402741,0.0001,0.30568056902848184,1267.45703125,1258.2109375,1267.45703125,1267.45703125,1267.45703125,1267.45703125
