model,total_iterations,avg_iter_time_sec
linear,16,0.46910979106178274
quadratic,19,25.76853932173751
mixture_linear_kle,39,2.574933510616971
mixture_linear_hep,2,84.22132131451508
alternating_hep_linear_cvar,38,22.850875435893325
mixture_quadratic_kle,131,54.04808092783099
mixture_quadratic_hep,16,393.44927624882257
alternating_hep_quadratic_cvar,46,193.28672828923646
saa_1,70,0.43327178214177753
saa_10,120,1.9244670083164237
saa_100,50,1.9125842632795684
saa_200,97,2.6271272140420665
saa_500,62,5.727354658790113
saa_1000,97,10.873182784516326
saa_10000,11,306.05149257700594
