iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.10329980487670448,0.11738142281501804,nan,3489.8515625,3518.07421875,3489.8515625,3489.8515625,3489.8515625,3489.8515625
2,0.06706297300271934,0.059428764087784754,0.058278747368603945,3489.93359375,3518.07421875,3489.9140625,3489.91796875,3489.91796875,3489.93359375
3,0.04573900552357317,0.03323294170114964,0.05839320784434676,3489.9609375,3518.07421875,3489.93359375,3489.94921875,3489.94921875,3489.9609375
4,0.03023390151762583,0.017747028561986056,0.05689992196857929,3489.9921875,3518.07421875,3489.9609375,3489.97265625,3489.97265625,3489.9921875
5,0.020302763198114773,0.009597565738246917,0.05711537506431341,3490.015625,3518.07421875,3489.9921875,3490.0,3490.0,3490.015625
6,0.013810102442994972,0.005120284441399286,0.056913652922958136,3490.0390625,3518.07421875,3490.015625,3490.0234375,3490.0234375,3490.0390625
7,0.00977524575583427,0.002691980327149261,0.056966762989759445,3490.04296875,3518.07421875,3490.0390625,3490.04296875,3490.04296875,3490.04296875
8,0.007430566566084736,0.0013597267605124277,0.05688829207792878,3490.04296875,3518.07421875,3490.04296875,3490.04296875,3490.04296875,3490.04296875
9,0.006261682187311412,0.0006357984122793759,0.056954172905534506,3490.04296875,3518.07421875,3490.04296875,3490.04296875,3490.04296875,3490.04296875
10,0.005815376835491188,0.00027195016717099864,0.05691501311957836,3490.04296875,3518.07421875,3490.04296875,3490.04296875,3490.04296875,3490.04296875
11,0.005682997806881515,0.00012819210465780226,0.057065683882683516,3490.04296875,3518.07421875,3490.04296875,3490.04296875,3490.04296875,3490.04296875
12,0.005630914461894834,8.596357794408814e-05,0.05693559302017093,3490.04296875,3518.07421875,3490.04296875,3490.04296875,3490.04296875,3490.04296875
13,0.005603039278826801,6.947832830774067e-05,0.055204165168106556,3490.04296875,3518.07421875,3490.04296875,3490.04296875,3490.04296875,3490.04296875
