iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.14610971626914035,0.14664359596300963,nan,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
2,0.09706568944440255,0.07680336412245195,5.13283649366349,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
3,0.06605082543331574,0.042710505018474884,4.7371145761571825,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
4,0.04386167124852351,0.02298880423777388,3.7675704951398075,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
5,0.029367060631439273,0.012434910694564935,3.402387124951929,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
6,0.019851467488638586,0.006639312283629385,3.0505950818769634,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
7,0.013880353207696566,0.003489111855030473,3.031193247064948,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
8,0.010368042865807923,0.0017651764008569262,3.0152600649744272,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
9,0.008575853842621743,0.0008288067098389055,3.0075775180011988,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
10,0.007894536892313614,0.0003693497291612451,3.001751189120114,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
11,0.0076975238875473095,0.00018227904551924482,2.9946438167244196,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
12,0.007646468046565699,0.00013872287668562536,3.0126683390699327,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
13,0.007626940686378031,0.0001270976462884152,3.0121542341075838,4504.8828125,4532.0625,4504.8828125,4504.8828125,4504.8828125,4504.8828125
