iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.13275847630441723,0.1383455295005098,nan,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
2,0.08755328846879776,0.07179749621489402,4.26500278012827,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
3,0.05946847834974497,0.03992459284823725,3.619857225101441,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
4,0.03934150825954725,0.02140720831199846,3.2531271032057703,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
5,0.026299514323221182,0.011556392404119367,2.949717938899994,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
6,0.017775222406168852,0.00615744400172446,2.9303291370160878,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
7,0.012456258821431414,0.003230856416845314,2.9251427240669727,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
8,0.009346482909874528,0.001631504851334894,2.909285348840058,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
9,0.007773051403599419,0.0007636996588861171,2.9090030258521438,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
10,0.007176270480321798,0.00033584151916904193,2.9064023182727396,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
11,0.007003942851622678,0.00016400728225881005,2.9032037458382547,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
12,0.006947565900850501,0.00011452773001427167,2.8946765172295272,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
13,0.006927741455859771,0.00010349571359916986,2.8994870367459953,3848.07421875,3878.69140625,3848.07421875,3848.07421875,3848.07421875,3848.07421875
