iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.15412732289748124,0.152345121436159,nan,31080.421875,31073.05859375,30981.86328125,30981.86328125,30981.86328125,31080.421875
2,0.1028251905857354,0.08042428338018755,74.19291437976062,32745.27734375,32738.05859375,31080.421875,31916.78515625,31916.78515625,32745.27734375
3,0.06984265508746684,0.04459255578420041,73.23020940832794,34410.14453125,34403.05859375,32745.27734375,33581.640625,33581.640625,34410.14453125
4,0.04642410591852571,0.024038306681446703,72.0035142689012,36074.9921875,36067.55859375,34410.14453125,35246.484375,35246.484375,36074.9921875
5,0.031069658126658208,0.013000420006918494,71.17539956886321,37739.84765625,37732.55859375,36074.9921875,36911.34765625,36911.34765625,37739.84765625
6,0.02099140409852525,0.006945720405452637,69.86372792720795,39404.7109375,39397.55859375,37739.84765625,38576.20703125,38576.20703125,39404.7109375
7,0.01465312460177607,0.003653286011711688,69.92536132968962,41069.5625,41062.05859375,39404.7109375,40241.0625,40241.0625,41069.5625
8,0.010911780037876672,0.0018514820009326086,69.85171445319429,42734.421875,42727.05859375,41069.5625,41905.91796875,41905.91796875,42734.421875
9,0.00899161123083446,0.0008735167015254529,69.77345070894808,44399.27734375,44392.05859375,42734.421875,43570.78125,43570.78125,44399.27734375
10,0.008254733140914359,0.0003925351921737051,69.67162975203246,46064.12890625,46057.05859375,44399.27734375,45235.62890625,45235.62890625,46064.12890625
11,0.008040694252223302,0.00019628469640741626,69.89251010399312,47745.234375,47738.05859375,46064.12890625,46916.73046875,46916.73046875,47745.234375
12,0.007989891497347426,0.00015280715838254322,69.92177912406623,49410.08984375,49402.55859375,47745.234375,48581.59375,48581.59375,49410.08984375
13,0.007969618453451108,0.0001397291537997567,69.7284197350964,51074.94921875,51067.55859375,49410.08984375,50246.4453125,50246.4453125,51074.94921875
