iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.15223730021101986,0.1511074625415848,nan,6190.9140625,6183.48828125,6096.859375,6096.859375,6096.859375,6190.9140625
2,0.10152461504075566,0.07969261824189419,72.3944115373306,7848.29296875,7840.98828125,6190.9140625,7019.79296875,7019.79296875,7848.29296875
3,0.06889241146157955,0.044159465612065886,70.96753310970962,9505.671875,9498.98828125,7848.29296875,8677.171875,8677.171875,9505.671875
4,0.04572033526945627,0.02377024407120078,70.37261843122542,11163.04296875,11155.48828125,9505.671875,10334.546875,10334.546875,11163.04296875
5,0.03055975709054256,0.012840069353202366,69.93753369664773,12824.48828125,12817.48828125,11163.04296875,11995.98828125,11995.98828125,12824.48828125
6,0.020626384813835955,0.006850124492870541,69.47155963303521,14481.87109375,14474.48828125,12824.48828125,13653.37109375,13653.37109375,14481.87109375
7,0.014395678686307149,0.003598007435579237,69.40619498025626,16139.25,16131.98828125,14481.87109375,15310.74609375,15310.74609375,16139.25
8,0.01072917707787366,0.0018209947928442913,69.38879159511998,17796.63671875,17789.48828125,16139.25,16968.1328125,16968.1328125,17796.63671875
9,0.008854149437242352,0.0008573234960119943,69.4996247868985,19454.01171875,19446.98828125,17796.63671875,18625.51171875,18625.51171875,19454.01171875
10,0.008139287304520149,0.0003852953099454028,69.85847743786871,21111.3828125,21103.98828125,19454.01171875,20282.88671875,20282.88671875,21111.3828125
11,0.007930276765902425,0.00019109497143535837,69.6006492790766,22768.765625,22761.48828125,21111.3828125,21940.26171875,21940.26171875,22768.765625
12,0.007880210165859238,0.00014859302589796536,69.87942272610962,24434.28125,24426.98828125,22768.765625,23605.78125,23605.78125,24434.28125
13,0.007859552427129839,0.00013558484976154773,69.80518378783017,26091.66015625,26084.48828125,24434.28125,25263.16015625,25263.16015625,26091.66015625
