iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.1430752607716966,0.14592292022117473,nan,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
2,0.09550376516733747,0.07706220434789589,0.5568673978559673,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
3,0.06439174864534472,0.042402699715836406,0.5562450722791255,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
4,0.04253393788231244,0.022712946383605756,0.5567195559851825,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
5,0.02832754750503561,0.012210014145732107,0.5546384248882532,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
6,0.019101305587600464,0.006495237352739815,0.5539145981892943,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
7,0.013352992628595932,0.003406339888319161,0.5541473100893199,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
8,0.00999191942774441,0.0017236734680243634,0.553841867018491,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
9,0.008280032684616627,0.0008101444130425514,0.5540203079581261,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
10,0.007632074770201645,0.00036469305110266157,0.5545350438915193,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
11,0.007438544016992798,0.00018039396913412808,0.5545241637155414,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
12,0.00738087328958432,0.00012995970306351853,0.552692465018481,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
13,0.007358497748312794,0.00011694383524415572,0.5532980524003506,3522.9296875,3554.9765625,3522.9296875,3522.9296875,3522.9296875,3522.9296875
