iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.18150457418704238,0.1709051091689559,nan,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
2,0.12362087009175941,0.09319633358239114,1.458134253975004,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
3,0.08337194144987335,0.05109654496722221,1.4549474311061203,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
4,0.05555114897638273,0.027661471935328176,1.4415383241139352,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
5,0.03706976714737813,0.014925142391578463,1.4185723699629307,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
6,0.024968619739090717,0.007976253333419817,1.3880416988395154,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
7,0.01731971176725819,0.0041967672428437006,1.3656393508426845,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
8,0.012772432920334451,0.0021341468538012233,1.3553554262034595,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
9,0.010411011918540691,0.0010219831283695645,1.3509272509254515,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
10,0.00947936106967294,0.0004698974879237244,1.3502605338580906,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
11,0.009217826434925582,0.00025917477778890396,1.3459184993989766,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
12,0.009165889532230246,0.0002109140843687418,1.2511254539713264,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
13,0.00914326739352337,0.0001900469441401304,1.2192374477162957,55134.24609375,55151.85546875,55134.24609375,55134.24609375,55134.24609375,55134.24609375
