model,success,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error
linear,True,13,14,14,0.6829955017982194,0.1264919623775353,0.200204708329845,0.3681868751601241,0.005603039278826801,0.008388502074880651,0.33205723396015024
quadratic,True,13,14,14,1.1516797062940896,0.18424742339119093,0.200204708329845,0.07970484346633755,0.007358497748312794,0.008032963486680745,0.08396225620672441
mixture_linear_kle,True,13,14,14,3.7184798041573512,0.16775559687713537,0.200204708329845,0.16207966197902027,0.006927741455859771,0.008058698957407729,0.14033996151554431
mixture_linear_hep,True,13,14,14,4.060916659207298,0.18662973077190706,0.200204708329845,0.06780548605067087,0.007626940686378031,0.008006481011135354,0.04740413725199136
mixture_quadratic_kle,True,13,14,14,75.91348277240132,0.19635325207138224,0.200204708329845,0.019237590816881946,0.007859552427129839,0.008003072747885977,0.01793315208762149
mixture_quadratic_hep,True,13,14,14,76.84671054812722,0.19911976919388702,0.200204708329845,0.00541914895513094,0.007969618453451108,0.008001719291174469,0.0040117425462259226
saa_10,True,13,14,14,0.24250002251937985,0.18266875201174979,0.200204708329845,0.08759012944492815,0.007518435842617757,0.008018420565681562,0.062354514703770306
saa_100,True,13,14,14,1.418247366933009,0.2452514804670068,0.200204708329845,0.22500356017075032,0.00914326739352337,0.008058367622220262,0.13463021571659126
saa_1000,True,13,14,14,14.101714534076073,0.19984575763674312,0.200204708329845,0.0017929183389158514,0.007988485025859504,0.008002906109434181,0.0018019808526401494
saa_10000,True,13,14,14,141.23658138567296,0.19778784069984617,0.200204708329845,0.01207198197365537,0.007938442242357235,0.008001743910547733,0.007910984017753276
