model,resolution_type,resolution_value,mean,std,cvar,mean_rel_error,std_rel_error,cvar_rel_error,runtime_sec
mc,mc_samples,1,0.04192818666379054,0.0,0.04192818666379054,1.1108085303874746,1.0,0.7931907605922329,3.0597105026245117
mc_single,mc_samples,1,0.009586619768037978,0.0,0.009586619768037978,0.7671851684156553,1.0,0.9408499773239771,3.0597105026245117
mc,mc_samples,2,0.041003368290434716,0.019545182798252153,0.0781392156071138,0.6317200432850418,0.7110978249429801,0.6317994028003477,4.749292373657227
mc_single,mc_samples,2,0.07023082373339931,0.0019666839617392892,0.07396752326070391,0.7055831768810783,0.9497447128725134,0.5436159163476122,4.749292373657227
mc,mc_samples,5,0.038741976092476975,0.026243406187769658,0.10247723344320185,0.405243236202247,0.5326513533786951,0.5304073739518336,10.58135437965393
mc_single,mc_samples,5,0.05480409854793426,0.038847797652087214,0.16528176278642626,0.3309390882601447,0.007310140695117553,0.01979845381423718,10.58135437965393
mc,mc_samples,10,0.04101061571036773,0.03347699696823998,0.13455704069465557,0.3174650304947824,0.4636187704240449,0.5084323216984201,22.979029417037964
mc_single,mc_samples,10,0.041039385407742525,0.03263201121337296,0.10644106828189553,0.0033423841546545542,0.16614406535094495,0.3432521832643036,22.979029417037964
mc,mc_samples,20,0.040982871019838774,0.035221588772719886,0.14218324660238235,0.21935104246015003,0.34748369638137394,0.38931795442416267,44.28714394569397
mc_single,mc_samples,20,0.0310088250720091,0.019341678995022114,0.08114412168931834,0.2469384870319387,0.5057560592689838,0.4993358708195177,44.28714394569397
mc,mc_samples,50,0.0410831223042314,0.03778978994426916,0.15561117846949896,0.1452820682353797,0.23223539569455276,0.2442689782885998,109.598073720932
mc_single,mc_samples,50,0.043698153141353425,0.0324198684075733,0.12357782453963256,0.06122683597716652,0.1715650164670887,0.2375173626742434,109.598073720932
mc,mc_samples,100,0.040906827958402434,0.03770657414743965,0.15583507934383262,0.09510171995910446,0.17446694495901963,0.18397922023494329,218.97781038284302
mc_single,mc_samples,100,0.042870359355486796,0.03950920894932111,0.15986231456456412,0.04112353830746564,0.009591107954135059,0.013639868865820802,218.97781038284302
mc,mc_samples,200,0.04128946536938244,0.03915769739924734,0.16184454617047375,0.07069257757377984,0.13222976612852982,0.12713728725790263,437.1292054653168
mc_single,mc_samples,200,0.040599191080171834,0.03493105964670542,0.1473559385833064,0.014032676532729002,0.10739576547924583,0.09080496363182099,437.1292054653168
mc,mc_samples,500,0.04115264626860855,0.03936266467416176,0.16288142623244362,0.04757256542720664,0.08633269104281889,0.08552041064358144,1096.9166622161865
