model,resolution_type,resolution_value,mean,std,cvar,mean_rel_error,std_rel_error,cvar_rel_error,runtime_sec
mc,mc_samples,1,0.31538110594082375,0.0,0.31538110594082375,0.3185580405809112,1.0,0.7588033455703155,18.631634950637817
mc_single,mc_samples,1,0.222174491088684,0.0,0.222174491088684,0.42178794055530144,1.0,0.827202474595903,18.631634950637817
mc,mc_samples,2,0.418713810019931,0.13143587004801896,0.6684419631111671,0.48469034584561094,0.6820650073915084,0.561988052138642,38.460613489151
mc_single,mc_samples,2,0.5329951188848452,0.14587575670520275,0.8101590566247303,0.3871268652590828,0.46819266468506004,0.36989399871027157,38.460613489151
mc,mc_samples,5,0.37852303463780174,0.17261472402798456,0.87779059701722,0.1622423309557384,0.5107231278040157,0.4410976465441041,96.97940945625305
mc_single,mc_samples,5,0.47373896800716553,0.14128616985142994,0.6817856083808314,0.23291194676930652,0.4849245467333836,0.46973720787185874,96.97940945625305
mc,mc_samples,10,0.3857999964086715,0.20203540487622562,0.9985975260005843,0.17881961363112528,0.42353718622265146,0.39369702899594927,191.82166624069214
mc_single,mc_samples,10,0.2963194846805333,0.07265858667680057,0.4791913783381949,0.22882461145221192,0.735114523200545,0.6273060693598416,191.82166624069214
mc,mc_samples,20,0.39820041386273203,0.2552964373017673,1.233398678472497,0.18453576016525836,0.40546490466287355,0.37995893122815916,386.9295349121094
mc_single,mc_samples,20,0.35343125009967513,0.18952524697022163,0.971653362660028,0.08019048455623519,0.3090632820515495,0.24429084637262372,386.9295349121094
mc,mc_samples,50,0.38741359512418505,0.2861926352493652,1.397199926817273,0.09870091612217136,0.375413384905769,0.37098247413729396,967.0989501476288
mc_single,mc_samples,50,0.4114559961985389,0.23267735739135237,1.1590293701044323,0.07081968666629083,0.1517471565033273,0.09855804758084637,967.0989501476288
mc,mc_samples,100,0.3842993007578658,0.26371214275977906,1.2719428893845948,0.059537055591846216,0.1908256416175162,0.17437262248397342,1933.088633298874
mc_single,mc_samples,100,0.40952266525332476,0.33923109412923236,1.638352542773407,0.06578816724233402,0.23670710130002262,0.2742383868801126,1933.088633298874
mc,mc_samples,200,0.3818710872132432,0.2629366622566798,1.259237496357534,0.053364288326846636,0.15224810561326527,0.13741000414155122,3861.3117747306824
mc_single,mc_samples,200,0.4013438048223662,0.2959301483436174,1.4369486516283683,0.044502574506093164,0.07884837881606062,0.11759531851486513,3861.3117747306824
mixture_linear_kle,n_mix,1,0.26020288577906225,0.12678564663223296,0.5217252628954789,0.32281853905671787,0.5377879202510102,0.5942250889047611,10.2299485206604
mixture_linear_hep,n_mix,1,0.26020288577906225,0.12678564663223274,0.5217252628954796,0.32281853905671787,0.5377879202510111,0.5942250889047606,12.256708145141602
mixture_quadratic_kle,n_mix,1,0.37524294377841894,0.1911204360400734,0.9371386425881928,0.02342526249962564,0.3032478315084153,0.2711348741869942,86.64378452301025
mixture_quadratic_hep,n_mix,1,0.3752429437784188,0.19112043604007134,0.9371386425879437,0.02342526249962593,0.30324783150842277,0.27113487418718796,74.8784110546112
mixture_linear_kle,n_mix,3,0.3068657418401952,0.18193129172656247,0.8649284088635093,0.20137783733408232,0.3367479446291199,0.32729681084918333,18.29336452484131
mixture_linear_hep,n_mix,3,0.3190196490144545,0.1857832198583579,0.8882771562540525,0.1697471327329721,0.32270528475291765,0.30913718437450965,20.86187505722046
mixture_quadratic_kle,n_mix,3,0.37336377624007633,0.21511356931113984,1.0466879142840364,0.028315820938906545,0.2157780246060392,0.18593227974825302,195.08550810813904
mixture_quadratic_hep,n_mix,3,0.3720213980016156,0.21256529227135784,1.0236327471125435,0.03180937810656673,0.22506807014053734,0.20386357246997927,194.9323182106018
mixture_linear_kle,n_mix,5,0.32289117966062625,0.20699533458166772,1.0000005689656222,0.15967142288366867,0.24537401009707996,0.22224363889293672,26.6943097114563
mixture_linear_hep,n_mix,5,0.3395428660359981,0.2151865136426723,1.0673534875237034,0.11633518826397173,0.21551209741255084,0.1698595078500328,29.194498300552368
mixture_quadratic_kle,n_mix,5,0.37928893251237283,0.2366418686861121,1.1420162362901078,0.012895523163278012,0.13729406138243697,0.11179011309871249,315.04256868362427
mixture_quadratic_hep,n_mix,5,0.3791474688189058,0.23744875430240117,1.1508963745099703,0.01326368430155903,0.13435246437417037,0.10488353304031114,316.91261053085327
mixture_linear_kle,n_mix,7,0.33011151214251294,0.21965692112154894,1.057354603099693,0.14088041184648936,0.199214697880168,0.17763619939011108,35.314290046691895
mixture_linear_hep,n_mix,7,0.3488543901135549,0.23071212468706384,1.1262377876502925,0.09210182336654113,0.15891164491008516,0.12406189491450802,37.72086763381958
mixture_quadratic_kle,n_mix,7,0.3820403944710374,0.2478400381946424,1.1912120120764704,0.005734806927100696,0.09646980914721881,0.07352780731120878,435.9385848045349
mixture_quadratic_hep,n_mix,7,0.38247798541075106,0.2509206457454022,1.208056419968473,0.0045959707033454075,0.08523908973418139,0.06042696937804824,435.398410320282
mixture_linear_kle,n_mix,9,0.3340458781189595,0.226947296213362,1.0873375977412927,0.13064117221684945,0.17263677267455205,0.15431674785053417,40.921125650405884
mixture_linear_hep,n_mix,9,0.35394754839318276,0.239862506120368,1.1654239742677284,0.0788468114004467,0.1255528464567214,0.09358460634579822,46.14966821670532
mixture_quadratic_kle,n_mix,9,0.38344101654565294,0.2542832793324979,1.2174976876652097,0.002089669403441869,0.07298021102818933,0.053083967547912156,554.8000407218933
mixture_quadratic_hep,n_mix,9,0.3841725094729152,0.2588374312832021,1.2386885172816022,0.00018594935948454072,0.05637751111268685,0.036602674393916144,556.9140594005585
mixture_linear_kle,n_mix,15,0.33917514873057547,0.2364835097681001,1.1244211556690205,0.11729217742784923,0.13787137755966516,0.12547479118984345,59.05124306678772
mixture_linear_hep,n_mix,15,0.36060355689479284,0.25201073776375926,1.2078280392824945,0.061524461005769,0.08126503026998881,0.06060459380825975,63.348851919174194
mixture_quadratic_kle,n_mix,15,0.3849444348362589,0.26251850032605234,1.2502269253287042,0.0018229966355729826,0.04295773826623214,0.02762860924416825,905.2048244476318
