iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.2751260445792643,0.030890742392552652,nan,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
2,0.2560762450646131,0.015990509325977856,3.6196388150565326,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
3,0.252048143206938,0.010474321555949925,3.6184072038158774,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
4,0.24864495762658068,0.02222666010159603,1.8296467531472445,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
5,0.23983444369882967,0.03723731764041831,1.8027911758981645,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
6,0.21616440857717809,0.06991194031873567,1.8174109058454633,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
7,0.18437353302370968,0.02873389214849649,1.8100121142342687,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
8,0.17105122248442733,0.016423466646417282,1.8161763036623597,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
9,0.163753685481388,0.005235466722089902,1.809343008324504,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
10,0.16142172179340003,0.003893079038957881,1.8126004696823657,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
11,0.15757876988829023,0.005946942337131261,1.8165642679668963,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
12,0.15447244495280532,0.0031835029328957177,1.8285182020626962,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
13,0.15165629824151594,0.004758916113973363,1.8126695300452411,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
14,0.15087722797459943,0.0007206263641494163,1.831243579275906,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
15,0.15087660026087368,0.0006488462055810818,9.031381567008793,4084.77734375,4092.42578125,4084.77734375,4084.77734375,4084.77734375,4084.77734375
16,0.15080252876676198,0.0006269174972058361,39.8547692168504,4082.80859375,4092.42578125,4082.80859375,4082.80859375,4082.80859375,4082.80859375
17,0.15040450612768835,0.0017721261779753885,1.8456462770700455,4082.80859375,4092.42578125,4082.80859375,4082.80859375,4082.80859375,4082.80859375
18,0.15017422602930275,0.002831851586561754,1.810002323705703,4082.80859375,4092.42578125,4082.80859375,4082.80859375,4082.80859375,4082.80859375
19,0.15017422602931244,0.0028318515865421163,27.19068108033389,4082.80859375,4092.42578125,4082.80859375,4082.80859375,4082.80859375,4082.80859375
