iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.27023021423329413,0.030577907674269048,nan,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
2,0.2557422466741818,0.020793411206416267,1.7963440157473087,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
3,0.25218042175899913,0.010154336129474358,1.7956418199464679,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
4,0.2349421422899031,0.01768760290500176,3.5898132659494877,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
5,0.19810254175285816,0.022194602981120803,1.7843228513374925,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
6,0.1650863833928693,0.024760737393171653,1.8103965818881989,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
7,0.1626679140172785,0.003045500163273557,1.7934864200651646,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
8,0.1609523189327641,0.003282084042616722,1.797624368686229,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
9,0.160012868243573,0.004092799882560744,1.7861777180805802,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
10,0.15760833068957686,0.0017634545670406404,1.8099560183472931,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
11,0.1568480723111506,0.0008431450239725597,1.8056946266442537,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
12,0.15651722442777286,0.0007225386760713264,1.7925567002967,3319.8359375,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3319.8359375
13,0.15614909635353555,0.0012938446477863865,1.873857257887721,3316.8828125,3333.37890625,3319.8359375,3319.8359375,3319.8359375,3316.8828125
14,0.15584764631225612,0.0007137190259459393,1.791780373081565,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
15,0.15559169366688366,0.0010903012518512568,1.80552729498595,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
16,0.15552060696617287,0.001191456633432627,1.8011448439210653,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
17,0.1554973754900463,0.0005172141703709133,1.7927331211976707,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
18,0.1554885770900723,0.0002728564131795228,1.800226304680109,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
19,0.1554794124295962,0.0002860066295262005,1.7981872139498591,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
20,0.15545752022647955,0.0005557649602768761,1.7940793549641967,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
21,0.15541751926114175,0.0008684437757238615,1.8064128994010389,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
22,0.15533529120224696,0.001158890117669353,1.865955039858818,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
23,0.15524206686655107,0.001067379217316326,1.8150595459155738,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
24,0.15522570276027697,0.000747296927762026,3.5936553310602903,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
25,0.15518690846225303,0.0002992597129619327,1.7961734039708972,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
26,0.15517739320599908,0.0001639054666332412,1.8013823139481246,3316.8828125,3333.37890625,3316.8828125,3316.8828125,3316.8828125,3316.8828125
