iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.27257283331586996,0.03100102145168082,nan,80933.390625,80921.45703125,80821.94921875,80820.96484375,80820.96484375,80933.390625
2,0.25625441031489216,0.014206685887167527,77.29458814067766,83565.25,83553.45703125,82249.31640625,82909.62109375,82909.62109375,83565.25
3,0.25396506056368673,0.027155581690861248,38.65708544710651,84881.17578125,84869.45703125,83565.25,84225.54296875,84225.54296875,84881.17578125
4,0.24742156641756832,0.015598056612208807,38.69473723229021,86197.09375,86185.45703125,84881.17578125,85541.47265625,85541.47265625,86197.09375
5,0.22278979866943577,0.01129028631473543,38.54446414997801,87513.0234375,87500.95703125,86197.09375,86857.390625,86857.390625,87513.0234375
6,0.18540275298022205,0.014042138290306792,38.6846847939305,88828.9453125,88816.95703125,87513.0234375,88173.3203125,88173.3203125,88828.9453125
7,0.16891290354409633,0.0034507898139527955,77.29810962779447,91460.78515625,91448.95703125,90144.87109375,90805.16796875,90805.16796875,91460.78515625
8,0.1673834978155785,0.00743346087406955,77.36998829711229,94092.63671875,94080.45703125,92776.71875,93437.01171875,93437.01171875,94092.63671875
9,0.16500800234093982,0.010634830273025806,38.81628800788894,95408.5625,95396.45703125,94092.63671875,94752.93359375,94752.93359375,95408.5625
10,0.15965538770095644,0.0021385053399036106,38.58957035699859,96724.4921875,96712.45703125,95408.5625,96068.86328125,96068.86328125,96724.4921875
11,0.15759660943448164,0.0011871276198702901,38.482681427150965,98040.4140625,98028.45703125,96724.4921875,97384.78515625,97384.78515625,98040.4140625
12,0.15643613086238967,0.0025227664089583586,38.54121641488746,99356.3515625,99344.45703125,98040.4140625,98700.71875,98700.71875,99356.3515625
13,0.15591613883476557,0.00240946276071632,38.59334199503064,100672.2734375,100660.45703125,99356.3515625,100016.64453125,100016.64453125,100672.2734375
14,0.15591613883478855,0.002409462760666139,701.8575696102343,124405.265625,124393.95703125,123094.01171875,123749.63671875,123749.63671875,124405.265625
