iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.273603128502438,0.030098267625334994,nan,6108.39453125,6097.6875,5999.60546875,5999.60546875,5999.60546875,6108.39453125
2,0.2593636902297606,0.021728114410841035,38.57748195389286,7423.85546875,7413.1875,6108.39453125,6768.21875,6768.21875,7423.85546875
3,0.25546483075947796,0.010634004827143485,38.41398902190849,8735.24609375,8724.1875,7423.85546875,8079.609375,8079.609375,8735.24609375
4,0.2504857877131932,0.011037072049199882,38.389939131215215,10046.62890625,10035.6875,8735.24609375,9391.0078125,9391.0078125,10046.62890625
5,0.20742524206313823,0.018775524206078437,38.556578032206744,11358.01953125,11347.1875,10046.62890625,10702.39453125,10702.39453125,11358.01953125
6,0.17331413018009117,0.005774733299442791,38.47618362074718,12669.4140625,12658.1875,11358.01953125,12013.7890625,12013.7890625,12669.4140625
7,0.17165756206337174,0.011327673495598363,38.432742501143366,13988.9296875,13977.6875,12669.4140625,13333.30078125,13333.30078125,13988.9296875
8,0.16981335808517176,0.00461396032929826,38.44398320885375,15300.3203125,15289.1875,13988.9296875,14644.69140625,14644.69140625,15300.3203125
9,0.16865339655525763,0.0026334287536593343,38.38491722708568,16611.71484375,16600.6875,15300.3203125,15956.07421875,15956.07421875,16611.71484375
10,0.1683648653667122,0.003933615589271875,38.24162642098963,17923.1015625,17911.6875,16611.71484375,17267.47265625,17267.47265625,17923.1015625
11,0.16800030867351437,0.004182588365161425,38.512374988757074,19234.49609375,19223.1875,17923.1015625,18578.86328125,18578.86328125,19234.49609375
12,0.1674412204526475,0.001788362659414814,38.32661510305479,20545.8828125,20534.6875,19234.49609375,19890.2578125,19890.2578125,20545.8828125
13,0.16725397975966524,0.0010171269691699155,38.264870355371386,21857.26953125,21846.1875,20545.8828125,21201.640625,21201.640625,21857.26953125
14,0.16721288137998058,0.0013267731830483899,38.33904445078224,23168.65625,23157.6875,21857.26953125,22513.03125,22513.03125,23168.65625
15,0.16705844020770888,0.0019005843652430629,38.48511854792014,24480.04296875,24468.1875,23168.65625,23824.41796875,23824.41796875,24480.04296875
16,0.16684879303375683,0.0016804256861573325,38.466521718073636,25791.4296875,25779.6875,24480.04296875,25135.80078125,25135.80078125,25791.4296875
17,0.16675561197963754,0.003705513344282556,38.60245634103194,27119.06640625,27106.6875,25791.4296875,26447.1953125,26447.1953125,27119.06640625
18,0.1665457036592429,0.0005782162148353554,38.57236355217174,28430.453125,28418.1875,27119.06640625,27774.8125,27774.8125,28430.453125
19,0.16650745688032348,0.0003125523402589869,38.36278439965099,29741.84765625,29729.6875,28430.453125,29086.2109375,29086.2109375,29741.84765625
20,0.16648765779675653,0.0002672659121406233,38.43570246221498,31053.2265625,31041.1875,29741.84765625,30397.60546875,30397.60546875,31053.2265625
21,0.16645191103976034,0.0002512405585846452,38.32660015113652,32364.625,32352.1875,31053.2265625,31708.984375,31708.984375,32364.625
22,0.16639277370964525,0.0004925504870166417,76.69446121389046,34987.40234375,34975.1875,33676.0078125,34331.7734375,34331.7734375,34987.40234375
23,0.16634789955191742,0.0006310054618321027,38.396906815003604,36298.79296875,36286.6875,34987.40234375,35643.1640625,35643.1640625,36298.79296875
24,0.1663349376505081,0.000462590271283214,76.56610942492262,38921.578125,38909.1875,37610.19140625,38265.94921875,38265.94921875,38921.578125
25,0.16628041679222083,0.00024453302658280314,38.3356939391233,40232.96484375,40220.6875,38921.578125,39577.3359375,39577.3359375,40232.96484375
26,0.16625791935374698,9.871968846059772e-05,38.267110652755946,41544.359375,41532.1875,40232.96484375,40888.734375,40888.734375,41544.359375
27,0.1662399275021681,0.0002251261945688789,38.42961273295805,42855.7578125,42843.6875,41544.359375,42200.12109375,42200.12109375,42855.7578125
28,0.16622240513414738,0.00031154737153247386,38.34478970710188,44167.13671875,44154.6875,42855.7578125,43511.51171875,43511.51171875,44167.13671875
29,0.1661854819597862,0.00023185720629654902,38.30252116685733,45478.53125,45466.1875,44167.13671875,44822.8984375,44822.8984375,45478.53125
30,0.1661733028393179,0.0006882823902391578,76.88922877795994,48101.30859375,48089.1875,46789.921875,47445.6796875,47445.6796875,48101.30859375
31,0.16615049139783486,0.00036055496939574745,38.379018074367195,49412.69140625,49400.1875,48101.30859375,48757.06640625,48757.06640625,49412.69140625
32,0.16614384038611998,0.00010271986821915692,38.317714605946094,50724.0859375,50711.6875,49412.69140625,50068.44921875,50068.44921875,50724.0859375
33,0.16614384038611993,0.00010271986821573152,769.4369042497128,76983.61328125,76971.6875,75672.34375,76327.98046875,76327.98046875,76983.61328125
