iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.27366557971205735,0.03060792581731669,nan,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
2,0.2497855169683249,0.010023034597261907,0.29701161524280906,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
3,0.2450992912815621,0.011235188229726712,0.2894422607496381,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
4,0.20377534466223246,0.027082800879953635,0.29041473008692265,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
5,0.17096979463049078,0.022717819682636132,0.28932349011301994,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
6,0.1524578132283262,0.003024051913621129,0.29993930272758007,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
7,0.14992232464936311,0.004399728105211814,0.29075950337573886,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
8,0.14943721905330531,0.0004878253333788646,0.2880747877061367,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
9,0.14939628211223055,0.0007622185201166091,0.29067154321819544,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
10,0.14937529919435244,0.001086193999977782,0.28592391684651375,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
11,0.1493041770868207,0.0015844982814657693,0.28667572420090437,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
12,0.14919854288249781,0.0015753221762680035,0.28695398569107056,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
13,0.14900828727657242,0.0005176747726046201,0.28706116834655404,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
14,0.1489136217581,0.000724950715882963,0.28207042859867215,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
15,0.14887441550340919,0.000490116678496698,0.2797779873944819,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
16,0.1488635347156771,0.0004177810480828861,0.2831921810284257,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
17,0.14883165841581786,0.0002481311118944828,0.28672159370034933,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
18,0.14875864879295023,0.0003463797957238251,0.28148628398776054,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
19,0.14873154312877868,0.00037959888232501533,0.2868764861486852,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
20,0.1487126972116223,0.0001866305748484217,0.5688984249718487,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
21,0.14869466776730117,8.956460126249008e-05,0.2913376991637051,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
22,0.14868301819055965,0.00010151630895754443,0.28838421078398824,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
23,0.1486393929833051,9.659437435250263e-05,0.28965575294569135,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
24,0.1486285805268208,0.0005097610458124571,0.28702342696487904,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
25,0.1486199309940016,5.437006764592596e-05,0.28115125000476837,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
26,0.14861902627166698,4.563003674742097e-05,0.2889003260061145,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
27,0.14861884703525563,3.8208440954128386e-05,0.28453222289681435,2808.89453125,2832.44921875,2808.89453125,2808.89453125,2808.89453125,2808.89453125
