iteration,model_cost,residual,iter_time_sec
1,0.2948785216558713,0.026909744445529894,nan
2,0.27380050109481424,0.00999629276296882,nan
3,0.26863056512501504,0.015961295677077474,nan
4,0.25474580941742697,0.023207562016744288,nan
5,0.21833216998125474,0.03729879698588552,nan
6,0.1948589957297138,0.01827521498108646,nan
7,0.1810015336983572,0.01083917410723729,nan
8,0.17156797954234404,0.006739090720660896,nan
9,0.16754743052116775,0.009183997077673929,nan
10,0.15762702670746823,0.00653976302346009,nan
11,0.15405027733811003,0.001482781828097614,nan
12,0.15339445236652133,0.002275823406764179,nan
13,0.1530089114443518,0.0014039201475225462,nan
14,0.15239141931269137,0.0011524695371490895,nan
15,0.1516792814632012,0.0012443005611860096,nan
16,0.1505752519366391,0.002353569110006376,nan
17,0.1503451202446154,0.0019693737685185066,nan
18,0.15021069345753393,0.000349239213419548,nan
19,0.1501874385751944,0.00028858158873715353,nan
20,0.15012561840055497,0.00020814818134324588,nan
21,0.1500531355962922,0.0002966805894265048,nan
22,0.14997599160819652,0.00037233338211822674,nan
23,0.14995134707829966,0.00015448774797463083,nan
24,0.14993359107479237,8.56855227800318e-05,nan
25,0.14992208911760524,8.020515420432401e-05,nan
26,0.14988848037444105,0.00010859160585904368,nan
27,0.1498689455390001,0.00019403518182321746,nan
28,0.14986188188865135,0.0005787090919238665,nan
29,0.14985425846419784,0.00014963488725998694,nan
30,0.1498522008362695,9.35014775983403e-05,nan
31,0.14984710709551505,8.223817550758688e-05,nan
