model,success,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error
linear,True,31,38,38,0.17193935452509793,0.3138318574361585,0.3156599961822581,0.0057914806063802315,0.07413150774311814,1.4772148658142246,0.949816706114545
quadratic,True,27,29,29,0.8057373497048738,0.3167795976289793,0.3156599961822581,0.003546858836286439,0.14861884703525563,0.29099839509619896,0.48927949590194525
mixture_linear_kle,True,44,49,49,2.0225622804242778,0.3138688157875633,0.3156599961822581,0.005674397821574373,0.15503116771830783,0.18034884186990988,0.14038168412450533
mixture_linear_hep,True,19,61,61,5.8163566859439015,0.3155328434099457,0.3156599961822581,0.0004028156049237977,0.15017422602931244,0.20176016646887246,0.25567950969905
mixture_quadratic_kle,True,33,56,56,65.1764941228356,0.31677884629331354,0.3156599961822581,0.0035444786307652276,0.16614384038611993,0.16888576007011033,0.01623535153497924
mixture_quadratic_hep,True,14,35,35,96.99726928005528,0.3156380445038519,0.3156599961822581,6.954216141316176e-05,0.15591613883478855,0.18022537295862467,0.13488241818990118
saa_10,True,30,36,36,0.10785260832247635,0.3205597201159829,0.3156599961822581,0.015522156728709291,0.12470301525404434,0.4767623734274772,0.7384378000353805
saa_100,True,36,42,42,0.7761833418885039,0.3144039747987028,0.3156599961822581,0.003979032499354412,0.14467785388331694,0.2196603430341068,0.34135651485870294
saa_1000,True,41,47,47,7.633964843854944,0.3158230326189673,0.3156599961822581,0.0005164938182888859,0.1630520483942077,0.1704203594089777,0.04323609597071326
saa_10000,True,43,48,48,70.74694065309974,0.3159333438723176,0.3156599961822581,0.0008659560709798063,0.16539478835116433,0.16870763658614463,0.01963662287029137
