iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.0431062124224715,0.5422618635336275,0.0001,nan,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
2,0.041972379988780534,0.471510986265629,0.0001,41.30590060190298,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
3,0.03975795296549212,0.06418296372658047,0.0001,82.70682280010078,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
4,0.03974271633430396,0.042786720474548935,0.0001,41.28315383393783,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
5,0.03973364972163867,0.005093204116031626,0.0001,41.23439309501555,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
6,0.03973350650202656,0.0018191664524238,0.0001,41.33613083802629,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
7,0.039733466252540935,0.001949365304558756,0.0001,41.30770838994067,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
8,0.039732981341693674,0.006354958191562596,0.0001,41.363298341981135,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
9,0.03973200296149014,0.011612957252466189,0.0001,41.37145701504778,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
10,0.03972933177901573,0.02876453415268207,0.0001,41.301148494007066,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
11,0.039724781750056816,0.03672457298797354,0.0001,41.38667342602275,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
12,0.03967742511409241,0.08791778389713617,0.0001,41.33173577999696,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
13,0.039604333609555085,0.15039901424251792,0.0001,41.33613994496409,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
14,0.03942318336926712,0.2319298466226804,0.0001,41.28000744106248,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
15,0.0389909048851487,0.35250541809643676,0.0001,41.32613070390653,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
16,0.038337273792366594,0.3606052507714453,0.0001,41.32585032109637,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
17,0.037579284368150834,0.19344447660159372,0.0001,41.3117081989767,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
18,0.03735769753535918,0.03441005776667442,0.0001,41.3477660799399,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
19,0.03733170340964731,0.021124821232219818,0.0001,41.39981330302544,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
20,0.037322235656040155,0.04600100615200021,0.0001,41.23224873596337,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
21,0.0372990046293711,0.06995689710557863,0.0001,41.36352362006437,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
22,0.037208691004857186,0.1322773273011456,0.0001,41.35978592198808,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
23,0.037059750856026294,0.20585337416101493,0.0001,41.267949044005945,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
24,0.03671882837325355,0.29119425326416293,0.0001,41.28487995499745,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
25,0.0358090368744433,0.420215767544937,0.0001,41.28995393298101,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
26,0.03421307245059427,0.5424891626813896,0.0001,41.32103841204662,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
27,0.031556804911013966,0.5820762435499816,0.0001,41.41013088996988,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
28,0.029437248689921806,0.29560469311233334,0.0001,41.23178684304003,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
29,0.028905158189597373,0.2608727087646914,0.0001,41.310788600938395,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
30,0.02847522134965925,0.1714300292361708,0.0001,41.25096857501194,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
31,0.02835965899174838,0.03544513046746227,0.0001,41.30315496597905,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
32,0.02834269315494688,0.011100350656933993,0.0001,41.45187052001711,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
33,0.02833639480793374,0.0040798531952475,0.0001,41.40659553697333,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
34,0.0283362377112028,0.0016846374775784658,0.0001,41.462040551006794,1027.4296875,1018.87890625,1027.4296875,1027.4296875,1027.4296875,1027.4296875
