iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,1.2115815145489275,0.050986043223985346,0.0001,nan,815.40625,808.5,815.40234375,815.40625,815.40625,815.40625
2,0.04709160345258991,0.0036438577069320523,0.0001,0.0911941269878298,815.53515625,808.5,815.53125,815.53515625,815.53515625,815.53515625
3,0.043179521511214854,0.0018294458235009517,0.0001,0.08559840999078006,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
4,0.04204655877842168,0.001036637932016154,0.0001,0.08509807602968067,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
5,0.04065503599358374,0.0012035778666431905,0.0001,0.0850788860116154,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
6,0.03530442372242685,0.0027134188888419493,0.0001,0.08504115499090403,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
7,0.026768843241355263,0.003846469128150757,0.0001,0.08530144800897688,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
8,0.017128243368863816,0.003588726230286241,0.0001,0.0856225109891966,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
9,0.010562691610584608,0.0013733732515099572,0.0001,0.08575015200767666,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
10,0.009865954796712262,0.00018536433133315396,0.0001,0.08576140296645463,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
11,0.009835913386659342,0.00016949781702929592,0.0001,0.08240646903868765,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
12,0.009623552314442028,0.00015511484832764428,0.0001,0.0858396430267021,815.53515625,808.5,815.53515625,815.53515625,815.53515625,815.53515625
