iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.029000951479148968,0.0022025345216562246,0.0001,nan,944.71484375,936.37890625,944.70703125,944.71484375,944.71484375,944.71484375
2,0.028451604461019287,0.0012729416184448469,0.0001,0.8347024790709838,944.765625,936.37890625,944.71484375,944.765625,944.765625,944.765625
3,0.027805311150329828,0.002821778730871696,0.0001,1.6734200569335371,944.76953125,936.37890625,944.765625,944.765625,944.765625,944.76953125
4,0.026063490683782026,0.004303839906757207,0.0001,0.8404615849722177,944.875,936.37890625,944.76953125,944.8203125,944.8203125,944.875
5,0.02234217625296056,0.005018368904711868,0.0001,0.8375767969992012,944.875,936.37890625,944.875,944.875,944.875,944.875
6,0.01917079066546329,0.0039039754246776694,0.0001,0.8391184620559216,944.87890625,936.37890625,944.875,944.87890625,944.87890625,944.87890625
7,0.01634277091976797,0.0018410157066933142,0.0001,0.8306830800138414,944.87890625,936.37890625,944.87890625,944.87890625,944.87890625,944.87890625
8,0.016016767312234663,0.0010380059393020596,0.0001,1.6676752619678155,944.890625,936.37890625,944.8828125,944.88671875,944.88671875,944.890625
9,0.01594925236793275,0.0007849799314533756,0.0001,1.6615265420405194,944.89453125,936.37890625,944.89453125,944.89453125,944.89453125,944.89453125
10,0.015929836569556943,0.0005477519187006916,0.0001,0.8342656239401549,944.8984375,936.37890625,944.89453125,944.8984375,944.8984375,944.8984375
11,0.015658125655299324,0.0004424070581709437,0.0001,0.8291660459944978,944.8984375,936.37890625,944.8984375,944.8984375,944.8984375,944.8984375
12,0.013621476994245645,0.0011876139080812288,0.0001,0.8346287880558521,944.90625,936.37890625,944.8984375,944.90234375,944.90234375,944.90625
13,0.011930137088696408,0.0023918995610970207,0.0001,0.8381306729279459,944.90625,936.37890625,944.90625,944.90625,944.90625,944.90625
14,0.011698970378080133,0.0004313729102713225,0.0001,0.836351775098592,944.90625,936.37890625,944.90625,944.90625,944.90625,944.90625
15,0.011613544520658775,0.0002688749641745237,0.0001,0.8387514479691163,944.90625,936.37890625,944.90625,944.90625,944.90625,944.90625
16,0.011563066891550306,0.0004491693867334767,0.0001,0.8375917769735679,944.90625,936.37890625,944.90625,944.90625,944.90625,944.90625
17,0.011486209675490746,0.0001462231669876544,0.0001,0.8348851010669023,944.9140625,936.37890625,944.90625,944.90625,944.90625,944.9140625
18,0.011486209674640122,0.000146223143748605,0.0001,11.693031627917662,944.9765625,936.37890625,944.97265625,944.97265625,944.97265625,944.9765625
