iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.02528867811058494,0.0024766157009002126,0.0001,nan,943.57421875,935.37890625,942.98828125,943.37890625,943.37890625,943.57421875
2,0.02454564286748763,0.0009796293538141692,0.0001,0.2403824150096625,943.953125,935.37890625,943.57421875,943.82421875,943.82421875,943.953125
3,0.024356422829542222,0.0011343409135806315,0.0001,0.2369211600162089,944.04296875,935.87890625,943.953125,944.02734375,944.02734375,944.04296875
4,0.022536907843816432,0.0025611827163875105,0.0001,0.24166167702060193,944.1796875,935.87890625,944.04296875,944.10546875,944.10546875,944.1796875
5,0.02083514385624315,0.0027314673874917683,0.0001,0.24102194095030427,944.2109375,935.87890625,944.1796875,944.19140625,944.19140625,944.2109375
6,0.017733925628469156,0.0026634995538647225,0.0001,0.23900458100251853,944.28515625,935.87890625,944.2109375,944.28125,944.28125,944.28515625
7,0.013299565991271639,0.000741268824084626,0.0001,0.24016354198101908,944.41796875,935.87890625,944.28515625,944.29296875,944.29296875,944.41796875
8,0.012300872753398655,0.001460430659479584,0.0001,0.23790213104803115,944.47265625,935.87890625,944.41796875,944.41796875,944.41796875,944.47265625
9,0.011937462844251689,0.0010668082575433827,0.0001,0.23832432401832193,944.53125,936.37890625,944.47265625,944.52734375,944.52734375,944.53125
10,0.01168968749824215,0.00041668821453413543,0.0001,0.23400700197089463,944.54296875,936.37890625,944.53125,944.53515625,944.53515625,944.54296875
11,0.011561900855819988,0.00024399566578902832,0.0001,0.23419267404824495,944.6015625,936.37890625,944.54296875,944.546875,944.546875,944.6015625
12,0.01151677773390396,0.00028720443448090074,0.0001,0.2340438119135797,944.60546875,936.37890625,944.6015625,944.60546875,944.60546875,944.60546875
13,0.011439767201820569,0.0001508094547379377,0.0001,0.23338200605940074,944.61328125,936.37890625,944.60546875,944.609375,944.609375,944.61328125
