iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.03391913718739065,0.19616040636134272,0.01,nan,954.80859375,946.87890625,954.78515625,954.79296875,954.79296875,954.80859375
2,0.03374302135301095,0.11043194202262528,0.01,41.87896137300413,954.8125,946.87890625,954.80859375,954.8125,954.8125,954.8125
3,0.033674331679151646,0.02220928079143678,0.01,41.86977469304111,954.81640625,946.87890625,954.8125,954.8125,954.8125,954.81640625
4,0.033671839302183815,0.003792694851647496,0.01,41.959875861997716,954.8203125,946.87890625,954.81640625,954.81640625,954.81640625,954.8203125
5,0.03367171559552029,0.003284953520451641,0.01,41.98804363200907,954.8359375,946.87890625,954.8203125,954.828125,954.828125,954.8359375
6,0.03367087763015874,0.007350445100144008,0.01,42.027065529022366,954.83984375,946.87890625,954.8359375,954.8359375,954.8359375,954.83984375
7,0.033669228308030014,0.01529312522362855,0.01,41.95657460601069,954.84375,946.87890625,954.83984375,954.83984375,954.83984375,954.84375
8,0.03366434848690657,0.030613785569285453,0.01,41.93931200890802,954.8515625,946.87890625,954.84375,954.84765625,954.84765625,954.8515625
9,0.03365162762952733,0.05459082345608026,0.01,41.990813278011046,954.859375,946.87890625,954.8515625,954.8515625,954.8515625,954.859375
10,0.033619564434039205,0.09412143168372433,0.01,41.935417078086175,954.8671875,946.87890625,954.859375,954.859375,954.859375,954.8671875
11,0.03354002477282278,0.15405895641448364,0.01,41.929551576962695,954.875,946.87890625,954.8671875,954.87109375,954.87109375,954.875
12,0.03335705854990973,0.23067602332498824,0.01,41.93170628801454,954.88671875,946.87890625,954.875,954.87890625,954.87890625,954.88671875
13,0.03302218019030542,0.2707147204373314,0.01,41.93682451802306,954.890625,946.87890625,954.88671875,954.88671875,954.88671875,954.890625
14,0.03266625380278445,0.18436323857503956,0.01,41.9170003059553,954.890625,946.87890625,954.890625,954.890625,954.890625,954.890625
15,0.03252893400345434,0.062420934441588534,0.01,41.89726012502797,954.8984375,946.87890625,954.890625,954.89453125,954.89453125,954.8984375
16,0.03251140988897865,0.010470920179401716,0.01,41.766823026002385,954.90234375,946.87890625,954.8984375,954.8984375,954.8984375,954.90234375
17,0.03251107010055064,0.0019347766242017572,0.01,41.81739441398531,954.90234375,946.87890625,954.90234375,954.90234375,954.90234375,954.90234375
18,0.03251102627092384,0.0020475558089826863,0.01,41.766909949015826,954.90234375,946.87890625,954.90234375,954.90234375,954.90234375,954.90234375
19,0.032510778404983454,0.0032271279890877533,0.01,41.942122746957466,954.91015625,946.87890625,954.90234375,954.91015625,954.91015625,954.91015625
20,0.032510086741939934,0.006123195468306732,0.01,42.00482050899882,954.9140625,946.87890625,954.91015625,954.91015625,954.91015625,954.9140625
21,0.032508152206665426,0.011594861311032613,0.01,41.961637153988704,954.9140625,946.87890625,954.9140625,954.9140625,954.9140625,954.9140625
22,0.03250310443242033,0.0207728652356874,0.01,42.049499963992275,954.91796875,946.87890625,954.9140625,954.91796875,954.91796875,954.91796875
23,0.03248977254933747,0.035793214352939993,0.01,41.978577463072725,954.921875,946.87890625,954.91796875,954.91796875,954.91796875,954.921875
24,0.03245529172583993,0.059242530308714056,0.01,42.038590939948335,954.92578125,946.87890625,954.921875,954.921875,954.921875,954.92578125
25,0.032366380999185304,0.09521647681696664,0.01,41.96318288601469,954.93359375,946.87890625,954.92578125,954.92578125,954.92578125,954.93359375
26,0.03214360073719748,0.14779432459379718,0.01,42.00433507794514,954.9375,946.87890625,954.93359375,954.93359375,954.93359375,954.9375
27,0.03161482923765203,0.21831621491167127,0.01,42.100755086983554,954.9453125,946.87890625,954.9375,954.94140625,954.94140625,954.9453125
28,0.030490027530006104,0.2919403072872514,0.01,42.17683615104761,954.94921875,946.87890625,954.9453125,954.9453125,954.9453125,954.94921875
29,0.02858740961295518,0.3559663909617403,0.01,41.99744017003104,954.94921875,946.87890625,954.94921875,954.94921875,954.94921875,954.94921875
30,0.0282551345883946,0.09113755727076935,0.01,83.87844573298935,954.9609375,946.87890625,954.953125,954.95703125,954.95703125,954.9609375
31,0.026189798035974227,0.19164346589619377,0.01,42.04992277594283,954.9609375,946.87890625,954.9609375,954.9609375,954.9609375,954.9609375
32,0.024879278575051296,0.09764788883404699,0.01,41.96161922207102,954.96484375,946.87890625,954.9609375,954.96484375,954.96484375,954.96484375
33,0.024654818976032562,0.014693307969559647,0.01,41.99740726000164,954.96875,946.87890625,954.96484375,954.96484375,954.96484375,954.96875
34,0.024645936457294387,0.006532565133468653,0.01,41.96732499694917,954.96875,946.87890625,954.96875,954.96875,954.96875,954.96875
35,0.024644969766015754,0.0024212339967041893,0.01,42.014631516998634,954.96875,946.87890625,954.96875,954.96875,954.96875,954.96875
36,0.024644791285543966,0.001881796095769741,0.01,41.95938548701815,954.96875,946.87890625,954.96875,954.96875,954.96875,954.96875
37,0.02464405786868205,0.002521918034337102,0.01,41.92576522298623,954.97265625,946.87890625,954.96875,954.97265625,954.97265625,954.97265625
38,0.0246379540275183,0.004925584883850157,0.01,41.81387757998891,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
39,0.0246252492182886,0.008129411460131056,0.01,41.76181255897973,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
40,0.0245854346642811,0.015307114751023903,0.01,41.74824006902054,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
41,0.024496262883374732,0.023050992663359665,0.01,41.72120658901986,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
42,0.02428945454132963,0.04661562573713896,0.01,41.76101643196307,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
43,0.023773728945245275,0.04176921712469459,0.01,41.649896214017645,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
44,0.02376110426678523,0.05744145165180479,0.01,83.42385766108055,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
45,0.021973593486515668,0.12734839125885986,0.01,41.82497594796587,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
46,0.019263864665668724,0.30222843041513286,0.01,42.00920835393481,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
47,0.016159364570721927,0.06662685105534503,0.01,41.97436925303191,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
48,0.015079174280020516,0.16814328646315493,0.01,41.949084323015995,954.97265625,946.87890625,954.97265625,954.97265625,954.97265625,954.97265625
