iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.01062450724681201,0.1962709039680245,0.01,nan,935.2734375,927.6171875,935.2734375,935.2734375,935.2734375,935.2734375
2,0.01059261745518461,0.029790780243466413,0.01,38.444155410979874,935.2734375,927.6171875,935.2734375,935.2734375,935.2734375,935.2734375
3,0.010591744512576648,0.0028818702476395533,0.01,38.3487723589642,935.2734375,927.6171875,935.2734375,935.2734375,935.2734375,935.2734375
4,0.010591736298067374,0.00034069768808117325,0.01,38.48896401899401,935.2734375,927.6171875,935.2734375,935.2734375,935.2734375,935.2734375
5,0.01059166654484505,0.0025993833537631236,0.01,191.98348304105457,935.2734375,927.6171875,935.2734375,935.2734375,935.2734375,935.2734375
6,0.010591089205438987,0.014654642280532159,0.01,38.49024353292771,935.2734375,927.6171875,935.2734375,935.2734375,935.2734375,935.2734375
7,0.010589736157006287,0.03173904357854644,0.01,38.39969046099577,935.2734375,927.6171875,935.2734375,935.2734375,935.2734375,935.2734375
8,0.010586340617543738,0.05712253610636104,0.01,38.549407764105126,935.27734375,927.6171875,935.2734375,935.2734375,935.2734375,935.27734375
9,0.010579041423433596,0.08636984097337337,0.01,38.40778343193233,935.27734375,927.6171875,935.27734375,935.27734375,935.27734375,935.27734375
10,0.010566501567185103,0.10292508507898464,0.01,38.59050780895632,935.27734375,927.6171875,935.27734375,935.27734375,935.27734375,935.27734375
11,0.010553755906724197,0.07902440457763425,0.01,38.41825722402427,935.27734375,927.6171875,935.27734375,935.27734375,935.27734375,935.27734375
12,0.010548292829136979,0.030203375957873545,0.01,38.422704876051284,935.27734375,927.6171875,935.27734375,935.27734375,935.27734375,935.27734375
13,0.0105472403474405,0.0035628061699156705,0.01,38.517772911000066,935.27734375,927.6171875,935.27734375,935.27734375,935.27734375,935.27734375
14,0.010547170192947614,0.0005147879861418989,0.01,38.50023618596606,935.27734375,927.6171875,935.27734375,935.27734375,935.27734375,935.27734375
15,0.01054716831001451,0.0003992918108049524,0.01,38.523979529039934,935.28515625,927.6171875,935.27734375,935.27734375,935.27734375,935.28515625
16,0.013135441304787637,0.34019237664857843,0.003,nan,935.53125,927.6171875,935.53125,935.53125,935.53125,935.53125
17,0.013031570203312599,0.19057997161100523,0.003,38.28879999695346,935.53125,927.6171875,935.53125,935.53125,935.53125,935.53125
18,0.012993443280039992,0.04484981810445465,0.003,38.42104988102801,935.53125,927.6171875,935.53125,935.53125,935.53125,935.53125
19,0.012991537000052001,0.004034656959848564,0.003,38.392034805961885,935.53125,927.6171875,935.53125,935.53125,935.53125,935.53125
20,0.012991520830066206,0.0004887374110038017,0.003,38.49520094611216,935.53125,927.6171875,935.53125,935.53125,935.53125,935.53125
21,0.012991518768346009,0.0007583652851272447,0.003,76.77916838089004,935.53125,927.6171875,935.53125,935.53125,935.53125,935.53125
22,0.013888226897120985,0.06888452431782828,0.001,nan,935.5390625,927.6171875,935.5390625,935.5390625,935.5390625,935.5390625
23,0.013884078971480507,0.0013321742969054182,0.001,38.63942289201077,935.5390625,927.6171875,935.5390625,935.5390625,935.5390625,935.5390625
24,0.013884077199060887,0.0005056383336728542,0.001,38.68119464896154,935.5390625,927.6171875,935.5390625,935.5390625,935.5390625,935.5390625
25,0.014234195130786515,0.12949761946407626,0.0003,nan,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
26,0.014220023012428168,0.00629620550537697,0.0003,38.71555241802707,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
27,0.014219992687549851,0.0006519404134899586,0.0003,38.594171182019636,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
28,0.014219992180903671,0.0005189641074695535,0.0003,38.67792774399277,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
29,0.014318500947615696,0.006805634257296343,0.0001,nan,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
30,0.014318476224306511,0.0024497744066435726,0.0001,38.645128517993726,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
31,0.014318472578757062,0.0005242385654591079,0.0001,38.57978859508876,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
32,0.014318470964982538,0.0007496370071695356,0.0001,77.23482513101771,935.546875,927.6171875,935.546875,935.546875,935.546875,935.546875
