iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.13046362401786532,1.000002158721138,nan,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
2,0.10830378603426932,0.5802766963160718,0.40653621684759855,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
3,0.10805679986202714,0.46201814239731503,0.20341037027537823,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
4,0.10768513187862806,0.03178098745040552,0.10169722978025675,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
5,0.107620381857651,0.08812004949070062,0.30512495897710323,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
6,0.1073194143578271,0.2642845570858693,0.10553248785436153,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
7,0.10627339121647092,0.6248082960544743,0.10794445127248764,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
8,0.10387480995638423,0.9728534664197119,0.1129238298162818,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
9,0.09811971029634153,1.0015689058659998,0.11418145289644599,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
10,0.09442000660678677,1.0013216248371641,0.22831256408244371,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
11,0.08742273035552156,1.0010744467237869,0.2283270051702857,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
12,0.07719986232971372,2.240910467534917,0.2285995171405375,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
13,0.06756636695360417,0.17945722190108648,0.35644224379211664,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
14,0.0664159287123562,0.42414496586353095,0.11469224793836474,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
15,0.06622559209126005,0.13518630393348374,0.22259310819208622,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
16,0.06619486276009176,0.0036129044052823074,0.10603382298722863,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
17,0.06619477787555433,0.0023109041039623343,0.10241512581706047,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
18,0.06619275032170374,0.014253250039286514,0.30635187216103077,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
19,0.06617467094229036,0.08023279019682449,0.10216440400108695,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
20,0.06612908518014753,0.18431003829534612,0.104470687918365,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
21,0.06600899528750269,0.35495393961145005,0.10701572196558118,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
22,0.06570481103608418,0.6227318659339657,0.10695110121741891,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
23,0.0650038985417925,1.0014135625747136,0.11329090362414718,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
24,0.06378038649039355,1.5081248651112504,0.11334929428994656,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
25,0.06207303554829415,1.6386376348483358,0.1133464640006423,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
26,0.05861741968899751,0.18927814965063325,0.11455377703532577,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
27,0.05813024333614157,0.28005981905986665,0.11328052263706923,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
28,0.058000419644687974,0.05722398445771092,0.11331234406679869,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
29,0.05798994473415073,0.008789561148616721,0.10682372003793716,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
30,0.05798945297663025,0.004094404854123428,0.10304175317287445,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
31,0.05798932119932283,0.006530518978957777,0.10193312214687467,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
32,0.05798899680374432,0.007795375441826554,0.10204236395657063,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
33,0.05798868949753502,0.009679572200759186,0.10192621173337102,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
34,0.057988605557857495,0.0005980970611404913,0.10193042224273086,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
35,0.057988602828579885,0.000858180307123699,0.10198787180706859,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
36,0.057988597823294415,0.0014101953860974233,0.10180435096845031,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
37,0.05798858274829294,0.0025917058852938874,0.10172769008204341,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
38,0.05798854515907911,0.004482064269096331,0.10183782083913684,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
39,0.05798844512536065,0.0076275584311106875,0.10179842123761773,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
40,0.05798818427406361,0.012786694731502426,0.10189069202169776,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
41,0.05798749755739105,0.02135152958514747,0.10181892104446888,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
42,0.05798569294153176,0.03548168645358279,0.10167661868035793,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
43,0.05798094568488165,0.05851967513595422,0.10424400493502617,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
44,0.05796846602261892,0.09594021541067815,0.10419059544801712,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
45,0.05793597867148496,0.15556809262124935,0.10566916782408953,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
46,0.05785457153334765,0.2462797795550068,0.10674948012456298,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
47,0.05767361559103727,0.34909121576671337,0.11047367565333843,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
48,0.05738196713499493,0.384300295269115,0.11157853715121746,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
49,0.05736556587570505,0.25046283691682086,0.22833977499976754,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
50,0.05710732861894581,0.1918112285575422,0.11176170781254768,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
51,0.05702536669855955,0.05993695732300958,0.10808870336040854,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
52,0.05701883151963654,0.008743226898626798,0.10440557589754462,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
53,0.05701854009036951,0.0015866170379144424,0.11168857803568244,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
54,0.05701847155139465,0.0008428236973560911,0.1033134157769382,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
55,0.05701825097813918,0.002719121352689023,0.10305436328053474,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
56,0.057017720266765354,0.0057782776851190735,0.10236440598964691,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
57,0.05701644289372684,0.010189809600986196,0.1021926049143076,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
58,0.057013662845436075,0.015983155401149078,0.10466429917141795,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
59,0.057013029998765806,0.024709082886949552,0.10719501366838813,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
60,0.057012618636815934,0.04679775850942567,0.2265789769589901,3065.19921875,3087.17578125,3065.19921875,3065.19921875,3065.19921875,3065.19921875
