iteration,model_cost,residual,epsilon,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,9.426373568182571,3.328383986454085,0.0001,nan,1048.8984375,1040.37890625,1048.8984375,1048.8984375,1048.8984375,1048.8984375
2,8.767900075635277,2.9294877771242973,0.0001,0.40482076397165656,1048.8984375,1040.37890625,1048.8984375,1048.8984375,1048.8984375,1048.8984375
3,6.476647277428195,0.46099269316709063,0.0001,0.4409071340924129,1048.8984375,1040.37890625,1048.8984375,1048.8984375,1048.8984375,1048.8984375
4,6.361399214057136,0.2891906246356271,0.0001,0.43618419696576893,1048.90234375,1040.37890625,1048.8984375,1048.90234375,1048.90234375,1048.90234375
5,6.200037004414373,0.18240319587512124,0.0001,0.4412170579889789,1048.90234375,1040.37890625,1048.90234375,1048.90234375,1048.90234375,1048.90234375
6,6.0244949141777875,0.2529842445222927,0.0001,0.44537879701238126,1048.90234375,1040.37890625,1048.90234375,1048.90234375,1048.90234375,1048.90234375
7,5.823846825759243,0.4191261746691226,0.0001,0.4551728239748627,1048.90234375,1040.37890625,1048.90234375,1048.90234375,1048.90234375,1048.90234375
8,5.250366185864879,0.511305941069631,0.0001,0.46732008806429803,1048.90625,1040.37890625,1048.90234375,1048.90234375,1048.90234375,1048.90625
9,3.0167565909402105,1.0000000035311334,0.0001,0.4799722789321095,1048.90625,1040.37890625,1048.90625,1048.90625,1048.90625,1048.90625
10,1.5996892915216945,0.8004643571447468,0.0001,0.4692068320000544,1048.90625,1040.37890625,1048.90625,1048.90625,1048.90625,1048.90625
11,1.547786580320639,0.7009997044804798,0.0001,0.9537150639807805,1048.90625,1040.37890625,1048.90625,1048.90625,1048.90625,1048.90625
12,0.7826096904501111,0.9029863829893116,0.0001,0.46004136209376156,1048.90625,1040.37890625,1048.90625,1048.90625,1048.90625,1048.90625
13,0.6614831654398814,0.5002558133660868,0.0001,0.4509264229563996,1048.91015625,1040.37890625,1048.90625,1048.90625,1048.90625,1048.91015625
14,0.5916615193074798,0.4001981229943579,0.0001,0.9010725469561294,1048.9140625,1040.37890625,1048.91015625,1048.91015625,1048.91015625,1048.9140625
15,0.5536027047533825,0.2004128902959805,0.0001,0.8913983120582998,1048.9140625,1040.37890625,1048.9140625,1048.9140625,1048.9140625,1048.9140625
16,0.5506413021429489,0.01414269023040247,0.0001,0.7712921699276194,1048.9140625,1040.37890625,1048.9140625,1048.9140625,1048.9140625,1048.9140625
17,0.5505800415166258,0.014118282698689179,0.0001,0.39262849907390773,1048.9140625,1040.37890625,1048.9140625,1048.9140625,1048.9140625,1048.9140625
18,0.5172809326163181,0.30045760543278804,0.0001,0.4329202289227396,1048.91796875,1040.37890625,1048.9140625,1048.9140625,1048.9140625,1048.91796875
19,0.42150346615048134,0.2004450230421787,0.0001,0.9131046400871128,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
20,0.352416208970874,0.20038587444396222,0.0001,0.8962643699487671,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
21,0.30864824804365043,0.30024871108667817,0.0001,0.8937606000108644,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
22,0.23136550967409902,0.500093898157599,0.0001,0.8930083110462874,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
23,0.17507283982428176,0.20013022055050583,0.0001,0.8929423399968073,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
24,0.15479750395036,0.40006440522357595,0.0001,0.8938475910108536,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
25,0.08771173939811404,0.30006311516704764,0.0001,0.9003228979418054,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
26,0.06414909270141539,0.40003703108380184,0.0001,0.8888164029922336,1048.91796875,1040.37890625,1048.91796875,1048.91796875,1048.91796875,1048.91796875
27,0.05037899350259545,0.5000022207430664,0.0001,0.4416232290677726,1048.921875,1040.37890625,1048.91796875,1048.921875,1048.921875,1048.921875
28,0.04940892588345352,0.003002358267340406,0.0001,0.8706378398928791,1048.921875,1040.37890625,1048.921875,1048.921875,1048.921875,1048.921875
29,0.049114367722948166,0.0024313327406355425,0.0001,0.40696554200258106,1048.921875,1040.37890625,1048.921875,1048.921875,1048.921875,1048.921875
30,0.04907926632197102,0.10001783822465478,0.0001,0.8929006740218028,1048.921875,1040.37890625,1048.921875,1048.921875,1048.921875,1048.921875
31,0.048817177506922195,0.10002095606622739,0.0001,0.4248276500729844,1048.921875,1040.37890625,1048.921875,1048.921875,1048.921875,1048.921875
32,0.04873282354747194,0.0017198588399272444,0.0001,0.39784206892363727,1048.921875,1040.37890625,1048.921875,1048.921875,1048.921875,1048.921875
33,0.04866750534325617,0.0017154379267260626,0.0001,0.376091081998311,1048.921875,1040.37890625,1048.921875,1048.921875,1048.921875,1048.921875
34,0.045760492854231,0.5553786992924609,0.0001,0.4334830869920552,1048.92578125,1040.37890625,1048.921875,1048.921875,1048.921875,1048.92578125
35,0.04147833667180538,0.600009685607852,0.0001,0.4201496430905536,1048.92578125,1040.37890625,1048.92578125,1048.92578125,1048.92578125,1048.92578125
