model,success,message,nit,nfev,njev,avg_iter_time_sec,initial_model_objective,initial_true_objective,initial_rel_error,opt_model_objective,opt_true_objective,opt_rel_error,opt_model_t,opt_true_var,opt_t_var_rel_error
linear,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,13,13,0.21215533115901053,1.2141854221450186,5.128629592822644,0.7632534383367766,0.009623552314442028,0.04987678716485732,0.8070534839657297,,0.01654212845780825,
quadratic,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32,55,55,67.32195507512006,0.01067680281889449,0.04987678716485732,0.7859364360498093,0.014318470964982538,0.04983020424522999,0.7126547807326482,0.005720580459955235,0.016536476376006325,0.6540629134114969
mixture_linear_kle,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,14,14,0.36210223368834704,0.02529486034483159,0.04987678716485732,0.4928530528394962,0.011439767201820569,0.014072297689827004,0.1870718304878894,,0.001703025066166518,
mixture_linear_hep,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,35,35,1.5854072200017981,0.02900808663288837,0.04987678716485732,0.4184050681330338,0.011486209674640122,0.01275351925062679,0.0993694015810094,,0.0009647551537510561,
alternating_hep_linear_cvar,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,20,20,0.40747877220467976,0.02900808663288837,0.04987678716485732,0.4184050681330338,0.01133648453445859,0.012293629268457593,0.0778569707201762,,0.0007736223134785178,
mixture_quadratic_kle,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,109,144,144,55.80342923490749,0.04524603903176521,0.04987678716485732,0.09284375350373188,0.011857244693824417,0.012941367815702716,0.08377191169567501,0.000937082058485082,0.001202007203561852,0.22040229400600067
mixture_quadratic_hep,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110,359,359,160.6518024158082,0.046300588325141945,0.04987678716485732,0.07170066564021048,0.019763886157979436,0.02488319365472835,0.20573353918242454,0.005260293770312197,0.006461223061712892,0.18586717714746792
alternating_hep_quadratic_cvar,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,139,175,175,52.41510508710053,0.08086841398365675,0.04987678716485732,0.6213637361276514,0.011773978541921762,0.012227264832269226,0.03707176515480278,0.0005806474929114118,0.0007420182107440116,0.2174754143443402
saa_1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,54,54,0.19208206642153008,2.297599984972065,5.128629592822644,0.5520050837386494,0.11489585451360358,5.1278289242896715,0.9775936646463845,0.11489124909658006,2.9695346026375993,0.9613100150459499
saa_10,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,120,265,265,0.4835111066660223,46.97315358201744,5.128629592822644,8.15900685199705,0.016240539001830565,0.014933442411502563,0.08752815019537655,0.004984344846474252,0.0018892779504358656,1.6382273954577935
saa_39,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102,179,179,1.489170733401004,19.70704132746008,5.128629592822644,2.8425550082695508,0.01262571141330898,0.01295426543463913,0.025362613031813492,0.0010176277662835203,0.0007859411022943891,0.29478883762761726
saa_100,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,93,154,154,0.37528318069970373,16.242165363483764,5.128629592822644,2.166960114689149,0.012363941123907568,0.012374720187077193,0.0008710551031999264,0.0005115918263035634,0.0005696892591351542,0.10198091661371421
saa_200,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110,149,149,0.5457378657725216,17.337401304965688,5.128629592822644,2.38051344734056,0.012242998285514683,0.012288238078729807,0.0036815524671052605,0.0005269277978056534,0.0005361034362406723,0.017115425521913023
saa_500,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105,140,140,1.341276263523226,16.14735098613637,5.128629592822644,2.1484728413091245,0.012139992310696353,0.012295564577217949,0.012652714362531257,0.0006630426750550443,0.0005440106259832476,0.2188046398113227
saa_1000,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,120,152,152,2.484985772575601,15.306140500029253,5.128629592822644,1.9844503727564404,0.011916428525357133,0.011843157119585725,0.006186813620013055,0.0002960485652662256,0.0003180145577106628,0.06907228588076901
saa_10000,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,120,151,151,24.115411535825114,14.52509519574424,5.128629592822644,1.8321591436573337,0.011952496722371699,0.01195050884630663,0.00016634237844056154,0.0004024183819677626,0.0004719907480044418,0.14740196991324178
