model,total_iterations,avg_iter_time_sec
linear,16,0.14077652257401496
quadratic,17,13.87099829239442
mixture_linear_kle,17,2.704298449433683
mixture_linear_hep,4,14.842309681000188
mixture_quadratic_kle,60,298.2310259565633
mixture_quadratic_hep,6,787.1298925783485
saa_1,2,0.5088575989939272
saa_10,60,0.14029201186106852
saa_39,60,0.5146150992407154
saa_100,60,1.3059885680830727
saa_200,60,2.482320014550351
saa_500,60,6.044910072054093
saa_1000,60,13.522622467352388
saa_10000,60,124.9420231699633
