iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.18764055054608605,0.020957934451018453,nan,2764.6015625,2789.734375,2764.59375,2764.59765625,2764.59765625,2764.6015625
2,0.014473469140409638,0.003099391190144482,0.05074292095378041,2764.7265625,2789.734375,2764.7265625,2764.7265625,2764.7265625,2764.7265625
3,0.010063489510959431,0.0005545509234615378,0.05020235572010279,2764.73046875,2789.734375,2764.7265625,2764.73046875,2764.73046875,2764.73046875
4,0.009780024731845445,0.000514323284002478,0.057868597097694874,2764.73046875,2789.734375,2764.73046875,2764.73046875,2764.73046875,2764.73046875
5,0.008709217399961803,0.0009724558753325305,0.051465478260070086,2764.73046875,2789.734375,2764.73046875,2764.73046875,2764.73046875,2764.73046875
6,0.006793480311500799,0.0016229002855826793,0.051588527858257294,2764.73046875,2789.734375,2764.73046875,2764.73046875,2764.73046875,2764.73046875
7,0.003732751716551559,0.001895940897867051,0.051438497845083475,2764.73828125,2789.734375,2764.73046875,2764.73046875,2764.73046875,2764.73828125
8,0.0011825303491056506,0.000919761023638745,0.051279486157000065,2764.74609375,2789.734375,2764.73828125,2764.73828125,2764.73828125,2764.74609375
9,0.0007641208393739696,0.00015164435165492218,0.05220902385190129,2764.74609375,2789.734375,2764.74609375,2764.74609375,2764.74609375,2764.74609375
10,0.0007411013064175429,6.512754874486644e-05,0.051803710870444775,2764.74609375,2789.734375,2764.74609375,2764.74609375,2764.74609375,2764.74609375
