iteration,model_cost,residual,iter_time_sec,rss_mb,peak_rss_mb,cost_rss_before_mb,cost_rss_after_mb,grad_rss_before_mb,grad_rss_after_mb
1,0.5900898025784864,0.05894700321662829,nan,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
2,0.02800292933145742,0.002641109467722661,2.562956839799881,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
3,0.027965972324001685,0.002359293978588074,5.144713814835995,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
4,0.027896036681866323,0.0019333555737204953,10.269618018064648,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
5,0.027825907419946574,0.0015069410997462086,10.267490710131824,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
6,0.027787310226962056,0.0015053321362746431,12.850185074843466,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
7,0.027739902020845898,0.0018285522662074068,25.684539578389376,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
8,0.023647967490991493,0.006414971150869888,2.5841715708374977,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
9,0.01318162334019428,0.0063131507797833,2.5546487397514284,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
10,0.00582577915432513,0.0043380277499032805,2.549158813431859,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
11,0.0032796540954733696,0.0026513399163255445,2.5390927996486425,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
12,0.002687963506257922,0.00047260503683335046,2.554528005886823,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
13,0.002410215368370302,0.0009922640363202123,2.542123548220843,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
14,0.002328462663240413,0.0008476011701359261,2.5468068160116673,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
15,0.0018213637243481692,0.0005839924745927604,2.542484771925956,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
16,0.001729393456986856,0.0003832220557070008,2.547909398097545,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
17,0.0015863646313903454,0.0002002641674815084,2.536281568929553,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
18,0.0013928148636665313,0.00019799791144285603,2.5470816888846457,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
19,0.0006177529230542936,0.00040940318345590875,2.535473930183798,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
20,0.0003490880281813556,7.279189305079597e-05,2.520745759829879,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
21,0.0003267132817849539,8.497226375117842e-05,2.532501480076462,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
22,0.00024570960566878774,4.281194986895511e-05,2.521730439271778,3572.17578125,3591.3046875,3572.17578125,3572.17578125,3572.17578125,3572.17578125
